Time:,18:17:53.807076,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.039034430502750614,6,8,389,211,0.08064192423412105
0.05285856072512329,10,6,202,197,0.03347436684648108
0.051190276764059364,8,8,157,75,0.0029341447674022508
0.036851651580775045,4,8,240,133,0.048605878610700065
0.11768839621902534,8,4,194,252,0.07270977873486632
0.039384698637916875,2,10,389,65,0.060583999231349536
0.03755696815542889,10,2,43,276,0.020185806377915286
0.07641411485328455,10,6,366,251,0.030757790160119945
0.028863840566117977,6,6,77,42,0.06979800950077969
0.03761289677510025,6,10,221,118,0.06686328542085089
0.03600834113272437,4,8,394,276,0.018810961046816087
0.03597344307050983,4,8,296,22,0.09712336592657626
0.07259339339536716,2,6,193,39,0.09876741241299145
0.05057056209858905,6,6,380,44,0.03610195968586977
0.04669502486014379,4,2,120,88,0.012006459246827077
0.06097209438075751,4,2,133,202,0.009669953007555831
0.04520961540770414,10,4,126,186,0.056077578577088345
0.07134877182940824,6,4,61,253,0.09041360125837512
1.9169922041167071,8,4,136,52,0.09736574659897988
0.0873727789820801,2,4,270,183,0.08714436116424583
0.11042568475302132,6,8,254,155,0.09884880914230898
0.07089303483300262,2,6,86,64,0.03573297491422772
0.5698612446002157,8,6,367,82,0.04645931738342402
0.04639242679385205,4,8,60,87,0.08040175895092692
0.04121258795843069,8,4,251,183,0.06155147659912612
0.07190740800510093,10,6,324,135,0.0692480037350623
0.04846985102646106,10,6,105,153,0.04594197287104473
0.0610546303826016,4,6,260,84,0.0611383794408819
0.038984222845815084,6,6,105,273,0.03282993148972293
0.03872382494037036,6,4,190,10,0.08988712008927235
0.18201359229530573,4,8,274,231,0.0652561515151052
0.07139303572818735,6,6,204,168,0.07909566993167284
0.050619718327358044,6,2,45,197,0.0545702776484065
0.046609337783897364,6,4,102,30,0.06137483481102342
0.057624929959447534,8,10,191,229,0.019160009000861955
0.04548827806419723,4,6,171,174,0.005868339592638942
0.037872000025448174,6,4,212,206,0.05425040912439362
0.04931000206007402,6,8,222,196,0.06662136233211248
0.038983509353713884,6,4,342,31,0.0944655478245442
0.06415871145907164,6,10,224,205,0.05947601575810611
0.040358246879698634,4,10,239,87,0.05434887024431983
0.038584481975855386,4,10,65,165,0.009783913896099674
0.044701063069009936,6,6,215,187,0.04761548789527824
0.07565537260180459,6,6,352,234,0.07670171430563848
0.13099672907071366,8,8,260,68,0.007443501056011269
0.05523811311416374,4,10,333,15,0.0951016739595857
0.057702597987015034,8,4,133,34,0.011330321831596194
0.06332979336095614,10,8,373,175,0.005542946899956124
0.11690705398719232,2,8,245,5,0.009571527268958182
0.040464166247910986,4,6,188,22,0.0643573101648519
0.035067265072009024,6,2,400,300,0.0001
0.04145335078098304,8,2,40,1,0.0001
0.06257539291869431,10,2,40,300,0.1
0.03526318369762022,4,10,40,1,0.03340407229854021
0.03303109863744662,8,2,40,300,0.06580306374560442
0.044177514940529426,8,10,400,1,0.06617505541633988
0.03449612104976384,4,10,70,1,0.03337736093743996
0.05746220828514313,8,10,390,1,0.039990507949416915
0.03377267173766814,8,8,324,122,0.0001
0.03623004732601165,6,2,400,222,0.0001
0.04500529745787239,8,10,285,1,0.033118612842669
0.03330615256082835,6,2,400,141,0.0001
0.03731308446048855,4,2,53,1,0.07351240787484771
0.11020967513212025,6,10,40,1,0.006976366962654965
0.07675534591191781,8,6,339,300,0.06585673446309621
0.04220209694621865,10,10,40,1,0.08566151115195256
0.03146625614521088,2,6,55,116,0.05497244579375438
0.0626279598589621,8,2,40,250,0.052667246925921375
0.038350528216215325,6,2,40,1,0.022725896420175938
0.05392308057063449,4,6,304,1,0.03203456783761274
0.03474266523187078,10,2,40,1,0.0001
0.03583335054041957,4,4,40,1,0.07422376503541181
0.03509581418336257,8,2,40,300,0.056289748292759276
0.03472791663514242,8,10,40,28,0.0001
0.03519268515813145,2,10,341,300,0.0001
0.05227516785456079,6,2,106,300,0.05086053575210952
0.026087256020679832,8,2,40,300,0.003828313687259804
0.045598267107786424,2,2,400,300,0.09999999999948372
0.03495205946320026,10,10,40,66,0.0001
0.0947557626855563,2,10,400,300,0.0399601496286907
