Time:,1:40:15.498519,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.06276302004780153,6,8,389,211,0.08064192423412105
0.08861429674434196,10,6,202,197,0.03347436684648108
0.029273780277134835,8,8,157,75,0.0029341447674022508
0.04165319299386212,4,8,240,133,0.048605878610700065
0.08083675295501548,8,4,194,252,0.07270977873486632
0.029850991210503535,2,10,389,65,0.060583999231349536
0.07864981740549468,10,2,43,276,0.020185806377915286
0.1238993094824815,10,6,366,251,0.030757790160119945
0.1756907004550449,6,6,77,42,0.06979800950077969
0.06846935655330177,6,10,221,118,0.06686328542085089
0.04357271873877635,4,8,394,276,0.018810961046816087
0.06813426698539461,4,8,296,22,0.09712336592657626
0.0471160825046771,2,6,193,39,0.09876741241299145
0.12682387324907932,6,6,380,44,0.03610195968586977
0.04500088525840908,4,2,120,88,0.012006459246827077
0.042874147985946166,4,2,133,202,0.009669953007555831
0.06566840679850562,10,4,126,186,0.056077578577088345
0.05900188993243352,6,4,61,253,0.09041360125837512
0.0897944679614659,8,4,136,52,0.09736574659897988
0.04087316798330554,2,4,270,183,0.08714436116424583
0.032994710710459056,6,8,254,155,0.09884880914230898
0.05053098344218019,2,6,86,64,0.03573297491422772
0.050002625159058296,8,6,367,82,0.04645931738342402
0.055700506911300636,4,8,60,87,0.08040175895092692
0.10889041216956968,8,4,251,183,0.06155147659912612
0.12482114088778148,10,6,324,135,0.0692480037350623
0.0665951928026214,10,6,105,153,0.04594197287104473
0.0298329208608885,4,6,260,84,0.0611383794408819
0.0752751237467261,6,6,105,273,0.03282993148972293
0.03461539704393377,6,4,190,10,0.08988712008927235
0.0573218776095209,4,8,274,231,0.0652561515151052
0.09599080120680799,6,6,204,168,0.07909566993167284
0.0314639205078761,6,2,45,197,0.0545702776484065
0.038354788492898105,6,4,102,30,0.06137483481102342
0.06490587693546279,8,10,191,229,0.019160009000861955
0.0589708865008416,4,6,171,174,0.005868339592638942
0.04254987430679473,6,4,212,206,0.05425040912439362
0.1463888305168987,6,8,222,196,0.06662136233211248
0.05861109829869142,6,4,342,31,0.0944655478245442
0.24925600884618235,6,10,224,205,0.05947601575810611
0.04786676761858208,4,10,239,87,0.05434887024431983
0.041075906498217275,4,10,65,165,0.009783913896099674
0.03806815216078992,6,6,215,187,0.04761548789527824
0.035210313980978195,6,6,352,234,0.07670171430563848
0.08654394667125714,8,8,260,68,0.007443501056011269
0.03919963502909817,4,10,333,15,0.0951016739595857
0.06487377055612024,8,4,133,34,0.011330321831596194
0.05746680351452579,10,8,373,175,0.005542946899956124
0.03248877356994946,2,8,245,5,0.009571527268958182
0.04310534683875879,4,6,188,22,0.0643573101648519
0.0876719343621529,2,8,175,75,0.06096586433178295
0.04788835262083053,8,6,157,75,0.0029341419913436564
0.0892335281429236,8,8,137,76,0.0020770023983576304
0.05073045195145522,4,6,226,108,0.034036270855653104
0.049009795950770534,4,6,229,122,0.03963668909587722
0.0680360268325071,4,6,240,121,0.029710018296003945
