Time:,16:31:18.183419,Eff. time:,"22 days, 0:41:41.869408",Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch size,Learning rate
0.03493527125936872,2,2,10,1,0.0001
0.034704038081099904,2,2,10,1,0.0002
0.034843535202419375,2,2,10,1,0.0004
0.03604409098706416,2,2,10,1,0.001
0.038094437174215574,2,2,10,1,0.002
0.04245208439343934,2,2,10,1,0.004
0.042907317654125796,2,2,10,1,0.01
0.04266294428850873,2,2,10,1,0.02
0.027323933225993965,2,2,10,1,0.04
0.04277233606552929,2,2,10,1,0.1
0.03673541245802016,2,2,10,10,0.0001
0.035598252941866915,2,2,10,10,0.0002
0.03519997821848509,2,2,10,10,0.0004
0.03449218446221767,2,2,10,10,0.001
0.03585765832298373,2,2,10,10,0.002
0.03675136052368628,2,2,10,10,0.004
0.038552028980612114,2,2,10,10,0.01
0.044803642107360424,2,2,10,10,0.02
0.048791624550766376,2,2,10,10,0.04
0.028221690587033457,2,2,10,10,0.1
0.036989865481118156,2,2,10,25,0.0001
0.03672799319774953,2,2,10,25,0.0002
0.035789392773368255,2,2,10,25,0.0004
0.035081264022388516,2,2,10,25,0.001
0.03471472305404535,2,2,10,25,0.002
0.03609698712165937,2,2,10,25,0.004
0.03752990588635115,2,2,10,25,0.01
0.03917282586540357,2,2,10,25,0.02
0.040151795177978206,2,2,10,25,0.04
0.042792706561488265,2,2,10,25,0.1
0.05404980174035554,2,2,10,50,0.0001
0.03694494333236916,2,2,10,50,0.0002
0.03592321223688693,2,2,10,50,0.0004
0.03518093361255485,2,2,10,50,0.001
0.034329124173368614,2,2,10,50,0.002
0.0349482299682336,2,2,10,50,0.004
0.03726683480687936,2,2,10,50,0.01
0.03912832730789725,2,2,10,50,0.02
0.040192676497245346,2,2,10,50,0.04
0.04400942423295228,2,2,10,50,0.1
0.16876054585354366,2,2,10,80,0.0001
0.07296387602767028,2,2,10,80,0.0002
0.037111214999531066,2,2,10,80,0.0004
0.03563827831954333,2,2,10,80,0.001
0.03518004713139775,2,2,10,80,0.002
0.03515564242830889,2,2,10,80,0.004
0.05689195424919948,2,2,10,80,0.01
0.0647947082412641,2,2,10,80,0.02
0.06578491102168488,2,2,10,80,0.04
0.033105368737071164,2,2,10,80,0.1
