Time:,57:04.9,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,,,,
0.026011623,4,8,125,4,0.025626112,,,,,,
0.031588414,4,8,394,276,0.018810961,,,,,,
0.031695139,4,10,333,15,0.095101674,,,,,,
0.034786249,4,2,133,202,0.009669953,,,,,,
0.036022829,8,4,136,52,0.097365747,,,,,,
0.036260993,6,6,377,65,0.066058842,,,,,,
0.036560249,6,8,388,111,0.069754459,,,,,,
0.036654255,4,8,76,77,0.043112426,,,,,,
0.037166278,6,2,40,250,0.031947238,,,,,,0.026011623
0.03740839,4,10,360,15,0.1,,,,,,0.031588414
0.037479793,4,10,388,1,0.028049218,,,,,,0.031695139
0.037591889,4,8,60,87,0.080401759,,,,,,0.034786249
0.037747615,6,4,102,30,0.061374835,,,,,,0.036022829
0.037873555,4,2,40,12,0.1,,,,,,0.036260993
0.037975119,8,2,40,176,0.052784316,,,,,,0.036560249
0.038224033,6,2,400,218,0.059401062,,,,,,0.036654255
0.038247403,6,8,209,54,0.1,,,,,,0.037166278
0.038331051,10,4,157,300,0.067916022,,,,,,0.03740839
0.038740518,8,6,330,171,0.0001,,,,,,0.344154418
0.038938562,4,8,281,111,0.090336449,,,,,,
0.039059651,4,10,312,38,0.056539684,,,,,,
0.039151253,4,8,163,256,0.010853425,,,,,,
0.039268316,4,4,380,240,0.011161949,,,,,,
0.039363144,6,2,205,252,0.022522064,,,,,,
0.039420074,4,2,162,59,0.012460383,,,,,,
0.039456536,8,10,385,66,0.0001,,,,,,
0.039622065,4,2,281,14,0.083943104,,,,,,
0.03997729,8,4,128,53,0.093238105,,,,,,
0.04009782,4,10,198,15,0.1,,,,,,
0.040260449,4,2,40,13,0.088650971,,,,,,
0.040490508,4,2,40,14,0.1,,,,,,
0.040581149,6,8,303,64,0.066913673,,,,,,
0.040767518,4,6,188,22,0.06435731,,,,,,
0.040897048,6,4,275,1,0.027289979,,,,,,
0.041102617,4,2,40,19,0.090650775,,,,,,
0.041135161,6,2,198,148,0.004521806,,,,,,
0.041771547,2,2,71,97,0.061001233,,,,,,
0.042026633,6,6,160,300,0.01105432,,,,,,
0.042264035,4,2,163,187,0.024645384,,,,,,
0.042739664,4,10,59,71,0.049130817,,,,,,
0.042873756,4,8,125,117,0.05913581,,,,,,
0.042991712,6,8,400,104,0.0001,,,,,,
0.043249869,6,6,105,273,0.032829931,,,,,,
0.043396878,2,6,133,165,0.054142415,,,,,,
0.043408287,6,4,190,10,0.08988712,,,,,,
0.043435983,8,10,176,259,0.027889943,,,,,,
0.04354175,6,2,360,282,0.070597335,,,,,,
0.043585592,2,6,337,300,0.068403568,,,,,,
0.044260123,4,6,397,300,0.014505738,,,,,,
0.044299201,6,10,221,118,0.066863285,,,,,,
0.044359419,2,8,245,5,0.009571527,,,,,,
0.044376667,6,4,61,253,0.090413601,,,,,,
0.044396666,4,10,40,53,0.1,,,,,,
0.044682988,8,2,93,284,0.063787699,,,,,,
0.04478151,4,2,400,253,0.0001,,,,,,
0.044817797,6,2,264,225,0.027642166,,,,,,
0.044913983,4,6,111,47,0.004071642,,,,,,
0.044959011,6,10,400,1,0.068156898,,,,,,
0.04496507,6,4,400,1,0.1,,,,,,
0.044965071,10,10,40,1,0.1,,,,,,
0.04502302,2,2,309,185,0.000714713,,,,,,
0.045135622,4,2,40,13,0.1,,,,,,
0.045155903,4,8,345,275,0.039359152,,,,,,
0.045170606,10,4,189,78,0.0001,,,,,,
0.045191727,6,6,91,300,0.086090111,,,,,,
0.045197525,8,2,181,281,0.005193643,,,,,,
0.045390181,4,2,103,13,0.1,,,,,,
0.04545028,4,6,144,11,0.070493406,,,,,,
0.045670558,10,4,170,228,0.073634646,,,,,,
0.045865771,4,8,400,276,0.0001,,,,,,
0.045946973,6,4,40,28,0.023121518,,,,,,
0.046084,6,4,307,104,0.1,,,,,,
0.046163514,6,6,215,187,0.047615488,,,,,,
0.046216462,4,6,240,22,0.068451965,,,,,,
0.04659587,4,4,63,276,0.052576423,,,,,,
0.047154943,8,6,367,82,0.046459317,,,,,,
0.047170348,2,10,215,1,0.046537189,,,,,,
0.04752646,8,2,304,280,0.070164313,,,,,,
0.047554239,6,2,214,1,0.090947664,,,,,,
0.047554669,6,6,40,246,0.0001,,,,,,
0.047768642,6,8,321,142,0.039439578,,,,,,
0.047782817,4,2,120,88,0.012006459,,,,,,
0.047802917,4,10,239,87,0.05434887,,,,,,
0.047844318,4,8,296,22,0.097123366,,,,,,
0.047917115,2,2,120,300,0.018856796,,,,,,
0.048422084,6,10,239,267,0.0001,,,,,,
0.048487016,4,4,40,246,0.034866846,,,,,,
0.048751292,4,6,83,65,0.054097556,,,,,,
0.048781994,2,10,360,64,0.0001,,,,,,
0.048822324,6,2,40,300,0.1,,,,,,
0.049018269,2,4,69,300,0.045441758,,,,,,
0.049073624,6,8,254,155,0.098848809,,,,,,
0.049078628,4,2,94,63,0.008478322,,,,,,
0.049096163,4,2,40,7,0.1,,,,,,
0.049130989,2,6,400,1,0.069760895,,,,,,
0.049146496,2,10,40,1,0.058229792,,,,,,
0.049361844,6,2,339,1,0.096176062,,,,,,
0.049470472,8,10,83,296,0.052602599,,,,,,
0.049484867,2,6,374,1,0.053775411,,,,,,
0.049665188,4,8,400,13,0.1,,,,,,
0.049771764,4,2,295,190,0.047188349,,,,,,
0.049801917,6,10,349,277,0.080040405,,,,,,
0.049883718,2,8,40,1,0.085034575,,,,,,
0.049923789,2,2,106,147,0.092577668,,,,,,
0.049940592,2,10,311,94,0.063773539,,,,,,
0.04994803,8,4,194,156,0.030626768,,,,,,
0.050065449,2,6,67,300,0.08580476,,,,,,
0.050194316,4,10,305,15,0.024291578,,,,,,
0.050334087,8,2,53,283,0.043130536,,,,,,
0.050361297,2,8,282,56,0.082757005,,,,,,
0.050698089,8,8,157,75,0.002934145,,,,,,
0.050712612,8,8,48,88,0.055999518,,,,,,
0.050844833,2,8,40,1,0.076945688,,,,,,
0.050920078,6,2,393,253,0.098724587,,,,,,
0.050926078,4,2,152,204,0.0001,,,,,,
0.051041282,4,8,336,1,0.069770889,,,,,,
0.051104375,2,2,384,32,0.025085963,,,,,,
0.051269504,2,6,50,300,0.027438488,,,,,,
0.051404442,6,10,106,98,0.095970394,,,,,,
0.051588459,2,4,270,183,0.087144361,,,,,,
