Time:,4:53:07.400034,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.04914099401891392,6,8,389,211,0.08064192423412105
0.09551845370928835,10,6,202,197,0.03347436684648108
0.06361402610540454,8,8,157,75,0.0029341447674022508
0.0700193120357859,4,8,240,133,0.048605878610700065
0.06856873296743589,8,4,194,252,0.07270977873486632
0.07402493236198973,2,10,389,65,0.060583999231349536
0.06149199684127684,10,2,43,276,0.020185806377915286
0.18729486618001973,10,6,366,251,0.030757790160119945
0.06043508578288074,6,6,77,42,0.06979800950077969
0.07571019720800155,6,10,221,118,0.06686328542085089
0.09392798061872928,4,8,394,276,0.018810961046816087
0.04108133175725501,4,8,296,22,0.09712336592657626
0.07920179134519098,2,6,193,39,0.09876741241299145
0.045045518767461434,6,6,380,44,0.03610195968586977
0.08542353789917354,4,2,120,88,0.012006459246827077
0.04491852931292663,4,2,133,202,0.009669953007555831
0.11679314087903811,10,4,126,186,0.056077578577088345
0.057373150332198974,6,4,61,253,0.09041360125837512
0.038056995585663764,8,4,136,52,0.09736574659897988
0.07455922812340551,2,4,270,183,0.08714436116424583
0.04218059681083797,6,8,254,155,0.09884880914230898
0.0424028271407696,2,6,86,64,0.03573297491422772
0.17064372521892068,8,6,367,82,0.04645931738342402
0.040858991331934436,4,8,60,87,0.08040175895092692
0.056218744646935506,8,4,251,183,0.06155147659912612
0.04935840853519513,10,6,324,135,0.0692480037350623
0.04464475412550617,10,6,105,153,0.04594197287104473
0.09203513367795806,4,6,260,84,0.0611383794408819
0.06766160727800603,6,6,105,273,0.03282993148972293
0.04325727382020656,6,4,190,10,0.08988712008927235
0.07392946125319295,4,8,274,231,0.0652561515151052
0.040663067712388354,6,6,204,168,0.07909566993167284
0.04788271173233734,6,2,45,197,0.0545702776484065
0.046229349299949436,6,4,102,30,0.06137483481102342
0.06335674298463519,8,10,191,229,0.019160009000861955
0.08496603472441458,4,6,171,174,0.005868339592638942
0.07409793648735767,6,4,212,206,0.05425040912439362
0.08617144598613562,6,8,222,196,0.06662136233211248
0.035982429898659476,6,4,342,31,0.0944655478245442
0.27693442982688754,6,10,224,205,0.05947601575810611
0.04081554901711395,4,10,239,87,0.05434887024431983
0.11456997529301674,4,10,65,165,0.009783913896099674
0.08863827333082709,6,6,215,187,0.04761548789527824
0.056473609397286795,6,6,352,234,0.07670171430563848
0.0778252611858849,8,8,260,68,0.007443501056011269
0.0333981524631859,4,10,333,15,0.0951016739595857
0.05331299660755866,8,4,133,34,0.011330321831596194
0.05363247863943451,10,8,373,175,0.005542946899956124
0.06015262803771847,2,8,245,5,0.009571527268958182
0.036104876198529416,4,6,188,22,0.0643573101648519
0.06995815248051997,4,10,206,16,0.09532175633180467
0.03921222500328021,4,10,383,17,0.0954553334148546
0.07624092089022401,4,10,338,14,0.09493153645258766
0.058166715247385814,6,6,259,47,0.09138743974195479
0.0389137871516883,8,6,260,47,0.09140904855679875
0.03786184092673732,6,4,213,33,0.09470553576682832
0.22828260531564945,6,4,194,35,0.0949057613906803
0.08618614024935109,8,4,135,97,0.08100399076128621
0.06074781592751659,10,6,261,48,0.09220574774598453
0.050573632269020626,6,4,342,31,0.09446554465264273
0.03793373208489821,4,6,188,22,0.06431565874894822
0.04870598538478948,8,4,213,33,0.09470534177100495
0.04305476687089563,4,6,188,22,0.06435348117036195
0.04388770901998504,6,6,188,22,0.06430499946511686
0.0825734169169906,6,4,136,52,0.09736574708690403
0.03661472673508866,4,10,333,15,0.09626868978392532
0.048924476936348826,10,4,136,52,0.06381871228628778
0.04564739013182516,4,10,333,15,0.0931200171418575
0.12914588339008698,4,10,239,87,0.05434725204830042
