Time:,37:27.4,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,
0.030486931,4,8,126,119,0.050117026,,,
0.030635562,8,4,230,110,0.090968956,,,0.030486931
0.031696596,4,10,130,225,0.072083611,,,0.030635562
0.032965511,4,6,201,221,0.078483636,,,0.031696596
0.033639034,4,8,214,168,0.079228305,,,0.032965511
0.034868981,4,6,188,22,0.06435731,,,0.033639034
0.035654383,4,2,133,202,0.009669953,,,0.034868981
0.036039955,4,10,346,136,0.08389875,,,0.035654383
0.036381665,4,8,394,276,0.018810961,,,0.036039955
0.036476887,6,6,40,154,0.031530592,,,0.036381665
0.036551975,2,6,226,6,0.085817712,,,0.036476887
0.036990924,6,4,221,175,0.032883461,,,0.338845504
0.037959973,6,2,118,142,0.088931699,,,
0.038093926,2,10,317,300,0.005403946,,,
0.038402078,4,10,42,243,0.097840372,,,
0.039128253,4,10,333,15,0.095101674,,,
0.039552976,6,4,342,31,0.094465548,,,
0.039591518,4,8,192,218,0.079893424,,,
0.039644414,4,8,370,288,0.067395218,,,
0.039881979,4,8,57,75,0.084683341,,,
0.039922034,6,8,340,276,0.073431724,,,
0.040047346,8,4,194,252,0.072709779,,,
0.040506219,6,8,350,162,0.034416221,,,
0.040592574,4,2,80,147,0.097688717,,,
0.040645421,4,8,135,283,0.072229506,,,
0.040987554,6,4,61,253,0.090413601,,,
0.041175135,8,6,327,300,0.095755085,,,
0.041460013,8,8,157,75,0.002934145,,,
0.04153354,4,2,174,174,0.081448804,,,
0.041703338,4,4,349,95,0.095677675,,,
0.041968718,6,10,48,30,0.028852607,,,
0.042000158,2,8,257,269,0.095687948,,,
0.04215222,4,8,303,207,0.095953968,,,
0.042273935,4,8,203,79,0.051354842,,,
0.043006882,8,6,247,78,0.097160194,,,
0.043018075,2,8,245,5,0.009571527,,,
0.043020346,4,4,195,205,0.083083792,,,
0.043062509,4,8,115,38,0.023062775,,,
0.043093722,4,2,120,88,0.012006459,,,
0.043115316,4,10,387,247,0.073034667,,,
0.043126261,6,4,78,300,0.003262533,,,
0.043382696,6,2,45,197,0.054570278,,,
0.043612917,4,8,175,167,0.02064128,,,
0.043648078,6,4,71,103,0.034035329,,,
0.043687275,4,4,310,233,0.021052835,,,
0.043787765,4,6,336,246,0.004393478,,,
0.043841182,6,6,185,138,0.073797602,,,
0.044033894,4,4,114,300,0.038536007,,,
0.044213939,4,4,117,300,0.007767342,,,
0.044893612,4,8,296,22,0.097123366,,,
0.045066189,6,2,285,296,0.036541318,,,
0.04523826,4,10,162,186,0.078786868,,,
0.045335301,6,8,284,44,0.032881365,,,
0.04559681,6,6,352,234,0.076701714,,,
0.045693271,4,10,271,175,0.091432217,,,
0.045767788,6,10,289,264,0.087075101,,,
0.045812549,6,6,105,273,0.032829931,,,
0.045897952,6,6,73,151,0.057891973,,,
0.045999287,4,6,48,78,0.026682481,,,
0.046028815,2,6,55,267,0.002092557,,,
0.046131528,4,8,176,200,0.029994436,,,
0.046341393,6,2,176,29,0.048733124,,,
0.046358976,6,6,211,206,0.063800427,,,
0.046457139,4,4,90,300,0.000348373,,,
0.046589515,4,4,60,123,0.083162729,,,
0.0468285,2,4,250,209,0.03002585,,,
0.046966861,8,2,318,217,0.088817798,,,
0.047390254,4,4,337,125,0.1,,,
0.047871898,8,8,44,276,0.022648756,,,
0.048081034,6,10,389,248,0.0001,,,
0.048092486,6,6,77,42,0.06979801,,,
0.048276571,4,6,376,195,0.023711859,,,
0.048391802,2,6,239,300,0.026425093,,,
0.04839975,6,8,209,84,0.0001,,,
0.048483753,6,2,222,116,0.091876354,,,
0.048573527,4,8,175,205,0.075055516,,,
0.048631492,8,8,113,179,0.001134625,,,
0.048793277,4,6,236,300,0.076651344,,,
0.048918106,8,10,191,229,0.019160009,,,
0.049099441,8,8,90,147,0.003230976,,,
0.049180712,4,4,383,300,0.02180631,,,
0.049244445,4,6,380,19,0.050655847,,,
0.049463861,4,10,114,300,0.010651627,,,
0.049478256,4,10,78,253,0.090338785,,,
0.049595734,4,10,346,300,0.094213033,,,
0.049662724,6,4,190,10,0.08988712,,,
0.049712091,4,4,111,1,0.029364473,,,
0.050193317,6,10,224,205,0.059476016,,,
0.050696032,10,2,56,118,0.021681377,,,
0.050836823,10,2,43,276,0.020185806,,,
0.050881272,4,10,380,284,0.034226491,,,
0.051055068,2,4,364,300,0.008505156,,,
0.051097071,6,2,113,158,0.062912086,,,
0.051139706,8,4,139,279,0.092379341,,,
0.051221881,4,8,274,231,0.065256152,,,
0.051825968,4,4,287,186,0.087031482,,,
0.05204321,2,8,215,82,0.021682102,,,
0.05204333,4,10,310,126,0.051318697,,,
0.052065909,4,10,141,75,0.065528968,,,
0.052095492,10,4,160,290,0.079434413,,,
0.052449456,10,8,373,175,0.005542947,,,
0.052472818,4,8,60,87,0.080401759,,,
0.052648666,2,6,225,287,0.021124157,,,
0.052749129,8,10,114,47,0.08806917,,,
0.052768983,8,4,202,54,0.064847784,,,
0.053073805,8,4,103,92,0.058246109,,,
0.053206093,4,2,143,141,0.084975628,,,
0.053568562,4,6,118,1,0.065647847,,,
0.053789339,6,10,221,118,0.066863285,,,
0.05381637,4,4,55,124,0.09318108,,,
0.053988089,6,2,214,300,0.070690674,,,
0.054163555,4,4,40,56,0.09002039,,,
0.054293919,2,6,175,179,0.072767709,,,
0.054401926,2,10,157,139,0.076979601,,,
0.054516601,2,6,311,161,0.097135415,,,
0.054625496,2,4,270,183,0.087144361,,,
0.054831488,2,8,102,257,0.079883758,,,
0.054876502,10,8,43,287,0.075843592,,,
0.055108233,6,8,222,196,0.066621362,,,
0.055150375,4,2,80,95,0.052793303,,,
0.05535889,6,6,337,183,0.058474091,,,
0.055593448,6,6,380,44,0.03610196,,,
0.055696862,2,8,309,288,0.098947097,,,
0.055873813,2,6,384,91,0.001686882,,,
0.056076499,2,8,270,254,0.090955061,,,
0.056249288,2,6,319,109,0.022247267,,,
0.056508986,2,8,192,13,0.073953575,,,
0.056626375,2,6,109,300,0.012810825,,,
0.056752186,2,8,371,29,0.013232989,,,
0.057241023,6,6,223,242,0.073982786,,,
0.057568514,6,6,389,1,0.073206862,,,
0.057775166,8,6,237,162,0.094983274,,,
0.057997481,6,6,190,72,0.075557662,,,
0.057999786,8,2,380,300,0.015932837,,,
0.058082896,10,10,243,300,0.002977283,,,
0.058338215,6,6,231,173,0.070073159,,,
0.0585315,8,6,345,151,0.074476747,,,
0.058540612,2,2,265,300,0.093893855,,,
0.05863365,4,8,362,141,0.000772966,,,
0.058744853,8,4,251,183,0.061551477,,,
0.059028031,8,8,279,1,0.06145071,,,
0.05914984,2,6,302,258,0.034199872,,,
0.059372254,8,2,154,1,0.067966385,,,
0.059474793,6,4,79,1,0.024667154,,,
0.059650634,4,10,85,300,0.04288198,,,
0.059758383,2,4,225,186,0.092579422,,,
0.059775021,4,8,322,300,0.064808998,,,
0.060047096,2,8,293,90,0.073133853,,,
0.060072863,6,6,250,73,0.088180953,,,
0.060460999,10,6,53,300,0.00846777,,,
0.060764121,2,6,363,14,0.011419223,,,
0.060974949,4,6,332,178,0.040068146,,,
0.061267956,8,6,367,82,0.046459317,,,
0.061506161,2,8,127,147,0.010433434,,,
0.061527659,6,8,168,300,0.063326647,,,
0.061703034,2,6,182,96,0.1,,,
0.062415788,8,10,162,236,0.094689129,,,
0.062490334,2,6,193,39,0.098767412,,,
0.062508067,2,4,327,46,0.031191959,,,
0.062943451,2,8,150,129,0.026902804,,,
0.0629476,8,4,48,206,0.075934424,,,
0.062998403,10,2,82,112,0.009491687,,,
0.063274967,4,10,310,91,0.025520332,,,
0.063973994,2,6,395,50,0.070166084,,,
0.064301113,10,2,201,64,0.065917318,,,
0.064490289,2,2,235,300,0.075549846,,,
0.064593267,2,8,319,187,0.016971464,,,
0.064916573,6,4,102,30,0.061374835,,,
0.065299214,8,4,45,116,0.072547992,,,
0.065488492,6,8,389,211,0.080641924,,,
0.065538334,10,2,348,51,0.024665082,,,
0.065597645,8,6,400,298,0.071511622,,,
0.0659319,8,2,325,295,0.098560954,,,
0.066307596,2,10,176,254,0.096635986,,,
0.066712387,2,6,86,64,0.035732975,,,
0.066938547,2,8,255,247,0.089211324,,,
0.067267534,4,10,65,165,0.009783914,,,
0.067364174,8,10,221,1,0.055236408,,,
0.067476909,10,10,295,114,0.075033542,,,
0.067618778,2,8,163,162,0.08316867,,,
0.067889441,6,10,52,153,0.060888384,,,
0.068074848,8,10,257,1,0.092797422,,,
0.068444807,8,4,185,128,0.016550414,,,
0.068965592,2,10,354,149,0.012979078,,,
0.06998969,2,10,317,108,0.089674144,,,
0.070095021,8,8,337,1,0.0001,,,
0.070095111,4,8,280,240,0.060170872,,,
0.070433584,6,6,252,1,0.1,,,
0.070566002,4,8,176,1,0.067758453,,,
0.071093926,4,8,262,238,0.093595043,,,
0.071761929,10,2,235,120,0.079180808,,,
0.071860782,4,2,142,27,0.075263881,,,
0.072443405,8,8,160,231,0.069366695,,,
0.072930908,10,2,83,103,0.077203313,,,
0.073201569,2,6,351,236,0.023944981,,,
0.073680853,2,6,370,1,0.067698742,,,
0.07371159,6,10,184,164,0.084697146,,,
0.074252398,2,4,348,85,0.006360887,,,
0.074304136,6,2,356,300,0.006602257,,,
0.074680365,6,4,212,206,0.054250409,,,
0.075181767,2,8,348,195,0.078436532,,,
0.075569711,10,8,393,265,0.023490862,,,
0.076034171,2,4,50,16,0.018792245,,,
0.076298031,8,6,271,168,0.084411159,,,
0.07748851,10,8,384,93,0.003387927,,,
0.077557767,4,6,171,174,0.00586834,,,
0.078724609,6,8,66,104,0.004095467,,,
0.079394909,6,8,164,295,0.07973952,,,
0.079454905,2,6,198,296,0.089801904,,,
0.079898103,2,10,389,65,0.060583999,,,
0.08011357,10,6,105,153,0.045941973,,,
0.080803707,4,4,194,9,0.06481005,,,
0.081639722,2,10,357,253,0.069228677,,,
0.08168478,6,6,216,193,0.056244749,,,
0.081991106,6,6,204,168,0.07909567,,,
0.083302384,2,2,239,1,0.078951523,,,
0.083887518,4,10,239,87,0.05434887,,,
0.084692644,4,8,240,133,0.048605879,,,
0.085049522,6,8,75,173,0.038422755,,,
0.085825022,6,10,218,88,0.055198061,,,
0.089448994,8,10,339,62,0.062891221,,,
0.09045317,4,10,46,34,0.018376617,,,
0.090646329,8,8,278,300,0.026261573,,,
0.091065211,10,6,324,135,0.069248004,,,
0.09464608,10,4,126,186,0.056077579,,,
0.094953878,10,2,370,268,0.016510331,,,
0.096403951,8,4,136,52,0.097365747,,,
0.096921496,10,4,230,186,0.075617139,,,
0.098454085,8,2,150,266,0.058370544,,,
0.099317232,8,8,260,68,0.007443501,,,
0.101791882,8,2,266,133,0.051023942,,,
0.10192076,8,10,365,229,0.065031511,,,
0.102595572,6,6,397,267,0.0291848,,,
0.103905724,8,8,99,111,0.021791942,,,
0.107157462,4,4,172,140,0.022197251,,,
0.113639077,4,2,170,133,0.008152802,,,
0.11471926,4,10,138,128,0.033009857,,,
0.117370193,10,6,202,197,0.033474367,,,
0.126457546,8,4,133,34,0.011330322,,,
0.131863144,4,10,311,300,0.059763707,,,
0.164381238,4,6,244,235,0.014727862,,,
0.168220804,4,4,157,287,0.026947711,,,
0.172356086,4,8,268,169,0.067572329,,,
0.194898458,10,10,254,259,0.083057774,,,
0.19828989,6,6,215,187,0.047615488,,,
0.215330264,10,6,164,17,0.018741771,,,
