Time:,53:21.6,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,,
0.028458614,4,2,40,97,0.024304865,,,,
0.030920893,4,4,114,218,0.027332871,,,,
0.032678814,6,4,206,173,0.091403429,,,,0.028458614
0.033339844,4,2,141,33,0.036836657,,,,0.030920893
0.033978815,4,4,115,219,0.030462178,,,,0.032678814
0.034281269,4,10,276,261,0.065015569,,,,0.033339844
0.034313076,4,8,274,231,0.065256152,,,,0.033978815
0.035330824,4,2,40,35,0.024051688,,,,0.034281269
0.035543477,6,2,209,172,0.085305437,,,,0.034313076
0.035628325,4,6,275,163,0.064545262,,,,0.035330824
0.035755873,4,2,133,202,0.009669953,,,,0.035543477
0.035771206,6,6,204,168,0.07909567,,,,0.035628325
0.035789497,4,2,40,219,0.024182265,,,,0.334473952
0.035931194,4,4,40,24,0.027421273,,,,
0.036642207,4,2,40,267,0.034368454,,,,
0.03665333,4,2,40,61,0.024031892,,,,
0.036851229,4,2,120,88,0.012006459,,,,
0.037010568,6,6,83,48,0.058048428,,,,
0.037643735,6,6,77,42,0.06979801,,,,
0.03772976,4,2,156,1,0.024868174,,,,
0.037842843,4,6,274,270,0.064928358,,,,
0.038296744,4,2,40,300,0.024935544,,,,
0.038362587,4,8,275,106,0.064288206,,,,
0.038568189,4,6,260,84,0.061138379,,,,
0.038573592,4,6,116,142,0.013125213,,,,
0.038650093,4,2,124,156,0.011260613,,,,
0.038851322,4,2,40,300,0.035324071,,,,
0.03905838,8,4,40,299,0.008912896,,,,
0.039166693,4,6,205,150,0.099159131,,,,
0.03929516,6,4,102,30,0.061374835,,,,
0.039633704,4,2,119,280,0.01842076,,,,
0.039791024,4,10,40,3,0.027174238,,,,
0.040264599,4,2,40,1,0.023872109,,,,
0.040321309,4,2,273,105,0.064829641,,,,
0.040524474,6,4,209,202,0.077465226,,,,
0.04056536,4,2,252,174,0.023445315,,,,
0.040595175,4,6,274,199,0.066437066,,,,
0.040676681,4,2,150,84,0.023604558,,,,
0.040708422,6,6,103,38,0.040752861,,,,
0.040757084,4,2,40,300,0.022830964,,,,
0.040924445,4,8,60,87,0.080401759,,,,
0.041262729,4,2,40,132,0.1,,,,
0.041305853,6,4,207,182,0.1,,,,
0.041316485,6,6,76,60,0.068297841,,,,
0.041504962,4,8,274,181,0.062793127,,,,
0.041529577,4,2,40,258,0.034823132,,,,
0.041736703,4,2,40,300,0.028784209,,,,
0.041787159,4,2,40,160,0.034501215,,,,
0.041809723,4,2,40,48,0.039637865,,,,
0.041811158,4,2,40,107,0.038215083,,,,
0.042066666,4,6,111,168,0.023024573,,,,
0.042477528,4,2,40,1,0.023916855,,,,
0.042651968,4,2,40,105,0.037488398,,,,
0.042673901,4,2,40,300,0.024179623,,,,
0.042733946,4,2,40,246,0.024147885,,,,
0.042928038,4,2,40,1,0.031591519,,,,
0.043018267,4,6,94,147,0.041524751,,,,
0.043092364,6,10,224,205,0.059476016,,,,
0.043117556,4,2,40,300,0.021652427,,,,
0.043126182,4,2,40,1,0.023835764,,,,
0.043322572,4,2,95,62,0.054599233,,,,
0.043337003,4,2,40,17,0.023077462,,,,
0.043379492,4,10,239,87,0.05434887,,,,
0.04355093,4,8,394,276,0.018810961,,,,
0.043563355,4,2,40,300,0.024174376,,,,
0.043669327,4,10,333,15,0.095101674,,,,
0.043695767,10,6,105,153,0.045941973,,,,
0.043797827,4,2,40,300,0.03554519,,,,
0.043834907,4,2,40,118,0.024046211,,,,
0.043968224,4,2,40,93,0.038790598,,,,
0.044099338,6,4,225,297,0.078075248,,,,
0.044562337,4,2,40,173,0.029469491,,,,
0.044627115,4,2,40,266,0.024179224,,,,
0.044650135,4,2,141,37,0.035190878,,,,
0.044816751,4,2,40,1,0.023906353,,,,
0.045009808,8,4,133,34,0.011330322,,,,
0.045021859,4,6,115,217,0.031538205,,,,
0.045080079,4,2,115,217,0.023767771,,,,
0.045264017,4,10,40,142,0.094099441,,,,
0.045297603,4,2,40,285,0.032649173,,,,
0.045308552,4,2,123,299,0.012320673,,,,
0.045442888,4,2,40,115,0.035729187,,,,
0.045446022,4,6,40,3,0.1,,,,
0.045468311,6,8,206,167,0.087633769,,,,
0.045509382,6,8,102,136,0.081201833,,,,
0.045626507,4,2,40,237,0.034645462,,,,
0.045708732,4,2,40,252,0.01964703,,,,
0.045795076,4,2,275,229,0.068709152,,,,
0.046293548,4,2,40,300,0.1,,,,
0.046426211,4,2,40,1,0.025227278,,,,
0.046480923,4,2,40,1,0.023907166,,,,
0.046548337,4,2,40,300,0.024150923,,,,
0.046771709,4,4,114,217,0.023182194,,,,
0.046846892,4,2,121,90,0.015879081,,,,
0.046919623,4,2,40,1,0.023787422,,,,
0.046923955,6,4,61,253,0.090413601,,,,
0.047099825,4,2,40,300,0.035510209,,,,
0.047197983,4,2,40,141,0.024946153,,,,
0.047389312,4,2,40,1,0.024858614,,,,
0.047477073,6,6,205,50,0.1,,,,
0.04759341,4,2,46,17,0.023883063,,,,
0.047615373,4,2,40,1,0.024003005,,,,
0.047711539,4,6,139,117,0.009037689,,,,
0.047988442,4,2,40,300,0.024087683,,,,
0.048376559,6,4,206,172,0.092301768,,,,
0.048411044,4,2,284,246,0.067101649,,,,
0.048470157,4,4,115,129,0.0001,,,,
0.048545822,6,6,105,273,0.032829931,,,,
0.048582003,4,2,40,80,0.038026787,,,,
0.048672171,4,10,65,165,0.009783914,,,,
0.04873576,6,10,99,229,0.080977933,,,,
0.048818676,4,6,265,200,0.071046507,,,,
0.048835413,6,8,222,196,0.066621362,,,,
0.048843719,4,2,125,131,0.010951944,,,,
0.048931214,6,8,389,211,0.080641924,,,,
0.048968788,4,2,154,154,0.024885049,,,,
0.049128726,4,2,249,41,0.0001,,,,
0.049185894,4,2,40,1,0.024072355,,,,
0.049235499,6,2,250,117,0.079162169,,,,
0.049292023,4,2,40,114,0.034337719,,,,
0.049391706,4,2,40,206,0.025166773,,,,
0.049464107,4,2,119,295,0.016510999,,,,
0.049600986,4,2,40,300,0.020093891,,,,
0.049649387,6,8,102,221,0.099055168,,,,
0.049717573,6,8,245,300,0.060816935,,,,
0.049731167,2,4,270,183,0.087144361,,,,
0.049783984,8,8,260,68,0.007443501,,,,
0.050088557,6,4,209,109,0.095047586,,,,
0.050192334,6,4,104,171,0.073239122,,,,
0.050238542,4,2,120,155,0.016465858,,,,
0.050249991,4,2,40,189,0.033880226,,,,
0.050353068,4,2,40,252,0.1,,,,
0.050373492,4,2,145,223,0.019925924,,,,
0.050660708,4,2,40,96,0.039542029,,,,
0.050693859,6,4,342,31,0.094465548,,,,
0.050764943,4,6,142,49,0.044063274,,,,
0.05085771,4,6,171,174,0.00586834,,,,
0.05087398,4,2,238,71,0.024908175,,,,
0.051080081,4,8,296,22,0.097123366,,,,
0.051102355,4,2,146,1,0.022744386,,,,
0.051193111,4,2,40,300,0.023497852,,,,
0.051288837,6,2,208,172,0.085599145,,,,
0.051519901,8,4,251,183,0.061551477,,,,
0.051576861,2,2,95,1,0.056572381,,,,
0.051784563,8,8,157,75,0.002934145,,,,
0.052183906,6,6,80,31,0.06136087,,,,
0.052216804,4,2,80,209,0.023652308,,,,
0.0522248,4,8,274,240,0.063970512,,,,
0.052364086,6,4,210,184,0.086389035,,,,
0.052553013,6,6,352,234,0.076701714,,,,
0.052583029,4,2,40,300,0.023093657,,,,
0.052632286,4,8,240,133,0.048605879,,,,
0.053221588,4,6,188,22,0.06435731,,,,
0.053260054,4,2,40,1,0.023809133,,,,
0.053284235,4,2,40,252,0.1,,,,
