Time:,3:40:56.204946,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.20228003726821642,6,8,389,211,0.08064192423412105
0.08975930387168896,10,6,202,197,0.03347436684648108
0.04754162614163564,8,8,157,75,0.0029341447674022508
0.13753476748762578,4,8,240,133,0.048605878610700065
0.034654231965991676,8,4,194,252,0.07270977873486632
0.04198559516553936,2,10,389,65,0.060583999231349536
0.06100875158957396,10,2,43,276,0.020185806377915286
0.26439957283968507,10,6,366,251,0.030757790160119945
0.03702740769282903,6,6,77,42,0.06979800950077969
0.040730941951082164,6,10,221,118,0.06686328542085089
0.041024616733609756,4,8,394,276,0.018810961046816087
0.029737600427154905,4,8,296,22,0.09712336592657626
0.04162696370627701,2,6,193,39,0.09876741241299145
0.048638006233970826,6,6,380,44,0.03610195968586977
0.03742945898912702,4,2,120,88,0.012006459246827077
0.036831319314888804,4,2,133,202,0.009669953007555831
0.038132574181455305,10,4,126,186,0.056077578577088345
0.05207417215684302,6,4,61,253,0.09041360125837512
0.04893101683575043,8,4,136,52,0.09736574659897988
0.04383618827967779,2,4,270,183,0.08714436116424583
0.6809278813154758,6,8,254,155,0.09884880914230898
0.04098981310938577,2,6,86,64,0.03573297491422772
0.06899666828026077,8,6,367,82,0.04645931738342402
0.034085129934193534,4,8,60,87,0.08040175895092692
0.05809212249351596,8,4,251,183,0.06155147659912612
0.07124785445715784,10,6,324,135,0.0692480037350623
0.048353776709532705,10,6,105,153,0.04594197287104473
0.047796883158037595,4,6,260,84,0.0611383794408819
0.050646715153754546,6,6,105,273,0.03282993148972293
0.050717740840479475,6,4,190,10,0.08988712008927235
0.04819794122849488,4,8,274,231,0.0652561515151052
2.100257269000774,6,6,204,168,0.07909566993167284
0.03219474922495091,6,2,45,197,0.0545702776484065
0.03627864706744946,6,4,102,30,0.06137483481102342
0.036468599733859366,8,10,191,229,0.019160009000861955
0.040405041120991456,4,6,171,174,0.005868339592638942
0.10455850001865638,6,4,212,206,0.05425040912439362
0.06770625707814808,6,8,222,196,0.06662136233211248
0.05909659092307794,6,4,342,31,0.0944655478245442
0.1262987603704387,6,10,224,205,0.05947601575810611
0.19594960372793166,4,10,239,87,0.05434887024431983
0.05620478120631159,4,10,65,165,0.009783913896099674
0.04447261356712286,6,6,215,187,0.04761548789527824
0.08227293935150455,6,6,352,234,0.07670171430563848
0.20521174073837445,8,8,260,68,0.007443501056011269
0.04860797560833394,4,10,333,15,0.0951016739595857
0.08868671208656823,8,4,133,34,0.011330321831596194
0.12082326990724322,10,8,373,175,0.005542946899956124
0.05806994510737383,2,8,245,5,0.009571527268958182
0.05795140533650509,4,6,188,22,0.0643573101648519
0.04711523836604535,4,4,95,81,0.1
0.10994683476884656,6,6,316,193,0.008076218678532414
0.05322546854437011,4,8,330,216,0.049593403814321056
0.04380450677975827,4,2,83,88,0.1
0.0469325167416863,2,4,40,153,0.0001
0.04876862252471294,2,10,246,168,0.03239297650411567
0.12990517491730227,8,2,282,240,0.010173687611469194
0.03651300495911332,6,10,321,188,0.0815942572967007
0.051229113470059276,8,10,230,215,0.0644356514556516
0.042961430512969245,2,2,40,170,0.018680679893281205
0.03756995227216493,6,6,399,150,0.029557299072243238
0.12859085179719315,8,8,192,161,0.07021933426063763
0.060802270651798086,8,4,364,159,0.04644723371841256
0.08683881860681081,8,6,128,300,0.045441764986816895
0.03243845128300929,6,4,171,179,0.055556076172837233
0.038835754704704385,4,8,112,20,0.08090774989107986
0.05736670149608815,6,4,400,145,0.005290043354806364
0.04248139164410384,6,6,171,182,0.08881316973525376
0.04519148743646331,8,2,400,150,0.0504348224725994
0.06887773275627666,4,8,73,250,0.008499496334584019
0.04101113476117171,6,4,190,227,0.0756100523947116
0.04258913046309608,6,8,235,18,0.06824936727255153
0.03562769232132601,4,2,228,300,0.09850937276523522
0.05052418863740469,6,10,245,207,0.031084853934574507
