Time:,"1 day, 4:28:58.247411",Size:,10000,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch size,Learning rate
0.04236288810767946,2,2,10,1,0.0001
0.04063774003330256,2,2,10,1,0.0002
0.037973594657772586,2,2,10,1,0.0004
0.03908692235214624,2,2,10,1,0.001
0.042617175993251946,2,2,10,1,0.002
0.04741358021421248,2,2,10,1,0.004
0.04756013501776841,2,2,10,1,0.01
0.03873182007550898,2,2,10,1,0.02
0.03270230241932098,2,2,10,1,0.04
0.05273898094899866,2,2,10,1,0.1
0.044285110424980886,2,2,10,10,0.0001
0.04284718243905138,2,2,10,10,0.0002
0.042751153683426274,2,2,10,10,0.0004
0.03805039613672594,2,2,10,10,0.001
0.03786194560301091,2,2,10,10,0.002
0.039607382206815166,2,2,10,10,0.004
0.043641195505937445,2,2,10,10,0.01
0.04901674397926045,2,2,10,10,0.02
0.048703415685456594,2,2,10,10,0.04
0.07688168511019661,2,2,10,10,0.1
0.04278945901750532,2,2,10,25,0.0001
0.04401618683177345,2,2,10,25,0.0002
0.043023705504071905,2,2,10,25,0.0004
0.04347128779218605,2,2,10,25,0.001
0.03932047093457434,2,2,10,25,0.002
0.03771256449237208,2,2,10,25,0.004
0.05294803518426691,2,2,10,25,0.01
0.05226667199313235,2,2,10,25,0.02
0.05066905272824237,2,2,10,25,0.04
0.04363273534490898,2,2,10,25,0.1
0.39525519539907195,2,2,10,50,0.0001
0.15173493236132263,2,2,10,50,0.0002
0.04549121116911342,2,2,10,50,0.0004
0.04274224994664105,2,2,10,50,0.001
0.03981742732955057,2,2,10,50,0.002
0.03836308135747468,2,2,10,50,0.004
0.037798799842439376,2,2,10,50,0.01
0.03988457417397394,2,2,10,50,0.02
0.041462427482057994,2,2,10,50,0.04
0.04290948667372685,2,2,10,50,0.1
0.5729434389868646,2,2,10,80,0.0001
0.3151262892028951,2,2,10,80,0.0002
0.06368518930270348,2,2,10,80,0.0004
0.044506611360243406,2,2,10,80,0.001
0.03945804532536137,2,2,10,80,0.002
0.037704905668684674,2,2,10,80,0.004
0.036908986343108546,2,2,10,80,0.01
0.040145366810996896,2,2,10,80,0.02
0.04269130353057449,2,2,10,80,0.04
0.043712163974994556,2,2,10,80,0.1
0.5371054625810445,2,2,10,100,0.0001
0.29305453517834656,2,2,10,100,0.0002
0.0460045742900717,2,2,10,100,0.0004
0.045188829879827946,2,2,10,100,0.001
0.04325949627294542,2,2,10,100,0.002
0.04034099222125378,2,2,10,100,0.004
0.03640347130959527,2,2,10,100,0.01
0.038684494596531574,2,2,10,100,0.02
0.04289221138404499,2,2,10,100,0.04
0.05267943110371895,2,2,10,100,0.1
0.3002168926262477,2,2,10,150,0.0001
0.2131187017407306,2,2,10,150,0.0002
0.043697347563609976,2,2,10,150,0.0004
0.04601046210293783,2,2,10,150,0.001
0.045112533957835085,2,2,10,150,0.002
0.04386050459640678,2,2,10,150,0.004
0.037477729696763606,2,2,10,150,0.01
0.039085826098703334,2,2,10,150,0.02
0.03859113413634199,2,2,10,150,0.04
0.052630318073507,2,2,10,150,0.1
