Time:,16:33:21.254228,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch size,Learning rate
0.046142265149045264,2,2,10,1,0.0001
0.04584373528859659,2,2,10,1,0.0002
0.04505354826447337,2,2,10,1,0.0004
0.04762441609082359,2,2,10,1,0.001
0.05006929987735946,2,2,10,1,0.002
0.05334631882201911,2,2,10,1,0.004
0.05618458061923953,2,2,10,1,0.01
0.046420668982081525,2,2,10,1,0.02
0.050720094349106695,2,2,10,1,0.04
0.077119507941418,2,2,10,1,0.1
0.046142772261214715,2,2,10,10,0.0001
0.04587055787094492,2,2,10,10,0.0002
0.046803048963814105,2,2,10,10,0.0004
0.04448441931724299,2,2,10,10,0.001
0.04664328828977243,2,2,10,10,0.002
0.04914982747202023,2,2,10,10,0.004
0.052327737755101786,2,2,10,10,0.01
0.05258365193101851,2,2,10,10,0.02
0.05118705556178685,2,2,10,10,0.04
0.03644814195298558,2,2,10,10,0.1
0.04565245847057861,2,2,10,25,0.0001
0.0462702121929718,2,2,10,25,0.0002
0.04634754435259809,2,2,10,25,0.0004
0.04641382189472265,2,2,10,25,0.001
0.04511833135265164,2,2,10,25,0.002
0.0480626212894264,2,2,10,25,0.004
0.05101210054711994,2,2,10,25,0.01
0.05429309520762009,2,2,10,25,0.02
0.05571833228075397,2,2,10,25,0.04
0.0377982655065309,2,2,10,25,0.1
0.05394126089604652,2,2,10,50,0.0001
0.04529621331319776,2,2,10,50,0.0002
0.04535761987642711,2,2,10,50,0.0004
0.0459920203695396,2,2,10,50,0.001
0.045574410137133786,2,2,10,50,0.002
0.0457515859554682,2,2,10,50,0.004
0.04973078118119996,2,2,10,50,0.01
0.052526544818850926,2,2,10,50,0.02
0.05339315628505054,2,2,10,50,0.04
0.055458855122070425,2,2,10,50,0.1
0.15862561662836436,2,2,10,80,0.0001
0.07282712029625317,2,2,10,80,0.0002
0.044559221439285784,2,2,10,80,0.0004
0.04581145205021009,2,2,10,80,0.001
0.04829191412461502,2,2,10,80,0.002
0.04640181768640683,2,2,10,80,0.004
0.04645442693624491,2,2,10,80,0.01
0.04918053848424618,2,2,10,80,0.02
0.042014484785218395,2,2,10,80,0.04
0.04438483103170656,2,2,10,80,0.1
0.04598095135187066,2,2,10,100,0.0001
0.0484549977825061,2,2,10,100,0.0002
0.04581415638878211,2,2,10,100,0.0004
0.046423449153608964,2,2,10,100,0.001
0.04836095855318482,2,2,10,100,0.002
0.04637798620242077,2,2,10,100,0.004
0.054465421322757744,2,2,10,100,0.01
0.046659135511341494,2,2,10,100,0.02
0.04981709237434351,2,2,10,100,0.04
0.05385675228722164,2,2,10,100,0.1
0.04559254869427594,2,2,10,150,0.0001
0.04726990549587755,2,2,10,150,0.0002
0.04863009962078609,2,2,10,150,0.0004
0.048479490025326144,2,2,10,150,0.001
0.04820396926498176,2,2,10,150,0.002
0.045508583870293405,2,2,10,150,0.004
0.04590659497878884,2,2,10,150,0.01
0.04658439327793169,2,2,10,150,0.02
0.04887483241599021,2,2,10,150,0.04
0.05366182155776977,2,2,10,150,0.1
0.8221611372862542,2,2,10,200,0.0001
0.6561797497500648,2,2,10,200,0.0002
0.41978594443458384,2,2,10,200,0.0004
0.11918941209531546,2,2,10,200,0.001
0.04771675876054715,2,2,10,200,0.002
0.04463275068132958,2,2,10,200,0.004
0.04664538936329145,2,2,10,200,0.01
0.046142062783033705,2,2,10,200,0.02
0.04176806450647237,2,2,10,200,0.04
0.04456965607548988,2,2,10,200,0.1
0.8595218654229834,2,2,10,250,0.0001
0.7167627104376311,2,2,10,250,0.0002
0.047727216033057226,2,2,10,250,0.0004
0.047999797221363175,2,2,10,250,0.001
0.048147796370829575,2,2,10,250,0.002
0.04556615495352852,2,2,10,250,0.004
0.04363019475813049,2,2,10,250,0.01
0.043166971985066735,2,2,10,250,0.02
0.04779724074315518,2,2,10,250,0.04
0.050017843135461634,2,2,10,250,0.1
0.04767764652957009,2,2,10,300,0.0001
0.04768262961805681,2,2,10,300,0.0002
0.04771721677065846,2,2,10,300,0.0004
0.047949815732089146,2,2,10,300,0.001
0.051046403205262485,2,2,10,300,0.002
0.04631527092616779,2,2,10,300,0.004
0.04423144219992525,2,2,10,300,0.01
0.04280208889803905,2,2,10,300,0.02
0.05201240540594146,2,2,10,300,0.04
0.051213884155784754,2,2,10,300,0.1
0.04379104675920483,2,2,25,1,0.0001
0.04494636463022704,2,2,25,1,0.0002
0.04582784317579937,2,2,25,1,0.0004
0.04921890889571222,2,2,25,1,0.001
0.05157286440489865,2,2,25,1,0.002
0.05288852176499644,2,2,25,1,0.004
0.047365829327259905,2,2,25,1,0.01
0.059291428134449625,2,2,25,1,0.02
0.05063355716148868,2,2,25,1,0.04
0.05706193193554594,2,2,25,1,0.1
0.04795142846365351,2,2,25,10,0.0001
0.04893158028456775,2,2,25,10,0.0002
0.04575806840073726,2,2,25,10,0.0004
0.04729685408718353,2,2,25,10,0.001
0.04969861596471886,2,2,25,10,0.002
0.05219322359330443,2,2,25,10,0.004
0.05408852045447602,2,2,25,10,0.01
0.053665243795866735,2,2,25,10,0.02
0.05496588025759074,2,2,25,10,0.04
0.05410053151402934,2,2,25,10,0.1
0.04521137014231513,2,2,25,25,0.0001
0.045596596769965046,2,2,25,25,0.0002
0.04757545029647555,2,2,25,25,0.0004
0.05318418646185354,2,2,25,25,0.001
0.0462180691356184,2,2,25,25,0.002
0.047765871367154614,2,2,25,25,0.004
0.053566288619702744,2,2,25,25,0.01
0.05658068503179621,2,2,25,25,0.02
0.050238646269142075,2,2,25,25,0.04
0.046788506841955735,2,2,25,25,0.1
0.04568096227773427,2,2,25,50,0.0001
0.046079021060958104,2,2,25,50,0.0002
0.048052305360194114,2,2,25,50,0.0004
0.046614768840154544,2,2,25,50,0.001
0.05926953101825494,2,2,25,50,0.002
0.04884475378615655,2,2,25,50,0.004
0.049557081015357864,2,2,25,50,0.01
0.0529510322046363,2,2,25,50,0.02
0.052941609734330486,2,2,25,50,0.04
0.05258902712463251,2,2,25,50,0.1
0.0485833881733612,2,2,25,80,0.0001
0.04837462692359743,2,2,25,80,0.0002
0.04573183237332031,2,2,25,80,0.0004
0.046818002777919594,2,2,25,80,0.001
0.046397016039948245,2,2,25,80,0.002
0.04520953583729122,2,2,25,80,0.004
0.05117873533085454,2,2,25,80,0.01
0.050244042681824405,2,2,25,80,0.02
0.05490167203069281,2,2,25,80,0.04
0.051769478285291666,2,2,25,80,0.1
0.048628906931745056,2,2,25,100,0.0001
0.0485184627275535,2,2,25,100,0.0002
0.04500967318778591,2,2,25,100,0.0004
0.0468420216197281,2,2,25,100,0.001
0.04663003801451292,2,2,25,100,0.002
0.04533347542752168,2,2,25,100,0.004
0.04741978336810429,2,2,25,100,0.01
0.051542885091258234,2,2,25,100,0.02
0.05279802953594567,2,2,25,100,0.04
0.05248436757773919,2,2,25,100,0.1
0.48573523374871896,2,2,25,150,0.0001
0.23154913602846783,2,2,25,150,0.0002
0.04713361346057434,2,2,25,150,0.0004
0.04583333528784031,2,2,25,150,0.001
0.044230938568168135,2,2,25,150,0.002
0.04586312316993247,2,2,25,150,0.004
0.04701401986640744,2,2,25,150,0.01
0.04894945405914293,2,2,25,150,0.02
0.05072682404524805,2,2,25,150,0.04
0.05501202438713272,2,2,25,150,0.1
0.09717787694771886,2,2,25,200,0.0001
0.24693645145190285,2,2,25,200,0.0002
0.057472105666947285,2,2,25,200,0.0004
0.04651378468123468,2,2,25,200,0.001
0.045160512400165984,2,2,25,200,0.002
0.04289155378347469,2,2,25,200,0.004
0.04528612307986224,2,2,25,200,0.01
0.05267914371628253,2,2,25,200,0.02
0.05071803050817155,2,2,25,200,0.04
0.04944196632533019,2,2,25,200,0.1
0.0554156950898853,2,2,25,250,0.0001
0.16944081791162133,2,2,25,250,0.0002
0.04633510525439419,2,2,25,250,0.0004
0.04800857542822168,2,2,25,250,0.001
0.04536922448141134,2,2,25,250,0.002
0.043545526006574686,2,2,25,250,0.004
0.04414237611109436,2,2,25,250,0.01
0.052971549165222766,2,2,25,250,0.02
0.05498280985075737,2,2,25,250,0.04
0.060912969171203896,2,2,25,250,0.1
0.2921328928859359,2,2,25,300,0.0001
0.19692664620245648,2,2,25,300,0.0002
0.04666690025406155,2,2,25,300,0.0004
0.04802817570164589,2,2,25,300,0.001
0.04729293408172034,2,2,25,300,0.002
0.046804272386108195,2,2,25,300,0.004
0.04923703585787502,2,2,25,300,0.01
0.05197726018929675,2,2,25,300,0.02
0.05559552121381481,2,2,25,300,0.04
0.05716726976727328,2,2,25,300,0.1
0.045454954798057584,2,2,50,1,0.0001
0.045928168249994655,2,2,50,1,0.0002
0.049041214627806945,2,2,50,1,0.0004
0.05830142405469496,2,2,50,1,0.001
0.051893250761596496,2,2,50,1,0.002
0.06111246712209163,2,2,50,1,0.004
0.07225620661275689,2,2,50,1,0.01
0.05285355639873028,2,2,50,1,0.02
0.0446427801579591,2,2,50,1,0.04
0.07873117508740729,2,2,50,1,0.1
0.04902650711614487,2,2,50,10,0.0001
0.04847092352098565,2,2,50,10,0.0002
0.046888946751885305,2,2,50,10,0.0004
0.04952937282215599,2,2,50,10,0.001
0.05200583843141592,2,2,50,10,0.002
0.06952479256056728,2,2,50,10,0.004
0.06812669662239426,2,2,50,10,0.01
0.05448486716309325,2,2,50,10,0.02
0.05565199330528385,2,2,50,10,0.04
0.05422482700131964,2,2,50,10,0.1
0.04561691915426547,2,2,50,25,0.0001
0.04642963213768947,2,2,50,25,0.0002
0.049818061067348464,2,2,50,25,0.0004
0.0472231090039435,2,2,50,25,0.001
0.05034624362378291,2,2,50,25,0.002
0.04943755077545999,2,2,50,25,0.004
0.07022646427198902,2,2,50,25,0.01
0.07284155812104309,2,2,50,25,0.02
0.05564751237682698,2,2,50,25,0.04
0.054274787815425614,2,2,50,25,0.1
0.04652467500929681,2,2,50,50,0.0001
0.04664300101154435,2,2,50,50,0.0002
0.04701902476040117,2,2,50,50,0.0004
0.061601131154693865,2,2,50,50,0.001
0.05116579144840011,2,2,50,50,0.002
0.049270111516921976,2,2,50,50,0.004
0.04910522972409809,2,2,50,50,0.01
0.052016269041328216,2,2,50,50,0.02
0.055584158859938115,2,2,50,50,0.04
0.03987609854660886,2,2,50,50,0.1
0.04621452136995873,2,2,50,80,0.0001
0.04780874887878067,2,2,50,80,0.0002
0.04740621708011046,2,2,50,80,0.0004
0.046000038035192606,2,2,50,80,0.001
0.04664078905194567,2,2,50,80,0.002
0.047842048839462754,2,2,50,80,0.004
0.0498680600816762,2,2,50,80,0.01
0.051542031087616194,2,2,50,80,0.02
0.05354089938805459,2,2,50,80,0.04
0.05236782460541009,2,2,50,80,0.1
0.09713912870145541,2,2,50,100,0.0001
0.045138403129042604,2,2,50,100,0.0002
0.046851756458965665,2,2,50,100,0.0004
0.04741006978369623,2,2,50,100,0.001
0.046152974318624876,2,2,50,100,0.002
