Time:,33:21.3,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,,
0.019005062,6,2,300,25,0.1,half matched,,0.019005062,,0.030000613
0.021776736,4,2,10,250,0.02,not matched,,0.021776736,,0.030029811
0.023038963,6,2,150,150,0.01,matched,,0.023038963,,0.030053069
0.023347794,4,2,400,10,0.0001,matched,,0.023347794,,0.030053267
0.02393369,4,4,100,200,0.002,not matched,,0.02393369,,0.030060367
0.024344485,4,2,250,80,0.0004,,,0.024344485,,0.030078427
0.024724131,4,4,250,50,0.0002,,,0.024724131,,0.030116665
0.024784933,6,2,200,250,0.001,,,0.024784933,,0.030117419
0.025167979,4,2,150,250,0.001,,,0.025167979,,0.030159765
0.02537288,6,4,10,50,0.01,,,0.02537288,,0.030173905
0.025520783,8,4,10,300,0.02,,,0.235496653,,0.300843309
0.025561056,6,2,10,250,0.02,,,,,
0.025629117,4,4,25,100,0.004,,,,,
0.025643121,4,4,100,150,0.01,,,,,
0.025677617,4,4,250,150,0.01,,,,,
0.025896693,4,2,150,50,0.04,,,,,
0.025927221,4,2,10,150,0.01,,,,,
0.026047005,4,2,150,300,0.001,,,,,
0.026071315,6,4,50,25,0.04,,,,,
0.026284396,4,2,50,10,0.002,,,,,
0.026363108,4,2,400,250,0.002,,,,,
0.026448363,4,2,400,10,0.02,,,,,
0.02646401,4,2,250,100,0.0004,,,,,
0.026718179,4,2,250,10,0.02,,,,,
0.026875015,8,4,25,80,0.01,,,,,
0.02694323,4,2,400,300,0.0004,,,,,
0.026989448,8,2,350,200,0.0004,,,,,
0.027006702,4,2,25,10,0.01,,,,,
0.027186112,4,4,150,200,0.001,,,,,
0.027305818,6,2,300,150,0.002,,,,,
0.027434958,4,2,350,10,0.001,,,,,
0.027583004,8,2,10,25,0.02,,,,,
0.027838828,6,4,10,50,0.02,,,,,
0.027852271,4,2,10,200,0.04,,,,,
0.027870222,8,4,10,100,0.02,,,,,
0.027932926,4,2,400,1,0.001,,,,,
0.027983522,4,2,300,300,0.04,,,,,
0.028004252,10,2,10,300,0.04,,,,,
0.028022241,10,2,250,150,0.0004,,,,,
0.028227571,4,4,100,100,0.0004,,,,,
0.028233747,10,4,200,100,0.0002,,,,,
0.028272111,4,4,200,50,0.04,,,,,
0.028284579,6,2,300,250,0.01,,,,,
0.028337665,8,4,10,200,0.02,,,,,
0.028367644,6,2,10,150,0.02,,,,,
0.028407165,4,2,10,250,0.01,,,,,
0.028455068,4,2,300,200,0.04,,,,,
0.028479453,6,4,10,80,0.04,,,,,
0.028480946,4,4,200,10,0.0001,,,,,
0.028500471,10,2,25,10,0.002,,,,,
0.028548452,4,2,10,25,0.004,,,,,
0.028567247,4,4,250,25,0.002,,,,,
0.028586611,8,4,100,80,0.001,,,,,
0.028612951,10,4,150,150,0.0004,,,,,
0.028663592,4,4,50,200,0.002,,,,,
0.0288006,4,2,100,80,0.004,,,,,
0.028832706,6,2,350,100,0.0002,,,,,
0.028838213,6,2,300,80,0.001,,,,,
0.028856092,4,2,150,1,0.004,,,,,
0.028884259,6,2,350,300,0.002,,,,,
0.028930891,6,2,350,200,0.04,,,,,
0.028959365,4,2,300,150,0.0004,,,,,
0.028982019,10,2,200,50,0.0004,,,,,
0.02899891,4,2,150,10,0.004,,,,,
0.02905357,4,2,350,25,0.0001,,,,,
0.029088006,6,4,350,150,0.0002,,,,,
0.029112691,6,4,25,80,0.002,,,,,
0.029113486,6,2,10,50,0.04,,,,,
0.029164433,10,2,25,80,0.1,,,,,
0.029165649,8,2,150,100,0.01,,,,,
0.029178803,4,2,300,300,0.001,,,,,
0.029192882,4,4,100,100,0.002,,,,,
0.02923711,10,2,300,250,0.0004,,,,,
0.029270638,8,4,10,1,0.0004,,,,,
0.029307735,4,4,10,80,0.1,,,,,
0.029321888,4,2,100,80,0.01,,,,,
0.029524417,6,2,10,300,0.02,,,,,
0.029547967,6,2,400,25,0.004,,,,,
0.029557858,4,2,50,100,0.1,,,,,
0.029578862,6,2,400,80,0.0001,,,,,
0.02958851,10,4,25,50,0.001,,,,,
0.029630607,10,2,50,25,0.0004,,,,,
0.029633267,4,4,100,10,0.0001,,,,,
0.029646431,6,4,10,1,0.0004,,,,,
0.029657986,6,4,25,50,0.02,,,,,
0.029665476,6,2,50,300,0.02,,,,,
0.029748876,4,4,100,150,0.02,,,,,
0.029754074,6,2,10,50,0.02,,,,,
0.029756205,4,2,10,50,0.04,,,,,
0.029762481,4,2,200,50,0.04,,,,,
0.029771651,4,4,10,50,0.01,,,,,
0.029780099,6,2,400,50,0.04,,,,,
0.029795111,4,2,10,50,0.1,,,,,
0.02989566,4,2,300,50,0.02,,,,,
0.029905056,2,2,100,50,0.1,,,,,
0.029912441,8,2,10,50,0.01,,,,,
0.029915027,6,4,50,25,0.0004,,,,,
0.029951319,4,2,350,80,0.04,,,,,
0.029959426,4,2,350,300,0.1,,,,,
0.029966504,10,4,100,25,0.0002,,,,,
0.029991051,4,2,200,25,0.02,,,,,
0.030000613,6,4,10,250,0.04,,,,,
0.030029811,6,2,300,80,0.0004,,,,,
0.030053069,4,4,350,250,0.02,,,,,
0.030053267,6,4,10,100,0.02,,,,,
0.030060367,6,4,150,80,0.001,,,,,
0.030078427,8,4,350,150,0.0002,,,,,
0.030116665,4,2,50,300,0.002,,,,,
0.030117419,4,2,25,25,0.002,,,,,
0.030159765,6,2,200,80,0.0004,,,,,
0.030173905,4,2,350,25,0.01,,,,,
0.030194837,8,4,300,50,0.0001,,,,,
0.030216459,6,2,10,80,0.01,,,,,
0.030219351,2,4,150,10,0.0004,,,,,
0.030228253,6,2,50,100,0.1,,,,,
0.030244122,4,2,350,25,0.004,,,,,
0.030266194,4,2,150,25,0.04,,,,,
0.030271943,4,2,25,80,0.004,,,,,
0.03028264,4,2,400,50,0.02,,,,,
0.030399132,4,2,50,25,0.002,,,,,
0.030404932,2,2,400,200,0.04,,,,,
0.030411805,8,4,150,80,0.0004,,,,,
0.030449951,10,4,10,10,0.002,,,,,
0.030465249,4,4,150,100,0.001,,,,,
0.030467089,10,4,10,50,0.04,,,,,
0.030497669,6,4,100,300,0.1,,,,,
0.030540226,8,2,100,25,0.002,,,,,
0.030540766,6,4,50,80,0.02,,,,,
0.030563743,4,2,250,250,0.02,,,,,
0.030579911,10,4,25,80,0.004,,,,,
0.030588268,6,4,25,100,0.04,,,,,
0.030602667,6,2,10,50,0.01,,,,,
0.030619982,8,2,10,100,0.1,,,,,
0.030627552,4,4,250,50,0.01,,,,,
0.030646431,4,4,300,250,0.04,,,,,
0.030678745,4,4,350,80,0.04,,,,,
0.030723655,6,2,10,200,0.02,,,,,
0.030774775,10,4,300,80,0.0001,,,,,
0.030795529,6,2,250,50,0.0004,,,,,
0.030843749,4,4,100,25,0.0002,,,,,
0.030908597,6,2,200,300,0.001,,,,,
0.030911049,4,2,400,200,0.01,,,,,
0.030911551,4,4,300,80,0.02,,,,,
0.030928217,6,4,150,1,0.04,,,,,
0.03092927,6,2,400,200,0.0002,,,,,
0.030952028,6,2,10,80,0.1,,,,,
0.030956139,4,2,150,300,0.04,,,,,
0.031007109,4,2,200,25,0.01,,,,,
0.031011349,4,2,300,10,0.0001,,,,,
0.031019308,6,2,400,100,0.0002,,,,,
0.031036074,8,2,50,150,0.004,,,,,
0.031060194,10,4,25,50,0.002,,,,,
0.031096359,6,4,50,100,0.01,,,,,
0.03112376,10,2,10,25,0.004,,,,,
0.031131756,2,4,10,200,0.02,,,,,
0.031149866,2,4,10,250,0.04,,,,,
0.031163997,2,4,10,80,0.01,,,,,
0.03117829,10,4,25,80,0.01,,,,,
0.03119244,4,4,150,300,0.002,,,,,
0.031203671,2,4,250,10,0.0001,,,,,
0.031224151,6,4,50,10,0.02,,,,,
0.031227721,6,4,400,25,0.0001,,,,,
0.031229364,8,2,100,50,0.004,,,,,
0.03124903,4,2,25,25,0.004,,,,,
0.031261392,4,2,150,10,0.02,,,,,
0.031262519,10,2,250,80,0.0004,,,,,
0.03129455,4,4,50,25,0.004,,,,,
0.031298349,4,2,150,50,0.1,,,,,
0.031312095,4,4,400,25,0.04,,,,,
0.031333138,6,4,250,300,0.0004,,,,,
0.031368761,8,2,150,300,0.002,,,,,
0.031391407,6,2,150,100,0.002,,,,,
0.031406434,2,4,200,50,0.0002,,,,,
0.031433596,8,2,200,250,0.001,,,,,
0.031447781,4,2,10,150,0.04,,,,,
0.031459623,4,2,400,10,0.01,,,,,
0.031479705,4,4,10,150,0.02,,,,,
0.031482386,6,2,400,250,0.004,,,,,
0.031497758,4,2,200,150,0.04,,,,,
0.03150693,6,2,250,100,0.0004,,,,,
0.031511557,4,2,250,200,0.04,,,,,
0.031516657,2,2,250,200,0.0004,,,,,
0.031544997,6,2,50,10,0.001,,,,,
0.031558996,8,2,100,200,0.01,,,,,
0.031590907,6,2,10,100,0.02,,,,,
0.031600987,4,4,250,150,0.02,,,,,
0.031605093,4,4,150,25,0.01,,,,,
