Time:,2:58:02.776301,Size:,4000,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch size,Learning rate
0.05152033861288235,8,4,249,297,0.00158
0.045841631450023484,4,2,266,43,0.00107
0.04840906591631011,4,4,127,49,0.06879
0.05113135162411754,2,4,252,239,0.02062
0.049161253487282994,8,2,273,29,0.00012
0.05145621065165855,2,2,94,156,0.00251
0.05263437553130358,2,4,124,109,0.01296
0.04970576334099797,10,4,99,298,0.04482
0.04627996259426277,4,2,122,275,0.00032
0.04104047944794305,8,4,212,264,0.00039
0.07661278073954624,8,2,163,191,0.00765
0.05087007650395784,2,2,109,94,0.07235
0.059942496251560125,10,2,135,216,0.04981
0.08962833592116377,6,4,191,162,0.01217
0.05355525780220445,2,2,353,299,0.09594
0.0453696040591326,6,2,374,41,0.03615
0.05111727849924879,8,2,253,289,0.00387
0.10952245948168367,8,2,193,270,0.01951
0.03602687051596607,8,2,296,276,0.00042
0.04713736747459297,10,4,151,88,0.00011
0.05072166218537068,6,4,336,7,0.00011
0.05701575253699137,8,2,213,190,0.00088
0.051010804770792964,2,2,181,226,0.00339
0.039360934079453555,2,2,52,64,0.00562
0.038305037880113184,8,4,213,150,0.00035
0.04989635576948022,6,2,215,83,0.00739
0.0543244662269695,6,2,127,9,0.0053
0.05159642923908495,2,2,276,234,0.05446
0.04080668668435544,8,4,348,37,0.0023
0.07558194310681222,2,2,396,53,0.01058
0.06982940813726495,2,4,259,245,0.01018
0.07245268746360077,2,4,173,228,0.01428
0.04679361584508611,4,2,91,131,0.00017
0.052045532350866806,8,2,378,166,0.00532
0.032223329991967364,8,4,364,199,0.04842
0.0426385643062325,4,2,217,90,0.00866
0.06835613012202575,8,4,361,57,0.00063
0.04666418948372667,10,2,317,152,0.00029
0.04215898013172212,4,4,255,45,0.00618
0.047697370039766394,4,2,98,267,0.00025
0.032953835978008446,10,2,322,97,0.00027
0.04750093322630097,6,2,289,184,0.00082
0.04746014835914615,6,4,223,284,0.00017
0.04195830417771563,10,2,373,106,0.04588
0.04837692898543593,2,4,380,220,0.00097
0.04931418620039374,2,2,233,108,0.00014
0.0773678310323119,8,4,263,88,0.01043
0.04787488708170712,8,2,100,97,0.0002
0.04801111131247228,4,2,205,43,0.00104
0.04222148792386649,10,4,283,132,0.00012
0.03250508092527153,4,2,72,85,0.00127
0.04703351081376887,10,2,57,250,0.00034
0.03832819192011946,4,2,264,14,0.00066
0.0406782856786744,6,2,275,165,0.02239
0.045106366833311505,4,2,261,236,0.01215
0.061763750715261585,8,2,171,213,0.00613
0.05129757586953285,2,4,200,86,0.00233
0.04886920142354971,2,4,92,197,0.00036
0.04344295423036764,4,4,377,215,0.00038
0.045172422262424634,4,2,179,239,0.002
0.05579612009146166,2,2,204,124,0.01819
0.04332016102291533,4,4,197,95,0.00154
0.09883238956725177,10,4,107,17,0.00268
0.047867134268596664,2,2,395,169,0.00033
0.051465298417866484,4,4,366,46,0.0674
0.040300131885095875,4,4,95,168,0.00646
0.07462254729293874,6,4,183,98,0.00963
0.07468532424134453,2,4,129,153,0.01105
0.06382670308115701,10,2,71,175,0.0146
0.05149388112795761,2,2,139,47,0.00321
0.05648509808481575,2,2,196,61,0.00622
0.047467926874737276,6,4,64,123,0.00026
0.044885613842214137,2,2,166,254,0.00051
0.06468201666952791,6,4,138,121,0.00173
0.05225730357654073,6,4,169,172,0.01747
0.05340528896025836,10,2,282,121,0.00736
0.03912596694129504,8,4,136,162,0.0904
0.03702174995118055,8,4,138,72,0.00048
0.05167697681769436,8,2,297,39,0.00017
0.06794071293107726,2,4,73,255,0.09923
0.0903323626720801,6,4,44,55,0.00363
0.04801040987463106,4,2,99,50,0.00094
0.04400819658772432,4,4,98,130,0.03088
0.07298259016841263,4,4,380,194,0.07745
0.04892482205505654,8,4,326,2,0.01821
0.05954404739614695,8,4,357,170,0.00792
0.03336767054854231,6,2,243,272,0.0027
0.04856348178174912,10,4,64,47,0.00136
0.04726713011700835,10,2,392,171,0.00129
0.03676333030669713,10,2,351,155,0.00011
0.04516814693140072,4,2,240,93,0.00019
0.03549405599702893,6,2,201,204,0.01252
0.058907334382482024,4,2,333,26,0.00372
0.043290720259034216,4,4,45,262,0.00695
0.05298614378878176,4,2,369,26,0.00048
0.04887757786547365,8,2,109,101,0.00599
0.030684656777408906,4,4,50,22,0.00068
0.05501885647219053,2,2,90,184,0.0062
0.057190765589615576,2,2,251,265,0.00967
0.0483390689545139,2,2,174,299,0.0001
0.048567550102753765,2,2,152,137,0.00045
0.048629631736809086,4,2,365,229,0.00019
0.10487068560145989,6,4,300,81,0.00686
0.03872726502158455,10,4,310,141,0.00053
0.04826275857565601,2,2,340,226,0.00103
0.05109997873038796,2,4,109,9,0.00134
0.0471252156936445,4,4,95,4,0.01258
0.04541587890434606,2,4,140,262,0.0004
0.05647955355289763,10,2,374,254,0.02213
0.04042433624023818,6,2,86,194,0.00228
0.0545597908273975,10,4,353,70,0.04284
0.062147135752853785,6,4,195,192,0.00846
0.07047228407195713,10,4,101,167,0.04393
0.050741852748847696,2,2,199,12,0.00095
0.04427101675650642,4,4,258,184,0.02139
0.04043021118137475,6,2,142,219,0.00059
0.04058388674071052,10,4,398,217,0.00054
0.048233076231677566,2,2,272,161,0.00033
0.04669670579639247,10,2,165,295,0.00018
0.054660245901021184,6,4,281,272,0.05538
0.04365860370696083,4,2,259,78,0.00107
0.05598905124673132,2,2,155,87,0.00176
0.07703088517996348,2,2,203,5,0.02119
0.03706160811380417,2,4,127,163,0.00144
0.03621054055918496,10,2,353,214,0.0005
0.054560805286677894,6,2,301,26,0.00047
0.0375497360330076,4,2,385,8,0.00084
0.06478478225867658,2,4,252,250,0.04758
0.10180512850803572,6,2,332,233,0.00604
0.052292061941474385,2,2,217,20,0.00054
0.03678207452331797,4,2,369,95,0.00084
0.03593678113650348,6,2,120,177,0.00102
0.05150018293321206,10,2,212,64,0.0009
0.051595555673675644,2,2,278,46,0.00293
0.05274362805449299,4,4,349,139,0.04085
0.03791187735584403,4,4,211,29,0.06591
0.04554572144985318,2,2,94,3,0.00014
0.04644940027477748,10,4,290,37,0.00101
0.050953993952096314,4,4,399,36,0.0002
0.04270341707073051,8,4,84,210,0.00977
0.10376997718206368,10,4,398,205,0.00926
0.0737043721979818,2,2,228,155,0.01353
0.045956899834488446,6,2,72,265,0.09887
0.06915182924269986,10,4,174,58,0.00585
0.06453259725230102,10,4,391,292,0.01435
0.049082936453073295,6,2,41,228,0.0105
0.04292985571752292,4,4,89,109,0.00121
0.04007130783191909,6,2,283,87,0.00011
0.04734030554869314,8,2,182,11,0.01091
0.04907849591648453,4,2,74,113,0.00013
0.023938031548946574,4,2,392,60,0.00013
0.054952906515573774,10,4,319,295,0.00204
0.04934619432542116,10,2,169,225,0.00414
0.053268776652083266,6,2,355,272,0.09127
0.04731696838125949,2,2,105,97,0.00019
0.04612650161728778,2,4,76,129,0.00665
0.0505709806614585,2,2,244,45,0.02173
0.050237052790672296,2,2,99,177,0.02213
0.11104761907407093,10,4,265,198,0.01044
0.04421480832299831,2,2,252,236,0.00049
0.05000861784382524,2,2,325,172,0.00132
0.039751827450961674,8,4,44,292,0.05085
0.042607218309624786,8,2,58,174,0.00134
0.044898984623946286,8,4,108,296,0.00046
0.04639340508780695,10,2,115,55,0.02894
0.05288024900033735,2,4,97,19,0.001
0.04700489105336962,2,2,111,44,0.00058
0.03437075019732397,4,2,195,165,0.00227
0.13379520756134144,8,4,346,39,0.03713
0.0521280047562384,6,2,309,163,0.04339
0.055681989896748454,8,2,255,101,0.01127
0.06975458375018145,10,2,100,21,0.00743
0.044125554687811354,10,2,276,283,0.00355
0.04188787666564562,4,4,109,210,0.00312
0.04561307740563439,4,4,359,145,0.00019
0.15650414240764043,8,4,267,276,0.0759
0.04074291907244483,6,4,88,98,0.01392
0.0527252944965043,2,2,396,194,0.00851
0.0470125788990345,2,4,43,161,0.00045
0.04736134899613879,6,4,385,254,0.00012
0.04504211897328743,8,4,250,207,0.00014
0.028212483887660816,6,2,353,272,0.08523
0.03288181734139466,6,2,389,145,0.00546
0.04222103191478282,6,4,160,280,0.02363
0.04397113974108511,8,2,50,230,0.01354
0.04816019012895481,6,4,169,54,0.00076
0.08592530343051583,8,2,198,49,0.01017
0.0659814566707494,8,4,72,204,0.03942
0.04443049171727259,4,4,105,4,0.00019
0.04809202702027556,4,2,230,285,0.04705
0.08972046163321401,8,4,258,221,0.00257
0.03375988964270755,4,4,207,154,0.08414
0.04557987529676706,2,2,57,160,0.00014
0.043967028365975665,2,4,104,67,0.00014
0.07988876689122276,2,2,189,51,0.01001
0.04601118395946409,6,4,156,134,0.00022
0.07517552261189231,2,2,274,93,0.02453
0.05443628688413897,8,4,265,140,0.06092
0.06858563160970738,8,4,116,167,0.08697
0.05871951666264735,8,4,342,165,0.01411
0.03679494281768048,4,2,128,227,0.00052
0.048070109019108485,6,2,109,111,0.00019
0.04723451047685616,6,2,204,269,0.00011
0.04839708502818948,4,4,152,272,0.00021
