Time:,58:02.8,Size:,4000,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,
0.022614665,4,4,224,260,0.00061,not,0.022614665,,0.030004601
0.022639919,4,4,336,166,0.00034,match,0.022639919,,0.0300716
0.022989843,6,2,41,184,0.00503,match,0.022989843,,0.030207902
0.023880375,2,4,67,166,0.08779,half,0.023880375,,0.03022262
0.023938032,4,2,392,60,0.00013,match,0.023938032,,0.030328034
0.024454763,4,2,348,180,0.00034,,0.024454763,,0.030331243
0.024573569,4,4,159,177,0.00055,,0.024573569,,0.030541994
0.02475583,4,2,266,292,0.00086,,0.02475583,,0.030562079
0.025799449,6,4,399,273,0.00022,,0.025799449,,0.03068206
0.026590043,4,4,43,15,0.00108,,0.026590043,,0.030684657
0.02671807,6,4,354,206,0.0005,,0.242236487,,0.303636791
0.027193351,8,4,313,65,0.00012,,,,
0.027287217,4,2,124,162,0.00187,,,,
0.027318516,4,4,156,242,0.00065,,,,
0.027349607,4,2,386,79,0.00183,,,,
0.027476975,10,2,171,61,0.00023,,,,
0.027528787,4,4,261,234,0.00057,,,,
0.02757273,4,2,296,99,0.00026,,,,
0.027670537,6,2,300,52,0.0002,,,,
0.027874535,4,2,133,274,0.00309,,,,
0.028181022,4,4,62,237,0.00327,,,,
0.028212484,6,2,353,272,0.08523,,,,
0.028396843,6,4,336,59,0.00015,,,,
0.028503688,6,2,100,13,0.02235,,,,
0.028610667,8,2,200,246,0.00086,,,,
0.028736703,8,4,249,269,0.02187,,,,
0.028751609,4,4,255,127,0.00023,,,,
0.028752631,8,2,93,37,0.04197,,,,
0.028755987,4,2,195,151,0.00366,,,,
0.028842777,4,4,336,26,0.00316,,,,
0.028946017,4,2,44,19,0.00046,,,,
0.029012104,6,2,330,269,0.00048,,,,
0.02939224,4,2,317,108,0.00587,,,,
0.029466572,4,4,176,197,0.00051,,,,
0.02952024,6,4,180,256,0.03184,,,,
0.029525369,4,4,183,253,0.00051,,,,
0.029548998,6,4,153,281,0.00098,,,,
0.029646367,2,2,179,29,0.00018,,,,
0.029696971,4,2,86,40,0.00074,,,,
0.029698758,6,2,102,97,0.00079,,,,
0.029782385,10,4,90,150,0.00085,,,,
0.029807596,8,2,396,233,0.0135,,,,
0.029902151,2,4,266,106,0.0004,,,,
0.030004601,8,2,244,269,0.00073,,,,
0.0300716,4,2,398,70,0.02918,,,,
0.030207902,6,2,310,61,0.00015,,,,
0.03022262,8,2,324,113,0.00032,,,,
0.030328034,8,2,382,264,0.00027,,,,
0.030331243,8,2,250,155,0.0003,,,,
0.030541994,4,2,256,8,0.01462,,,,
0.030562079,4,2,228,93,0.00618,,,,
0.03068206,4,2,341,149,0.06509,,,,
0.030684657,4,4,50,22,0.00068,,,,
0.030869084,8,2,109,41,0.00026,,,,
0.030876803,4,4,64,5,0.01083,,,,
0.030915262,6,4,159,79,0.00026,,,,
0.030927447,4,2,138,83,0.00947,,,,
0.03095117,10,2,331,134,0.00108,,,,
0.030961772,6,2,249,10,0.00011,,,,
0.03097228,6,2,296,57,0.00021,,,,
0.031019366,8,4,372,202,0.00017,,,,
0.031131089,6,2,382,232,0.00981,,,,
0.031210013,4,2,277,175,0.05421,,,,
0.031304669,4,4,77,235,0.00115,,,,
0.031411656,4,2,353,83,0.032,,,,
0.031425488,8,4,70,83,0.072,,,,
0.031446736,10,4,191,38,0.0001,,,,
0.031531777,10,2,182,276,0.00083,,,,
0.031559698,6,2,325,245,0.00039,,,,
0.031578254,8,2,62,107,0.00128,,,,
0.031675409,8,2,92,204,0.00118,,,,
0.031819696,8,2,205,27,0.00011,,,,
0.03190277,6,4,145,63,0.0006,,,,
0.03215023,10,4,347,293,0.00033,,,,
0.032220828,4,2,360,239,0.00538,,,,
0.03222333,8,4,364,199,0.04842,,,,
0.032227029,4,2,237,244,0.01626,,,,
0.032248177,10,2,167,201,0.00065,,,,
0.032267202,4,4,238,288,0.04678,,,,
0.032301862,4,2,300,296,0.00065,,,,
0.032337734,10,4,306,214,0.00021,,,,
0.032349548,6,4,102,231,0.00118,,,,
0.032354293,8,4,343,236,0.00036,,,,
0.032384549,4,4,235,261,0.00218,,,,
0.032487928,2,2,264,200,0.01856,,,,
0.032505081,4,2,72,85,0.00127,,,,
0.03258905,10,2,339,253,0.00026,,,,
0.032649586,8,4,82,78,0.00028,,,,
0.03269636,8,2,330,209,0.00025,,,,
0.032716204,4,2,395,152,0.01672,,,,
0.032719735,8,2,56,38,0.08771,,,,
0.032725573,6,2,262,77,0.00019,,,,
0.032739215,4,4,163,169,0.01773,,,,
0.03281473,4,2,46,32,0.0333,,,,
0.032817205,2,4,315,86,0.0002,,,,
0.032873243,8,2,73,229,0.00508,,,,
0.032878457,8,4,246,120,0.00051,,,,
0.032881817,6,2,389,145,0.00546,,,,
0.032900763,8,2,330,181,0.0003,,,,
0.032901329,8,4,371,36,0.00015,,,,
0.032930598,6,2,378,49,0.00021,,,,
0.032953836,10,2,322,97,0.00027,,,,
0.032970582,2,4,277,221,0.0099,,,,
0.032972188,4,2,317,36,0.02619,,,,
0.033039554,4,2,287,245,0.01827,,,,
0.033050617,6,2,75,299,0.0049,,,,
0.033085162,8,2,232,148,0.00056,,,,
0.033096847,6,2,40,220,0.00192,,,,
0.033112136,4,4,148,298,0.00107,,,,
0.033161166,8,2,329,64,0.00123,,,,
0.033164018,8,4,316,298,0.0003,,,,
0.033178592,8,4,201,74,0.00097,,,,
0.033208512,6,4,140,240,0.00067,,,,
0.033221401,8,2,257,199,0.00182,,,,
0.033274324,10,2,356,233,0.00066,,,,
0.033284004,4,2,346,198,0.00036,,,,
0.033335627,10,4,152,245,0.00151,,,,
0.033356475,6,2,44,80,0.03887,,,,
0.033367671,6,2,243,272,0.0027,,,,
0.033386377,4,4,65,2,0.00043,,,,
0.03340588,4,2,362,100,0.05405,,,,
0.033433321,4,4,283,53,0.09327,,,,
0.033452217,10,4,120,75,0.00093,,,,
0.033490801,10,4,360,266,0.0003,,,,
0.033513487,4,4,386,235,0.00742,,,,
0.03352491,10,4,178,274,0.00482,,,,
0.033576547,6,4,112,174,0.00052,,,,
0.033586282,6,2,198,165,0.00147,,,,
0.033619755,6,2,335,28,0.00012,,,,
0.033675234,6,2,259,27,0.0045,,,,
0.033713067,10,2,65,97,0.00068,,,,
0.033730946,8,4,209,143,0.00317,,,,
0.033747498,4,4,292,112,0.03932,,,,
0.033754307,4,2,242,284,0.00919,,,,
0.03375989,4,4,207,154,0.08414,,,,
0.033770056,10,4,168,99,0.00036,,,,
0.033770678,6,4,49,31,0.00313,,,,
0.033816147,4,2,385,26,0.00116,,,,
0.03382009,4,2,226,229,0.05177,,,,
0.033822388,2,4,345,42,0.00015,,,,
0.033873945,8,2,381,175,0.00036,,,,
0.033907678,10,4,172,214,0.01655,,,,
0.033914011,4,2,227,89,0.0058,,,,
0.033918382,8,4,226,63,0.00013,,,,
0.033922527,4,4,290,251,0.04469,,,,
0.033933217,6,4,221,108,0.00037,,,,
0.033967849,4,4,133,238,0.04658,,,,
0.033968079,8,2,360,87,0.0002,,,,
0.033976798,8,4,87,290,0.00163,,,,
0.034030764,10,4,99,39,0.00321,,,,
0.034036865,6,2,156,168,0.00057,,,,
0.034065776,4,2,333,16,0.00525,,,,
0.034071332,8,2,158,134,0.00063,,,,
0.034078954,6,2,399,241,0.00029,,,,
0.034080812,4,4,271,63,0.00026,,,,
0.034215299,4,4,205,24,0.00556,,,,
0.034251829,6,2,40,126,0.0264,,,,
0.034268484,6,4,331,68,0.09924,,,,
0.034297018,8,4,217,43,0.08789,,,,
0.034307817,8,2,164,295,0.00106,,,,
0.034341594,6,2,280,177,0.0028,,,,
0.034342059,4,2,333,100,0.0512,,,,
0.03437075,4,2,195,165,0.00227,,,,
0.034409426,6,4,358,30,0.00046,,,,
0.034491046,10,4,276,151,0.0007,,,,
0.034648641,2,4,261,259,0.00106,,,,
0.03467167,8,2,113,194,0.00076,,,,
0.034677918,8,2,323,209,0.02982,,,,
0.034684867,4,2,125,46,0.01756,,,,
0.034686619,4,4,264,247,0.06758,,,,
0.034689923,8,2,146,92,0.00955,,,,
0.034701368,4,2,239,43,0.07141,,,,
0.034803332,8,4,248,48,0.00811,,,,
0.034817824,4,4,273,222,0.00056,,,,
0.034822087,4,4,123,276,0.01983,,,,
0.034830522,8,2,292,219,0.00063,,,,
0.034834794,4,2,84,286,0.006,,,,
0.034860948,8,4,74,47,0.00054,,,,
0.034867086,10,2,222,284,0.00091,,,,
0.03491492,6,2,355,56,0.00012,,,,
0.034919061,2,2,117,144,0.00104,,,,
0.034937406,6,4,399,276,0.00032,,,,
0.034962388,6,2,199,288,0.00393,,,,
0.034973483,4,4,144,249,0.04992,,,,
0.034978104,6,2,375,291,0.00033,,,,
0.035030559,6,2,90,189,0.00101,,,,
0.035035816,6,2,219,118,0.00337,,,,
0.035044664,4,2,79,163,0.00171,,,,
0.035067481,8,2,45,164,0.0021,,,,
0.035070307,4,4,290,162,0.0071,,,,
0.035131631,4,2,335,222,0.03604,,,,
0.03513234,4,4,355,287,0.02571,,,,
0.035137556,6,2,194,27,0.01046,,,,
0.035144931,6,4,232,20,0.01985,,,,
0.035193361,8,4,304,162,0.00019,,,,
0.035236839,6,4,102,133,0.00707,,,,
0.03524368,4,4,396,277,0.00238,,,,
0.035254509,10,2,377,131,0.00018,,,,
0.035261158,4,4,300,163,0.00802,,,,
0.035291097,8,4,265,215,0.00022,,,,
0.035295655,8,2,329,154,0.00024,,,,
0.035316113,6,4,341,33,0.04245,,,,
0.03533474,8,2,229,228,0.00083,,,,
0.035337327,10,4,72,176,0.0015,,,,
0.035352643,6,2,380,38,0.01188,,,,
0.035403257,4,4,381,91,0.04444,,,,
0.035429236,8,4,152,19,0.00013,,,,
0.035430949,4,2,147,238,0.07791,,,,
0.035461528,2,2,254,293,0.00166,,,,
0.035492007,8,4,257,76,0.00057,,,,
0.035494056,6,2,201,204,0.01252,,,,
0.035510087,6,2,339,216,0.00043,,,,
0.035546279,6,2,316,157,0.00035,,,,
0.03557319,4,4,278,194,0.04914,,,,
0.035581285,2,2,308,80,0.00043,,,,
0.035604705,8,2,79,224,0.00147,,,,
0.035614086,10,4,253,158,0.00077,,,,
0.035639808,4,4,219,128,0.07534,,,,
0.03572077,6,2,201,28,0.00073,,,,
0.035753898,8,4,195,270,0.00043,,,,
0.035811821,4,4,47,227,0.02011,,,,
0.035821943,6,2,197,143,0.00153,,,,
0.035839038,6,2,56,37,0.03349,,,,
0.035849581,4,2,293,177,0.02067,,,,
0.035881063,4,4,382,263,0.06653,,,,
0.035915328,10,2,399,2,0.0133,,,,
0.035924678,6,4,316,284,0.00023,,,,
0.035936781,6,2,120,177,0.00102,,,,
0.035946044,6,4,159,50,0.00106,,,,
0.035968216,10,2,184,22,0.00026,,,,
0.035971783,10,4,325,76,0.00012,,,,
0.03597591,10,2,49,8,0.00094,,,,
0.035980744,6,2,123,78,0.00407,,,,
0.035981488,4,2,176,45,0.01833,,,,
