Time:,4:32:05.478459,Size:,4000,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch size,Learning rate
0.037145712048952804,2,2,137,282,0.00074
0.056113889470135486,10,4,52,11,0.00813
0.04146712533882765,6,4,87,90,0.082
0.040769422301136025,4,4,59,82,0.0012
0.09787329828540053,8,2,296,208,0.00476
0.15414391005445496,4,4,392,7,0.07259
0.04718015969302533,2,2,361,12,0.00232
0.04420720038006018,4,2,246,68,0.00069
0.04565546279525234,8,2,52,124,0.0003
0.03822511031301853,10,2,171,31,0.00067
0.043197431139351455,2,2,81,147,0.00349
0.043605094576488965,10,4,70,237,0.00079
0.061648208256360804,8,4,139,140,0.04252
0.04379794098952746,8,2,210,173,0.00146
0.11054401674372892,10,2,327,23,0.00641
0.04220440503457071,4,2,220,246,0.00025
0.04576878410772756,8,2,312,6,0.03096
0.07591747430438299,8,4,209,164,0.0106
0.055990623429319326,10,2,218,55,0.00241
0.05646404455275923,6,4,292,184,0.03067
0.11863798392393252,8,4,94,289,0.03318
0.03402076452808416,8,2,286,22,0.00014
0.054280430151855734,6,2,42,7,0.00815
0.05260488847598998,2,2,218,123,0.08805
0.04961031814758842,6,2,122,190,0.02845
0.057266322075584,6,4,398,190,0.00065
0.044480486417850226,4,2,355,77,0.00495
0.05208766245328522,10,2,52,146,0.00185
0.04367019010442773,2,4,315,103,0.01429
0.03542466304395494,4,2,168,266,0.02699
0.05674861684234947,6,4,166,185,0.00288
0.04062903910014736,4,4,107,75,0.0002
0.04195972680719784,8,4,240,116,0.00011
0.0400964304356339,8,2,130,255,0.00041
0.042610300965514436,6,4,345,76,0.01621
0.050034403364637034,8,4,178,209,0.04857
0.061944292093650856,8,2,159,152,0.01559
0.05489337732310284,8,4,253,262,0.00084
0.03696722447911697,6,2,48,230,0.00709
0.04343595937904755,2,4,185,156,0.00034
0.07481947983491521,8,2,315,75,0.00158
0.04130242230614164,4,2,55,71,0.02773
0.12199520657103696,8,2,352,188,0.00341
0.045754137829098214,6,2,62,176,0.00013
0.046955975041476194,6,4,322,118,0.00063
0.04942153262056855,8,2,148,82,0.00168
0.03713018464235151,4,4,184,281,0.0258
0.04232575262595438,2,2,164,108,0.00188
0.044986010002885185,10,2,290,219,0.0015
0.04410611517366845,10,4,179,268,0.00081
0.04075385929492134,8,2,387,207,0.00027
0.04768357551584465,6,4,212,72,0.01326
0.07058299600864837,10,4,244,112,0.00184
0.050594934947524636,10,2,104,195,0.03648
0.040074030616157684,2,4,187,178,0.00139
0.04116889647442508,2,4,271,114,0.00083
0.037606665025917585,4,2,349,237,0.00028
0.04430549298281432,2,4,99,256,0.01514
0.045718795706677,2,2,49,81,0.00017
0.040788893201425744,4,4,76,245,0.0064
0.07147189967971665,10,4,343,157,0.00166
0.13998789718075993,10,4,142,266,0.06877
0.041690500472121125,4,4,342,51,0.0161
0.04782432030763799,10,2,298,267,0.00543
0.09167837746178505,8,2,324,44,0.02723
0.09465725777808004,10,4,274,185,0.01311
0.04274283828392347,2,4,78,90,0.00023
0.09354077368315467,10,2,136,8,0.001
0.3931109146503135,10,4,389,91,0.00759
0.06982770097818061,6,4,154,63,0.00079
0.040971076419321906,4,2,168,273,0.00427
0.03344190674958391,6,2,59,252,0.00352
0.059348876218025426,10,4,214,48,0.06085
0.04728799341992975,10,2,63,150,0.00277
0.051875330418532886,4,4,340,146,0.00084
0.04645904722087826,4,2,370,53,0.00081
0.04706362689251274,8,4,284,227,0.02237
0.12644713045278422,8,2,330,6,0.00197
0.06793300081440158,6,4,307,86,0.03003
0.0960894329407102,10,4,51,83,0.08942
0.04809726630821965,8,2,193,215,0.00102
0.12560571963385797,10,4,375,119,0.0058
0.0616242144793991,10,4,157,200,0.00638
0.04235527528408088,2,4,376,210,0.00116
0.0797020550542584,6,4,318,137,0.00311
0.0525966540691494,6,2,371,202,0.00066
0.0473677048607281,4,4,46,246,0.00013
0.03805861626174032,10,4,298,195,0.00208
0.0970139878803255,10,2,311,287,0.00556
0.036194816565024664,10,2,183,78,0.0005
0.04003130042518596,6,2,77,133,0.00043
0.04939457237284962,2,4,358,205,0.00024
0.07147720266280388,8,2,146,273,0.00939
0.05562104044050847,4,4,141,221,0.00499
0.07073323276896781,8,4,43,205,0.03958
0.04503414733996247,2,2,339,287,0.0029
0.049019138335640984,8,2,175,265,0.00699
0.04061784470987262,10,2,50,262,0.00085
0.07411759763069034,10,4,346,287,0.01496
0.041977922740138146,2,2,151,214,0.01052
0.23729765777039646,10,2,281,65,0.01386
0.044877260512101946,2,2,141,266,0.02382
0.05198986843729246,6,4,318,40,0.02428
0.04240883853294349,6,2,308,294,0.00081
0.045843510202725354,8,2,122,264,0.01493
0.03984289186115796,10,2,152,294,0.00066
0.06420879060998931,2,2,317,212,0.06174
0.043865734708279945,8,2,86,184,0.00024
0.041695760080599664,8,4,108,204,0.00111
0.07438669107565682,6,4,176,230,0.0141
0.04189260583402646,4,2,328,161,0.00054
0.0454743276530238,6,2,327,268,0.00149
0.05847793204473884,4,4,373,59,0.09066
0.045859584632931015,2,2,111,78,0.00021
0.06478478347632799,8,2,194,250,0.01231
0.04857932034863828,4,2,199,214,0.00047
0.03749043189215303,2,2,315,250,0.00035
0.07049724226822546,6,4,114,90,0.03158
