Time:,5:52:26.891771,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.05759239399997554,2,6,224,41,0.08064192423412103
0.04768086661801383,4,2,179,130,0.007273215059508822
0.046879165620003695,4,10,45,90,0.024808593416913882
0.05593406854238955,2,6,356,147,0.09273606069074071
0.10032614875130874,10,6,42,162,0.0428274181917624
0.10438026884496653,10,2,56,295,0.09682790027813942
0.03930676278699109,10,6,144,239,0.0020710613474879506
0.050164110411560485,10,4,195,95,0.07869205483768324
0.11495297928812218,8,10,230,214,0.056239312813269125
0.20745644942465447,6,4,391,74,0.039154858473409694
0.04468144532665306,8,2,259,182,0.0918360358210653
0.04808243221190592,2,4,369,54,0.09271900346907196
0.05440412431289722,10,8,99,291,0.06650706442900041
0.08404902856149898,10,6,393,172,0.0647102188636915
0.048117724308233224,4,10,225,172,0.07078503380927997
0.07549910491497733,8,8,287,294,0.02917128202799367
0.06987360904768063,8,2,118,153,0.031132724044077346
0.053569593410940135,10,2,98,106,0.019263820659653652
0.10520827830066273,10,8,309,48,0.019758268482958752
0.054410163374607357,6,10,248,98,0.09594806861738564
0.043542212310080576,4,6,192,296,0.01701845950808498
0.08424174299383448,10,10,146,140,0.0568229622306388
0.11559080667646608,4,4,202,173,0.05785016516445345
0.028342880163800648,6,8,52,256,0.05146311125843841
0.10303156868635786,10,8,268,163,0.04262202063245138
0.045526849470574844,4,2,139,200,0.09094373788872283
0.07659283913253502,4,6,242,203,0.09193063320108244
0.12717152472466342,8,8,52,141,0.07206510027954517
0.04133451165508369,4,10,59,184,0.04648073603176681
0.08747937697046197,8,8,142,300,0.007804288449990143
0.038108293202041996,4,10,202,235,0.0912199196237351
0.16581552964156504,10,8,344,146,0.026772041541217317
0.0386507914014254,4,4,320,17,0.04590662423325395
0.09666066633199571,8,2,186,100,0.011056464700712114
0.044740121515104606,8,10,281,1,0.034981229817218525
0.0561722375573637,2,10,203,134,0.08608117610679762
0.06808591462948929,6,4,240,191,0.055809227678689406
