Time:,21:08.4,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,,
0.032651921,4,10,231,215,0.059051081,,,,0.032651921
0.03321844,4,10,45,90,0.024808593,,,,0.03321844
0.033343598,10,2,98,106,0.019263821,,,,0.033343598
0.035181434,6,6,307,187,0.008529759,,,,0.035181434
0.035325054,6,2,290,183,0.015072723,,,,0.035325054
0.035523134,6,8,52,256,0.051463111,,,,0.035523134
0.035656415,4,10,236,246,0.022293971,,,,0.035656415
0.035948539,4,2,179,130,0.007273215,,,,0.035948539
0.035954675,4,10,202,235,0.09121992,,,,0.035954675
0.036874384,6,6,296,181,0.043175398,,,,0.036874384
0.037196662,6,4,303,239,0.013602691,,,,0.349677594
0.037785718,4,6,96,72,0.065288426,,,,
0.038150538,6,10,328,148,0.017549675,,,,
0.038412595,4,10,59,184,0.046480736,,,,
0.038736325,4,4,320,17,0.045906624,,,,
0.038758476,6,2,301,169,0.016460306,,,,
0.039457577,4,10,335,203,0.016299009,,,,
0.039623829,6,8,357,214,0.016973526,,,,
0.039795128,10,6,42,162,0.042827418,,,,
0.039824748,4,6,227,91,0.0032287,,,,
0.040042569,6,4,339,201,0.016136425,,,,
0.040294164,4,10,338,203,0.019899809,,,,
0.041714334,8,6,230,85,0.005913605,,,,
0.042571171,6,6,217,33,0.003711171,,,,
0.042589828,6,10,332,209,0.025995923,,,,
0.042644854,6,6,334,205,0.015244807,,,,
0.042930671,6,6,303,155,0.028470023,,,,
0.042994063,6,10,330,172,0.018302689,,,,
0.043099439,10,6,225,51,0.050596165,,,,
0.043270375,6,10,232,236,0.070835198,,,,
0.043326789,4,10,225,172,0.070785034,,,,
0.043520675,6,8,340,210,0.017179274,,,,
0.04383083,6,10,330,207,0.012939181,,,,
0.044850969,6,10,313,218,0.017631573,,,,
0.044870143,10,8,309,48,0.019758268,,,,
0.045822744,6,10,256,82,0.065464968,,,,
0.04585231,6,6,321,183,0.014563669,,,,
0.046063061,4,6,192,296,0.01701846,,,,
0.046667482,8,8,52,141,0.0720651,,,,
0.046771086,6,10,342,201,0.003829485,,,,
0.047022624,6,10,338,221,0.099404534,,,,
0.047300763,6,10,345,204,0.033873068,,,,
0.04735387,6,6,262,194,0.017067381,,,,
0.047417961,6,10,263,222,0.018017862,,,,
0.047597498,6,10,379,211,0.018387438,,,,
0.047903003,6,10,385,1,0.006354569,,,,
0.048021787,4,4,202,173,0.057850165,,,,
0.048094801,2,4,369,54,0.092719003,,,,
0.048121117,6,10,333,229,0.017128943,,,,
0.048487502,4,10,323,67,0.00271662,,,,
0.04912376,8,10,332,249,0.016855207,,,,
0.049554748,8,4,317,96,0.017579026,,,,
0.0495747,10,4,64,22,0.09179047,,,,
0.049588416,6,6,301,172,0.017737788,,,,
0.049623383,6,6,307,175,0.019743305,,,,
0.049638224,6,10,232,253,0.067047077,,,,
0.049794305,6,6,357,206,0.016054595,,,,
0.049798356,8,10,227,53,0.016519332,,,,
0.049798749,6,10,334,238,0.009411056,,,,
0.049838071,6,10,345,208,0.037977228,,,,
0.050113704,6,6,324,157,0.016571782,,,,
0.050332438,2,6,356,147,0.092736061,,,,
0.0504615,4,10,219,138,0.005577656,,,,
0.050526647,6,2,295,41,0.017001493,,,,
0.050656409,6,10,338,45,0.001372691,,,,
0.050818719,6,10,201,226,0.004592753,,,,
0.050820094,6,2,338,210,0.001007953,,,,
0.051206089,8,10,329,37,0.017356375,,,,
0.051304159,10,2,56,295,0.0968279,,,,
0.051586014,6,10,248,98,0.095948069,,,,
0.051595779,8,10,52,173,0.059253662,,,,
0.051603653,6,8,295,263,0.017099937,,,,
0.051635423,6,2,316,45,0.017083942,,,,
0.051939993,6,6,305,177,0.012300959,,,,
0.051980425,2,6,299,165,0.01700506,,,,
0.051985385,6,6,300,189,0.02324564,,,,
0.052225007,6,4,321,152,0.017941055,,,,
0.052380009,2,6,338,98,0.004881415,,,,
0.052413721,10,6,393,172,0.064710219,,,,
0.05260219,8,8,142,300,0.007804288,,,,
0.052652077,4,10,333,99,0.052071455,,,,
0.052671906,6,6,311,155,0.016528673,,,,
0.05307417,6,6,330,176,0.00388548,,,,
0.053100474,4,10,343,181,0.015669205,,,,
0.053137529,6,8,73,222,0.084014519,,,,
0.053298284,6,10,318,201,0.013167918,,,,
0.053627418,6,8,305,199,0.018255701,,,,
0.053720758,6,10,272,213,0.017793707,,,,
0.054537351,8,10,281,1,0.03498123,,,,
0.054856043,8,2,186,100,0.011056465,,,,
0.054960372,10,4,195,95,0.078692055,,,,
0.055162499,4,6,306,178,0.017308754,,,,
0.055269299,2,6,224,41,0.080641924,,,,
0.055375743,8,6,308,205,0.017618443,,,,
0.055637774,6,10,326,264,0.018037495,,,,
0.055877776,6,10,324,204,0.015568571,,,,
0.056134146,6,10,329,219,0.020397504,,,,
0.05634931,6,10,229,223,0.087252252,,,,
0.056552072,6,6,216,69,0.004063245,,,,
0.05667871,6,10,363,3,0.004309056,,,,
0.056758936,8,2,118,153,0.031132724,,,,
0.05716712,6,10,354,203,0.019552209,,,,
0.057199306,6,6,305,266,0.016805246,,,,
0.057349041,6,6,303,174,0.021423126,,,,
0.057463164,6,10,312,230,0.013282763,,,,
0.058065465,6,10,338,197,0.018067133,,,,
0.058300969,10,8,99,291,0.066507064,,,,
0.058302663,6,10,330,216,0.036069444,,,,
0.058627836,6,6,310,224,0.017369431,,,,
0.058637253,6,2,315,166,0.014135216,,,,
0.05899173,6,6,302,185,0.020873844,,,,
0.059608208,6,8,342,216,0.00137128,,,,
0.060053222,10,6,144,239,0.002071061,,,,
0.060183206,6,10,350,214,0.01494609,,,,
0.060256914,2,2,385,3,0.045467777,,,,
0.060325849,8,4,255,18,0.089250721,,,,
