Time:,42:23.7,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,
0.029749751,4,4,320,17,0.045906624,,,
0.032103495,4,4,391,6,0.02934552,,,
0.032903313,6,6,388,81,0.040345929,,,0.029749751
0.034143828,6,4,391,191,0.047200482,,,0.032103495
0.034484161,4,4,391,73,0.044044573,,,0.032903313
0.034588269,6,2,391,3,0.045040229,,,0.034143828
0.034698769,6,2,390,76,0.036351754,,,0.034484161
0.03575397,4,6,96,72,0.065288426,,,0.034588269
0.035962528,6,10,248,98,0.095948069,,,0.034698769
0.03631769,4,2,391,78,0.038496524,,,0.03575397
0.036367791,6,4,391,83,0.08603654,,,0.035962528
0.036428007,4,10,59,184,0.046480736,,,0.03631769
0.036694303,4,4,392,83,0.040268971,,,0.340705775
0.036964989,6,8,73,222,0.084014519,,,
0.036989853,4,4,230,74,0.040009829,,,
0.037203914,6,4,396,73,0.037432152,,,
0.037796627,6,4,390,93,0.046155115,,,
0.038314567,4,4,382,280,0.039176362,,,
0.038677979,6,4,397,74,0.084954368,,,
0.03873593,4,4,391,72,0.080045262,,,
0.038789607,6,4,398,74,0.030319445,,,
0.038808278,6,4,399,5,0.03855922,,,
0.038886739,6,8,52,256,0.051463111,,,
0.039452051,6,4,395,127,0.03920079,,,
0.039486792,6,4,373,76,0.037825975,,,
0.040102042,6,4,391,69,0.036225528,,,
0.040274436,2,2,385,3,0.045467777,,,
0.040344093,4,6,242,203,0.091930633,,,
0.040492687,6,6,391,35,0.039486117,,,
0.040550482,4,4,400,77,0.039437251,,,
0.040623962,6,4,246,74,0.045001793,,,
0.040676744,6,2,394,81,0.03884351,,,
0.040849161,6,4,389,58,0.037097128,,,
0.041275703,6,4,391,49,0.015852847,,,
0.041351899,6,4,391,104,0.049770584,,,
0.041714671,6,4,388,105,0.039804489,,,
0.041848793,6,4,390,60,0.019262372,,,
0.042102166,6,4,391,76,0.04452171,,,
0.042620415,6,4,254,49,0.039258805,,,
0.04272053,4,10,45,90,0.024808593,,,
0.042750576,4,4,386,48,0.056244862,,,
0.042886501,6,4,59,268,0.028652698,,,
0.042898457,6,4,392,81,0.032123733,,,
0.042921265,6,4,391,158,0.024847401,,,
0.042964506,10,4,195,95,0.078692055,,,
0.043041599,6,4,190,70,0.039681416,,,
0.043603524,8,6,384,21,0.039156844,,,
0.043649528,4,6,370,1,0.039145038,,,
0.043931263,6,2,391,244,0.034371804,,,
0.044019336,10,6,225,51,0.050596165,,,
0.044091302,10,4,388,73,0.043733723,,,
0.044245005,6,4,393,159,0.03955979,,,
0.044302268,6,4,392,12,0.040835438,,,
0.044343123,6,2,396,163,0.039132264,,,
0.044514857,6,4,379,75,0.042661887,,,
0.044619729,2,4,369,54,0.092719003,,,
0.044910646,6,4,360,78,0.040468764,,,
0.044929226,8,6,389,74,0.042580113,,,
0.045161028,4,6,192,296,0.01701846,,,
0.045231689,10,6,144,239,0.002071061,,,
0.04544213,6,4,388,74,0.031840123,,,
0.045763089,6,10,396,45,0.039523852,,,
0.04582385,6,4,346,76,0.039096086,,,
0.045997096,6,4,391,5,0.04528802,,,
0.04614274,6,2,400,60,0.00011223,,,
0.04638434,6,4,63,77,0.039949659,,,
0.046461259,6,4,390,77,0.042608997,,,
0.046651771,4,4,390,9,0.039157412,,,
0.046885761,2,4,390,106,0.041522795,,,
0.047322163,6,10,389,43,0.039615961,,,
0.047330246,6,4,393,75,0.038033329,,,
0.04745071,2,6,356,147,0.092736061,,,
0.047483249,4,4,392,270,0.039638303,,,
0.047567782,8,4,391,77,0.039942157,,,
0.047818525,6,6,398,74,0.081958917,,,
0.048058454,6,4,379,75,0.091502107,,,
0.048131431,6,4,391,59,0.04972408,,,
0.048136312,6,4,343,43,0.038875473,,,
0.04852761,8,4,399,89,0.04084779,,,
0.048588994,6,4,387,62,0.039523364,,,
0.048620002,6,2,393,68,0.039152282,,,
0.048736013,4,4,391,4,0.038520227,,,
0.048749861,6,4,393,76,0.040546109,,,
0.048774024,6,4,391,72,0.072689526,,,
0.049110126,6,4,130,74,0.038095136,,,
0.049263993,6,8,391,58,0.055411768,,,
0.049533034,4,2,179,130,0.007273215,,,
0.049713221,6,4,378,80,0.039398306,,,
0.049778163,10,4,64,22,0.09179047,,,
0.049789375,6,8,383,43,0.000568508,,,
0.049959585,6,6,400,73,0.038722592,,,
0.050058097,6,4,264,84,0.039120356,,,
0.050417738,2,2,398,74,0.043033365,,,
0.050471873,6,10,340,75,0.038399203,,,
0.050659007,2,10,203,134,0.086081176,,,
0.050847756,6,6,382,147,0.039168426,,,
0.051129077,6,6,375,55,0.039434295,,,
0.051312058,10,4,392,74,0.055858689,,,
0.051688326,6,4,391,47,0.033868123,,,
0.051865049,6,4,390,72,0.069095959,,,
0.051970101,6,4,391,85,0.035022245,,,
0.052047232,4,10,202,235,0.09121992,,,
0.052220827,6,8,397,77,0.038731776,,,
0.052256946,6,6,378,74,0.045262907,,,
0.052372244,6,4,389,27,0.038556971,,,
0.052434515,6,2,333,74,0.099497295,,,
0.052476962,10,6,42,162,0.042827418,,,
0.052592321,8,2,118,153,0.031132724,,,
0.053209047,8,4,365,74,0.037906196,,,
0.053796054,6,8,382,88,0.038665526,,,
0.053817975,6,8,391,194,0.03917099,,,
0.05382325,6,6,229,99,0.008155453,,,
0.053901544,6,2,317,71,0.040952074,,,
0.054055911,6,4,302,73,0.035603974,,,
0.054242785,6,4,393,113,0.038471299,,,
0.054385217,6,4,349,74,0.059945619,,,
0.054567474,6,8,392,86,0.038414788,,,
0.054790726,6,4,398,83,0.039709128,,,
0.054853093,2,10,74,228,0.05434887,,,
0.055083855,4,4,384,73,0.03832135,,,
0.055748959,6,6,366,74,0.057824614,,,
0.055958528,6,2,390,73,0.041279015,,,
0.056079718,6,8,398,82,0.039081769,,,
0.056707926,6,10,387,73,0.04307977,,,
0.056753389,6,2,392,80,0.054972777,,,
0.057086278,8,4,395,74,0.039520216,,,
0.057280991,6,4,394,74,0.038019104,,,
0.057791138,6,4,388,74,0.037771047,,,
0.058173513,6,8,391,113,0.038983807,,,
0.058193185,6,4,273,289,0.00314658,,,
0.058409317,10,8,99,291,0.066507064,,,
0.058465966,4,4,391,104,0.038590391,,,
0.058570931,6,4,325,74,0.044038992,,,
0.058584816,6,4,393,45,0.042362142,,,
0.058892251,6,2,383,63,0.039202499,,,
0.058980051,2,6,391,74,0.04471121,,,
0.059194164,4,10,225,172,0.070785034,,,
0.059260274,6,4,394,280,0.03929168,,,
0.059272417,8,4,385,75,0.03849115,,,
0.059536624,6,4,391,93,0.001292766,,,
0.059538737,6,4,394,74,0.019141231,,,
0.059815367,10,2,390,138,0.082557649,,,
0.060000244,4,10,382,74,0.038299384,,,
0.060022724,6,4,392,72,0.013431706,,,
0.06067112,10,2,56,295,0.0968279,,,
0.060680476,6,6,389,77,0.039000597,,,
0.060694822,6,4,379,69,0.039911939,,,
0.060752261,2,6,173,189,0.019280318,,,
0.061208962,6,4,386,108,0.039220074,,,
0.061382107,6,4,391,65,0.079350585,,,
0.061647368,4,4,202,173,0.057850165,,,
