Time:,7:00:47.173356,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.07623904730567012,2,6,224,41,0.08064192423412103
0.04206467958969197,4,2,179,130,0.007273215059508822
0.04125580198962931,4,10,45,90,0.024808593416913882
0.08189227674122808,2,6,356,147,0.09273606069074071
0.0658193503798196,10,6,42,162,0.0428274181917624
0.049465913726576737,10,2,56,295,0.09682790027813942
0.0580581367626379,10,6,144,239,0.0020710613474879506
0.050897841815155664,10,4,195,95,0.07869205483768324
0.08177696716230667,8,10,230,214,0.056239312813269125
0.05088509129078992,6,4,391,74,0.039154858473409694
0.09711461561944865,8,2,259,182,0.0918360358210653
0.06453121740030998,2,4,369,54,0.09271900346907196
0.06839635935843533,10,8,99,291,0.06650706442900041
0.056042242868153215,10,6,393,172,0.0647102188636915
0.0483649463729275,4,10,225,172,0.07078503380927997
0.06245237269473369,8,8,287,294,0.02917128202799367
0.036660738951225284,8,2,118,153,0.031132724044077346
0.05332943381942592,10,2,98,106,0.019263820659653652
0.3694811572426098,10,8,309,48,0.019758268482958752
0.04912359133633072,6,10,248,98,0.09594806861738564
0.06042415171017461,4,6,192,296,0.01701845950808498
0.09842770385581454,10,10,146,140,0.0568229622306388
0.03934018299711499,4,4,202,173,0.05785016516445345
0.05139679011104095,6,8,52,256,0.05146311125843841
0.10741208044978405,10,8,268,163,0.04262202063245138
0.047282784012769086,4,2,139,200,0.09094373788872283
0.033381355792635646,4,6,242,203,0.09193063320108244
0.04947338894845381,8,8,52,141,0.07206510027954517
0.037923138090411174,4,10,59,184,0.04648073603176681
0.04979549394382194,8,8,142,300,0.007804288449990143
0.051400157048362094,4,10,202,235,0.0912199196237351
0.10218508043921529,10,8,344,146,0.026772041541217317
0.04782703776060157,4,4,320,17,0.04590662423325395
0.05493400347669794,8,2,186,100,0.011056464700712114
0.038695734701399864,8,10,281,1,0.034981229817218525
0.037882403218548,2,10,203,134,0.08608117610679762
0.031916467103116325,6,4,240,191,0.055809227678689406
0.08611509833043189,6,10,256,82,0.06546496783204049
0.06466727982006701,2,2,385,3,0.045467777392825745
0.08682160286055123,6,6,229,99,0.008155453073350926
0.042624378751989045,10,2,390,138,0.08255764881189866
0.05861058362465314,10,4,64,22,0.09179047036844225
0.07423431943461865,6,4,273,289,0.003146579904197482
0.042214985552254634,4,6,96,72,0.06528842566539408
0.09770746210201856,6,8,73,222,0.08401451869380935
0.058372982448384084,8,4,255,18,0.08925072126800854
0.04756907918011241,6,4,59,268,0.028652698263462298
0.0778570533419619,2,10,74,228,0.05434887024431982
0.04850284993792582,10,6,225,51,0.050596165380355065
0.05575741880972879,2,6,173,189,0.01928031757040092
0.058262628394461495,10,2,387,17,0.016932991227310512
0.07364324177921538,10,6,382,58,0.01663655954935229
0.09018745562603533,4,8,328,37,0.01625231741990964
0.03824920777395867,8,8,301,17,0.01542192972996853
0.07813034993283877,8,8,332,17,0.015652214157972296
0.06783959306624268,10,10,387,9,0.017443202139001086
0.08863987581024654,10,8,214,43,0.020470026641404557
0.08468091354648555,10,10,305,18,0.00897771621249552
0.07861219154468384,10,2,312,87,0.023348951826117945
0.1630817919479761,10,8,378,20,0.020155786838542623
0.04766551283932244,10,8,332,46,0.09264899945254887
0.05678627246481038,10,8,294,43,0.01349676908810756
0.08627438681907214,10,8,305,41,0.01198349027056831
0.06345860907746972,10,8,302,50,0.07210410243577
0.04742148320843069,10,8,303,40,0.025736618670700512
0.08521967372582381,10,8,305,1,0.01873405406389135
0.06814742215315224,10,8,289,49,0.020063871093162194
0.11617455544807306,10,8,306,273,0.02341207225690564
0.10614104643125331,10,8,310,91,0.020999596206727495
0.03907320434031667,10,8,311,41,0.017190619074894605
0.05680198559043172,10,8,313,41,0.037027240837054644
0.14083300751152417,10,8,322,52,0.01841160669750201
0.06389693112238297,10,8,301,53,0.01934260732423681
0.06975728004749299,10,10,319,54,0.021933769513946415
0.09702338601233262,10,8,308,69,0.017596667737779938
0.20234285769422192,8,8,309,105,0.01949876222840988
0.10413837280350867,10,8,320,46,0.03102252863583696
0.3794779607963168,4,8,300,31,0.019820691834247228
0.069311500289334,2,10,280,24,0.02066813359193219
0.03683952745603921,4,8,136,36,0.020800836367569766
0.04916190126995987,4,8,122,51,0.02342774549454304
0.04500740298593005,4,8,287,5,0.014769406460143469
0.2469995415244253,4,8,277,54,0.012807095541304896
0.15188681372589774,4,8,241,65,0.03133597159576487
