Time:,00:47.2,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,
0.02783886,4,8,398,36,0.019723466,,,
0.030747601,4,8,227,44,0.016537999,,,0.02783886
0.030811732,4,8,356,31,0.021868178,,,0.030747601
0.031423325,4,8,152,78,0.019684135,,,0.030811732
0.031916467,6,4,240,191,0.055809228,,,0.031423325
0.032347046,4,8,220,44,0.080173152,,,0.031916467
0.033381356,4,6,242,203,0.091930633,,,0.032347046
0.033582335,4,8,222,11,0.023381872,,,0.033381356
0.034470331,4,8,192,44,0.008410446,,,0.033582335
0.034536765,4,8,294,5,0.019146687,,,0.034470331
0.03456645,4,8,299,13,0.029078792,,,0.034536765
0.035220892,4,10,320,57,0.006328208,,,0.321055817
0.0357194,4,8,188,79,0.021176085,,,
0.036171819,4,8,315,30,0.031937104,,,
0.03630112,4,10,302,33,0.01983701,,,
0.036660739,8,2,118,153,0.031132724,,,
0.036839527,4,8,136,36,0.020800836,,,
0.037118075,4,8,231,29,0.019462745,,,
0.037179753,4,2,300,31,0.021480175,,,
0.037314341,4,8,308,8,0.015174505,,,
0.037882403,2,10,203,134,0.086081176,,,
0.037923138,4,10,59,184,0.046480736,,,
0.038249208,8,8,301,17,0.01542193,,,
0.038695735,8,10,281,1,0.03498123,,,
0.038812112,4,8,317,252,0.019809263,,,
0.038828531,4,8,300,45,0.014601683,,,
0.039073204,10,8,311,41,0.017190619,,,
0.039101957,4,6,300,33,0.01044001,,,
0.039221623,2,8,223,1,0.020184625,,,
0.039238251,4,8,224,32,0.02735206,,,
0.039247461,4,8,301,102,0.009772923,,,
0.039313343,4,6,288,203,0.019745456,,,
0.039340183,4,4,202,173,0.057850165,,,
0.039513696,4,8,302,35,0.000842921,,,
0.039530688,4,8,184,51,0.021015116,,,
0.04018015,4,8,297,28,0.022398975,,,
0.040791606,4,8,395,20,0.007747049,,,
0.040829939,4,8,221,37,0.008979063,,,
0.04116137,4,8,296,34,0.01445696,,,
0.041255802,4,10,45,90,0.024808593,,,
0.041324734,4,8,299,24,0.017838494,,,
0.041367135,4,8,230,48,0.019473357,,,
0.04206468,4,2,179,130,0.007273215,,,
0.042129517,4,10,297,35,0.007878574,,,
0.042214986,4,6,96,72,0.065288426,,,
0.042524958,4,8,307,35,0.001566494,,,
0.042624379,10,2,390,138,0.082557649,,,
0.042914011,4,6,304,36,0.006002963,,,
0.042974973,4,8,335,48,0.008360168,,,
0.043166161,4,8,272,31,0.007354799,,,
0.043701882,4,8,294,61,0.003355063,,,
0.043717986,4,8,299,47,0.006428662,,,
0.044262562,4,8,348,59,0.008549575,,,
0.044713336,4,8,230,39,0.017356341,,,
0.044795485,4,8,299,63,0.0088854,,,
0.045007403,4,8,287,5,0.014769406,,,
0.045168302,4,8,307,111,0.006892998,,,
0.045427826,4,6,223,33,0.020435819,,,
0.045741532,4,8,233,146,0.022958538,,,
0.045900009,4,8,223,29,0.046699644,,,
0.045926848,4,8,265,8,0.018045103,,,
0.045937429,2,10,387,34,0.019817225,,,
0.04621893,4,10,291,44,0.013151607,,,
0.046230645,4,8,350,32,0.041280479,,,
0.046390057,4,8,297,130,0.003033847,,,
0.046644988,4,8,166,21,0.022241137,,,
0.04703997,4,8,286,278,0.019764345,,,
0.047083137,4,8,302,70,0.00533978,,,
0.047084246,4,8,294,1,0.019665736,,,
0.047282784,4,2,139,200,0.090943738,,,
0.047421483,10,8,303,40,0.025736619,,,
0.047569079,6,4,59,268,0.028652698,,,
0.047665513,10,8,332,46,0.092648999,,,
0.04779995,4,8,303,201,0.020603689,,,
0.047827038,4,4,320,17,0.045906624,,,
0.048149314,4,8,297,36,0.010361894,,,
0.048344918,4,8,304,27,0.018462512,,,
0.048351525,4,8,298,33,0.011064581,,,
0.048364946,4,10,225,172,0.070785034,,,
0.04850285,10,6,225,51,0.050596165,,,
0.048854191,4,8,307,89,0.006130825,,,
0.049065581,4,8,300,20,0.020681974,,,
0.049123591,6,10,248,98,0.095948069,,,
0.049161901,4,8,122,51,0.023427745,,,
0.049192026,2,8,380,32,0.01979363,,,
0.049410637,2,8,339,36,0.007011976,,,
0.049422351,4,8,300,93,0.019903192,,,
0.049465914,10,2,56,295,0.0968279,,,
0.049473389,8,8,52,141,0.0720651,,,
0.049538397,4,8,321,31,0.031374947,,,
0.049589614,4,8,335,2,0.016328652,,,
0.04973661,4,8,306,39,0.018490259,,,
0.049795494,8,8,142,300,0.007804288,,,
0.049847302,4,8,299,54,0.014422535,,,
0.049966847,4,8,225,42,0.039078918,,,
0.050056995,4,8,298,14,0.017328903,,,
0.050120961,4,8,217,60,0.024547377,,,
0.050276249,4,8,266,29,0.019929819,,,
0.050491972,4,8,302,35,0.032933111,,,
0.050499089,4,8,322,33,0.023721876,,,
0.050603945,4,2,304,32,0.017167775,,,
0.050885091,6,4,391,74,0.039154858,,,
0.050897842,10,4,195,95,0.078692055,,,
0.051390224,4,8,299,34,0.017787477,,,
0.05139679,6,8,52,256,0.051463111,,,
0.051400157,4,10,202,235,0.09121992,,,
0.051799155,4,8,114,31,0.019814147,,,
0.052144088,4,8,301,34,0.011911635,,,
0.052394336,4,10,305,9,0.019420181,,,
0.052499621,4,8,280,8,0.008273754,,,
0.052954385,4,8,274,26,0.020476873,,,
0.052995688,2,8,334,33,0.005953903,,,
0.053127011,4,8,298,37,0.098431998,,,
0.053329434,10,2,98,106,0.019263821,,,
0.053535366,4,8,302,28,0.000629621,,,
0.053601185,4,8,223,80,0.019922546,,,
0.053904974,2,8,224,31,0.00718589,,,
0.053971823,4,8,229,19,0.020464246,,,
0.054002121,2,8,296,23,0.02174395,,,
0.05435207,4,8,300,26,0.012580753,,,
0.054934003,8,2,186,100,0.011056465,,,
0.055393717,4,6,302,31,0.014488721,,,
0.055757419,2,6,173,189,0.019280318,,,
0.056042243,10,6,393,172,0.064710219,,,
0.056434493,4,8,321,32,0.021756132,,,
0.056786272,10,8,294,43,0.013496769,,,
0.056801986,10,8,313,41,0.037027241,,,
0.056975118,2,8,272,13,0.062901034,,,
0.057075139,4,8,317,222,0.009228114,,,
0.057148604,4,8,299,20,0.009171757,,,
0.057194003,4,8,233,30,0.015562823,,,
0.058058137,10,6,144,239,0.002071061,,,
0.058149776,4,8,222,56,0.043771481,,,
0.058262628,10,2,387,17,0.016932991,,,
0.058349234,4,8,398,31,0.007554008,,,
0.058372982,8,4,255,18,0.089250721,,,
0.058610584,10,4,64,22,0.09179047,,,
