Time:,10:49:50.564208,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.040352453941354574,2,6,224,41,0.08064192423412103
0.04423666239619555,4,2,179,130,0.007273215059508822
0.04134623426203707,4,10,45,90,0.024808593416913882
0.044878151714020445,2,6,356,147,0.09273606069074071
0.10541369530942801,10,6,42,162,0.0428274181917624
0.043673105753070464,10,2,56,295,0.09682790027813942
0.06266480352410059,10,6,144,239,0.0020710613474879506
0.04274999408744253,10,4,195,95,0.07869205483768324
0.049803832731072174,8,10,230,214,0.056239312813269125
0.053045980231249776,6,4,391,74,0.039154858473409694
0.056547547610810225,8,2,259,182,0.0918360358210653
0.050907811393386154,2,4,369,54,0.09271900346907196
0.10822280195239699,10,8,99,291,0.06650706442900041
0.1671988317044923,10,6,393,172,0.0647102188636915
0.037317095304164924,4,10,225,172,0.07078503380927997
0.0980755728986602,8,8,287,294,0.02917128202799367
0.06449739941652305,8,2,118,153,0.031132724044077346
0.05771033220021808,10,2,98,106,0.019263820659653652
0.0925949609321514,10,8,309,48,0.019758268482958752
0.04141477327445317,6,10,248,98,0.09594806861738564
0.039320999509301194,4,6,192,296,0.01701845950808498
0.03588053389506059,10,10,146,140,0.0568229622306388
0.03608144455667352,4,4,202,173,0.05785016516445345
0.03285668641963828,6,8,52,256,0.05146311125843841
0.08967230813051214,10,8,268,163,0.04262202063245138
0.04322560688000013,4,2,139,200,0.09094373788872283
0.044486007807814414,4,6,242,203,0.09193063320108244
0.08518173313270093,8,8,52,141,0.07206510027954517
0.10434846372324555,4,10,59,184,0.04648073603176681
0.07342452067267831,8,8,142,300,0.007804288449990143
0.061912129596733714,4,10,202,235,0.0912199196237351
0.14997388358835598,10,8,344,146,0.026772041541217317
0.047970223388147284,4,4,320,17,0.04590662423325395
0.05764585028943682,8,2,186,100,0.011056464700712114
0.13567235450012638,8,10,281,1,0.034981229817218525
0.04175641784411734,2,10,203,134,0.08608117610679762
0.07588887503090784,6,4,240,191,0.055809227678689406
0.0640866866086961,6,10,256,82,0.06546496783204049
0.03883848616820331,2,2,385,3,0.045467777392825745
0.06673645080926444,6,6,229,99,0.008155453073350926
0.04147865476947693,10,2,390,138,0.08255764881189866
0.030842220069108337,10,4,64,22,0.09179047036844225
0.034759980257519196,6,4,273,289,0.003146579904197482
0.042429978578054854,4,6,96,72,0.06528842566539408
0.0456665150533343,6,8,73,222,0.08401451869380935
20.617021597806502,8,4,255,18,0.08925072126800854
0.061022430871774176,6,4,59,268,0.028652698263462298
0.04193121490980536,2,10,74,228,0.05434887024431982
0.09447595308145625,10,6,225,51,0.050596165380355065
0.048092481210452086,2,6,173,189,0.01928031757040092
0.048410113309036204,6,4,190,4,0.08748885647361965
0.03672590640354794,6,4,234,6,0.08842133094542634
0.035721693423798315,6,2,253,18,0.08768060471854186
0.08512020500143787,10,4,246,10,0.09036335721744569
0.06615687693858796,8,2,233,25,0.08807627460368168
0.11052986923711555,8,4,357,26,0.08545252746298294
0.04352633720085832,8,2,240,17,0.09969400885234461
0.0437267315506065,8,4,313,26,0.09150709575769893
0.04578823191245546,8,6,255,15,0.08297217094355835
0.05879303132052491,8,4,372,19,0.09014479923470195
0.0407702649126443,8,4,75,10,0.09058563818532436
0.05029172113598586,8,4,259,23,0.07183569755432806
0.043466644613091895,10,4,263,1,0.09905666116490566
0.04836638744018942,8,4,242,12,0.08899981074907488
0.04162683886836877,8,4,258,5,0.09842609498951208
0.03924006237852999,8,2,259,18,0.08444002472885284
0.06778881621459087,8,4,291,18,0.08309918300944236
0.05458139363006047,8,4,186,18,0.0986364420215784
0.03432133360530641,8,4,271,19,0.0939760439072062
0.03562627186634573,8,4,230,18,0.09113849817110994
0.03280660584088573,8,4,243,27,0.0867800448497721
0.04568632453566299,8,4,283,43,0.08960178556044811
0.053168547641091836,4,4,259,17,0.0892651651242425
0.04814118061029999,8,4,244,26,0.08885943808722574
0.04784282612165971,10,4,263,16,0.08804046180784551
0.052061061665267624,8,4,329,18,0.08958347147771933
0.033398631206329875,8,4,242,21,0.08746819633715447
0.041663914810526205,10,4,258,21,0.08817106232339728
0.07350686962576038,8,4,251,18,0.009528839101697212
0.07208049257408264,8,2,255,15,0.09267535153071417
0.030670538562663194,8,4,246,21,0.09080271983468616
0.04990220861712871,8,10,257,17,0.09505785952222054
0.06145020449294536,8,4,255,115,0.08974899824133639
0.048985284134252724,8,8,255,104,0.08947634030739761
0.04348235073466474,2,4,253,18,0.09700554055247587
0.08236784109262654,8,6,258,19,0.09024096982439554
0.038615702558551956,8,4,107,3,0.08906107066468032
0.02965235038854511,4,10,257,18,0.08840374945857744
0.04244630686383914,8,4,263,39,0.0893975120754967
0.10540677616698478,8,4,255,29,0.045349098186394945
0.07843251490039312,10,10,315,19,0.08921677948079303
0.06367885605749143,8,4,255,44,0.08527018772436067
0.053709895051820014,8,4,298,83,0.08912248427502546
0.04351470710695893,8,2,255,12,0.0901280325133514
0.03787952003029836,8,2,348,39,0.08916758137861412
0.05382798177088208,8,4,253,52,0.08927120479214057
0.0401112100349496,8,4,140,28,0.0892199709925291
0.046536812056723324,10,6,254,18,0.08620201547968086
0.4619554459031259,10,4,255,79,0.08920087006655274
0.051382336716131224,4,10,260,26,0.0892067204964883
0.07252678687217437,8,4,255,9,0.05086628613577594
0.043373649557443335,8,4,249,17,0.05952020628016894
0.041528641848047755,8,4,72,17,0.0894697408748689
0.06279354867649937,8,4,219,18,0.09345838613037404
0.06346819563144845,8,6,272,17,0.08931812821013613
0.035602021606115905,8,4,374,19,0.08921428210725023
0.04515459935255192,8,4,257,6,0.07955406923135591
0.04099113246090002,8,4,239,15,0.08838257454671564
0.10227982707762509,4,4,251,18,0.04285049465469199
