Time:,3:27:14.240456,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.0440581410633187,2,6,224,41,0.08064192423412103
0.03679340537250837,4,2,179,130,0.007273215059508822
0.042539298603062464,4,10,45,90,0.024808593416913882
0.5460648400466465,2,6,356,147,0.09273606069074071
0.05655496549781654,10,6,42,162,0.0428274181917624
0.02786226558750298,10,2,56,295,0.09682790027813942
0.03451056385277233,10,6,144,239,0.0020710613474879506
0.09146207383555466,10,4,195,95,0.07869205483768324
0.03306899716069536,8,10,230,214,0.056239312813269125
0.040040769327024855,6,4,391,74,0.039154858473409694
0.0342661603724506,8,2,259,182,0.0918360358210653
0.0778701930302702,2,4,369,54,0.09271900346907196
0.0903635030175312,10,8,99,291,0.06650706442900041
0.05484426749296712,10,6,393,172,0.0647102188636915
0.04433058218320906,4,10,225,172,0.07078503380927997
0.06208165355586143,8,8,287,294,0.02917128202799367
0.061172563680151774,8,2,118,153,0.031132724044077346
0.04715780519624805,10,2,98,106,0.019263820659653652
0.07033606124160972,10,8,309,48,0.019758268482958752
0.05450373957721435,6,10,248,98,0.09594806861738564
0.04224026686654511,4,6,192,296,0.01701845950808498
0.07459722392172308,10,10,146,140,0.0568229622306388
0.03863057703868503,4,4,202,173,0.05785016516445345
0.028562792932871003,6,8,52,256,0.05146311125843841
0.1358823727662941,10,8,268,163,0.04262202063245138
0.039475012107933194,4,2,139,200,0.09094373788872283
0.05682091974317868,4,6,242,203,0.09193063320108244
0.043398656857046206,8,8,52,141,0.07206510027954517
0.04293523196537398,4,10,59,184,0.04648073603176681
0.055454102095038815,8,8,142,300,0.007804288449990143
0.049191693042330106,4,10,202,235,0.0912199196237351
0.14187728435861066,10,8,344,146,0.026772041541217317
0.05860739597951745,4,4,320,17,0.04590662423325395
0.09370060085181396,8,2,186,100,0.011056464700712114
0.04194979708102739,8,10,281,1,0.034981229817218525
0.03333640070888052,2,10,203,134,0.08608117610679762
0.049682450373921695,6,4,240,191,0.055809227678689406
0.06822719932878457,6,10,256,82,0.06546496783204049
0.07226294021136882,2,2,385,3,0.045467777392825745
0.10182533000710543,6,6,229,99,0.008155453073350926
0.030572772883567356,10,2,390,138,0.08255764881189866
0.0376802475948544,10,4,64,22,0.09179047036844225
0.0641927054565232,6,4,273,289,0.003146579904197482
0.027483285585899273,4,6,96,72,0.06528842566539408
0.045884031808800706,6,8,73,222,0.08401451869380935
0.04289850199353475,8,4,255,18,0.08925072126800854
0.026823542723013266,6,4,59,268,0.028652698263462298
0.07949040598378734,2,10,74,228,0.05434887024431982
0.05183782284663597,10,6,225,51,0.050596165380355065
0.09246844688228194,2,6,173,189,0.01928031757040092
0.05007651356020641,2,2,288,168,0.09954275126752887
0.027262197901773182,2,4,393,178,0.09901323315660202
0.04390497199731995,2,2,384,262,0.09378316467773182
0.0879095359068412,2,6,396,256,0.09792318298535117
0.08150067802647767,2,6,287,100,0.09877656105103756
0.07563843967186548,2,10,393,133,0.07810255679546742
0.08433332667398909,2,10,323,139,0.09060286418042829
0.08120058219455861,2,4,365,220,0.09244502533394178
0.06242296929402313,4,6,365,68,0.09655931766342744
0.0419954813968371,8,6,358,148,0.0935987237277179
0.09521892689792645,2,6,368,143,0.09707009028380331
0.03783065021658456,2,6,355,192,0.098494243872735
0.03817038132261564,2,6,339,155,0.07739325955185213
0.04755734807506022,2,6,353,66,0.09370482105694482
0.04841843379499483,2,6,356,168,0.09259286910244638
0.08521736902120855,2,8,357,159,0.08777925644028586
0.08421878558040861,2,6,357,146,0.07975076940881512
0.050657292864784195,2,6,342,148,0.09054890459643741
0.08096465258888688,2,8,351,139,0.092857232785625
0.08144732143702864,2,4,356,146,0.051604589209613354
0.07765977137386025,2,6,327,140,0.09257446714405825
0.039446095923309554,2,6,365,145,0.09333460584794359
0.0608314959306812,2,8,354,138,0.09177406263828959
0.04204889237513149,2,6,354,154,0.09420885149509094
0.06503614838385643,4,6,356,150,0.07003652773228165
0.07413036668581573,2,6,360,119,0.08982718509562054
0.07324474820840877,8,8,357,147,0.09717965338625227
0.051121740240466694,2,6,393,148,0.09350840905945133
0.03082519842573253,2,6,357,123,0.09583483114679957
0.032147094026354045,2,6,353,184,0.08446931074662388
0.08007071793550882,2,6,370,149,0.09117765124063934
0.06514624688605065,2,6,360,152,0.08923633937164642
0.07199785593286719,2,6,356,134,0.040613533263086546
0.08103674997168939,2,8,357,169,0.09235549588032677
0.043725688960251204,2,6,357,146,0.015710922965635886
0.08275143667236567,2,6,349,147,0.09877280106108932
0.04691581609970809,2,6,308,148,0.09274043495670126
0.039145270468415025,2,6,361,141,0.09297921812444958
0.04081211098898067,4,6,356,120,0.09137338296423259
0.07017629516655964,2,8,333,147,0.0954145439450941
0.1066930293641423,2,2,379,147,0.07538052382993132
0.04564362991221658,2,6,349,145,0.02088580114486329
0.07231291874564373,2,6,356,84,0.09547354932244492
0.08571780386344369,2,6,359,118,0.09351656956307561
0.04307223566038123,2,2,355,140,0.09217024978985103
0.048868070086533696,2,2,351,145,0.09322334034542006
0.07727008129799992,2,6,373,147,0.07490902924444964
0.06832342654819684,2,6,356,152,0.05131943139563954
0.053442415776995815,2,6,358,147,0.07273291708385839
0.09220650176438537,2,4,262,147,0.09454895550315831
0.08601338388578046,2,6,356,55,0.092785574071753
0.09710023489040746,8,6,339,147,0.09094967663977709
0.02899543864611179,4,6,361,219,0.09274674421471436
0.2188676871887914,4,6,351,145,0.08352091472779846
0.025802386726191194,4,6,355,157,0.08578148441699102
0.08152055339670095,2,6,349,139,0.0856459934993106
0.030756598466110546,2,8,386,147,0.09493008239189334
0.040811420256183846,2,6,353,135,0.08873035812225398
0.084441875102496,2,6,334,149,0.09540042115523606
0.037184996625456566,6,6,349,146,0.09258884798126917
0.03845508151600886,4,6,359,152,0.08359919983234435
0.03170176656270822,2,10,344,146,0.09282823337365563
0.04307897549459417,2,6,261,145,0.09244073385183421
0.028271730032209307,4,2,355,149,0.0783754526837633
0.05920264014372742,2,8,364,146,0.09251954613343222
0.06914547597470189,2,4,380,147,0.09322880085881693
0.031448757638310024,4,2,361,147,0.09195836106535651
0.07851305432050613,2,6,325,159,0.09264459702444612
0.04946210929416278,2,6,356,171,0.08869464292283596
0.0830420578245764,2,6,356,148,0.09292016195261667
0.0617815197237295,4,6,259,147,0.0912703323069173
0.03683870850943814,8,4,356,147,0.0568078445354867
0.07596784402041468,6,6,343,147,0.09275611614637629
0.1065176908510515,2,6,356,149,0.07128766976910768
0.06523308860922143,4,6,353,157,0.08231217562573642
0.0553338095643049,4,6,355,142,0.08698578136274172
0.0765498670132981,2,6,344,147,0.06518987570154128
0.05079580803599104,2,6,363,147,0.09664544594422819
0.043985097037129245,2,6,347,147,0.08928557049352842
0.07522290342191788,2,10,356,149,0.09249855065983664
0.04095277215831795,2,6,362,141,0.09252027225589042
0.0863549469002576,2,4,355,154,0.09470734338050463
0.061317474773009424,2,6,392,146,0.09525343338775971
0.049958546182078414,2,6,301,145,0.09022722840799749
0.04161576405532472,2,6,356,188,0.09260576216147898
0.07941322690384554,2,6,360,135,0.09363150033813661
0.08425110843192209,2,6,342,128,0.09294422723905522
2.6076238548650155,4,6,362,147,0.08638690393177555
0.035403874662999,4,6,362,114,0.08543352887243706
0.08321341306979742,4,6,390,192,0.08693450761932994
0.04924179070209992,4,6,365,151,0.08959260487413426
0.044394127054429376,4,6,362,193,0.08739427039963625
0.0682341307680999,6,6,366,56,0.08613419648115006
0.08339012288007785,4,6,363,127,0.08056413894610652
0.0454212538278345,4,10,365,118,0.08557039040590463
0.040460790864023724,4,8,383,150,0.08797057356425461
0.035864613142406895,4,10,362,33,0.08633891129830985
0.04122831364534843,4,6,362,159,0.006761627036097071
0.13176460894739553,8,6,362,147,0.07565208732581609
0.08188275805942617,6,6,361,146,0.08465236300053793
0.05507404358002762,4,8,367,147,0.0884070820523064
0.02917216014100628,4,6,380,144,0.0865783890363509
0.033831558027023,4,8,366,147,0.028052072969075335
0.03309799015630672,6,6,368,151,0.08646316590552074
0.056036335770874426,4,4,362,146,0.08126689927058404
0.046086185486009464,4,6,363,110,0.08787978672500157
0.052035527487740166,4,4,362,240,0.08675355652659793
0.04135916718089866,4,6,366,200,0.08663172855535584
0.04654241496152529,4,6,374,147,0.04029468673719313
0.08963937782125907,6,6,364,170,0.08716858791963042
0.06842223046531154,8,6,363,155,0.08524303668413974
0.026340116857837246,4,6,366,48,0.086551910406529
