Time:,53:10.7,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.020376377,0.001347957,0.03592217,0.003343954,8,4,527,200,0.000151967,
0.02040153,0.001593033,0.04200459,0.008850206,8,4,527,200,0.000152003,
0.020543204,0.001232798,0.039909608,0.007155294,8,4,527,200,0.000151963,
0.020575911,0.001379686,0.037376582,0.005231047,8,4,526,200,0.000152338,
0.020634198,0.001389856,0.037580905,0.006428357,8,4,527,200,0.000151947,
0.020674008,0.000988439,0.04142586,0.011647443,8,4,525,200,0.000148091,
0.020685975,0.000934244,0.03902362,0.010162992,8,4,528,200,0.000152106,
0.020764103,0.00170297,0.036826307,0.004948349,8,4,529,200,0.000152381,
0.020824458,0.001368277,0.037630069,0.004505997,8,4,527,200,0.000151949,
0.020843638,0.001519608,0.037139692,0.005486131,8,4,528,200,0.000152131,
0.02084455,0.001652821,0.038947809,0.007828048,8,4,534,200,0.00015274,
0.020879614,0.001934803,0.037975221,0.005212775,8,4,527,200,0.000152211,
0.020890553,0.003023562,0.039413709,0.013423922,8,4,527,200,0.000151848,
0.020891303,0.001779283,0.038367115,0.005978198,8,4,527,200,0.0001517,
0.020907063,0.001606586,0.042608445,0.013840505,8,4,527,200,0.000151951,
0.020917095,0.001765791,0.036776832,0.00335811,8,4,526,200,0.000152736,
0.020919326,0.00146624,0.037684573,0.009979283,8,4,527,200,0.000151724,
0.020942969,0.001438097,0.037667328,0.005351688,8,4,218,100,0.000240866,
0.020946221,0.001566852,0.039543038,0.007653047,8,4,526,200,0.000151718,
0.020948764,0.001552441,0.03728575,0.005253052,8,4,525,200,0.000148686,
0.02097673,0.002247084,0.040183577,0.007948535,8,4,525,200,0.000150731,
0.020994935,0.001277087,0.035416969,0.00274284,8,4,525,200,0.000153065,
0.020997294,0.001459453,0.03727454,0.006667343,8,4,527,200,0.000151944,
0.021003671,0.00137466,0.037707555,0.00600726,8,4,527,200,0.000151727,
0.021019665,0.001779325,0.037284251,0.004733417,8,4,527,200,0.00015222,
0.021035755,0.001186193,0.037233559,0.004056586,8,4,525,200,0.000152295,
0.021042396,0.00136456,0.03850514,0.005718883,8,4,528,200,0.000152057,
0.021063631,0.001472519,0.040978193,0.008007934,8,4,527,200,0.000151922,
0.021070233,0.001394576,0.036852002,0.003029645,8,4,527,200,0.000151646,
0.021135878,0.001559422,0.037395195,0.006235877,8,4,527,200,0.00015195,
0.021143309,0.001460762,0.038755239,0.005105694,8,4,527,200,0.000151889,
0.021163632,0.002668459,0.038597704,0.005440619,8,4,525,200,0.000151948,
0.021175613,0.001147426,0.036304972,0.003723457,8,4,527,200,0.000151783,
0.02118105,0.001641209,0.039205227,0.008460094,8,4,527,200,0.000151869,
0.021185464,0.001889846,0.044223069,0.01371531,8,4,527,200,0.000152351,
0.021209028,0.003366596,0.041867282,0.019858178,8,4,525,200,0.000147338,
0.02121073,0.002887807,0.041037719,0.011584736,8,4,529,200,0.000153809,
0.021229393,0.001359672,0.038098373,0.005622678,8,4,527,200,0.000151149,
