Time:,3:22:29.182472,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.10654077412828461,0.06977743192719578,0.01711286755744368,0.0005453610131123725,6,10,528,397,0.00955931912754886
0.031237687485220475,0.008237867157974674,0.04107362194918096,0.008175849884377577,2,2,671,121,0.00018502764659600546
0.030914006560823947,0.0008221674277231423,0.0545195525046438,0.02527314198590345,2,6,332,411,0.00016829865717596381
0.03145626821766628,0.001130983094090989,0.045409258687868714,0.008332725664298855,2,6,116,181,0.0003689444695466026
0.11522160675454443,0.06317028261985617,0.01849018142092973,0.00039181023952217486,8,10,791,103,0.0008055731903862196
0.06602979234537916,0.02543500563058379,0.021921594045124948,0.0013422635510526722,6,6,653,260,0.0010039511263760118
0.02913197082024799,0.0045299139616561965,0.032399283605627716,0.0027631095174397457,6,10,128,297,0.0011598521695866744
0.02715403766816971,0.004696190194705421,0.039023076416924596,0.0018998367428400204,4,4,669,341,0.00012856707022799833
0.16528939422019717,0.0871402495985989,0.012187512416858226,0.00047517453129962764,10,8,751,463,0.017546824086941488
0.040411753193510314,0.006553860139068882,0.025581955793313682,0.0031870609793355387,4,4,401,394,0.002398825129130558
0.026305432939823743,0.007643718462911055,0.03536539478227496,0.0024793708450361954,2,8,215,65,0.0005689627368590969
0.06957411090199433,0.03251669394211922,0.017295430530793965,0.0011553645879235272,6,2,368,103,0.011547256338912945
0.06134155732016459,0.0221042344026419,0.025060462881810963,0.00513357363730674,8,4,118,458,0.006450166229494741
0.08254368736576867,0.018725553156161194,0.016749418689869344,0.0006594499818364403,8,4,305,348,0.010947453064570234
0.02106135702081653,0.0010521958157015737,0.03749927249737084,0.006423713302886285,8,4,245,55,0.0001460910350130985
0.10654163049807094,0.05753268876462708,0.01878829556517303,0.0007817666481122983,8,10,583,496,0.0038809690706627788
0.039432101669905566,0.006910500641266755,0.028448282624594867,0.002172409776560669,10,6,472,126,0.00023196441972475208
0.0578992954260371,0.007278838763199906,0.024961171322502196,0.002791240334282418,10,8,434,448,0.0008512980672223285
0.029628200365833687,0.011174661877915737,0.03223409235943109,0.001807166970397862,2,2,388,61,0.001980479237512499
0.06270370565274855,0.01885250373433242,0.024134605540893972,0.002602754221862351,8,4,250,130,0.000972194621700371
0.15749849462225785,0.26512777148220057,0.012715670571196824,0.000677721095134957,10,2,742,122,0.014816712279438439
0.06464997701768062,0.040695867992986245,0.02060101297684014,0.0027415117133487814,8,2,278,468,0.00849141203035963
0.02978550465862293,0.008481643564513268,0.034287866787053645,0.0021666688987273513,2,8,357,472,0.0025785220142582254
0.12321407580800348,0.08881460240873662,0.013779844040982425,0.0005156343511031325,8,6,598,110,0.008079737652734871
0.07290918999224254,0.025582630764660753,0.01708270190283656,0.0008113709819933723,8,6,155,218,0.014071010000522988
0.05949320791250321,0.017689814924826807,0.026162162772379816,0.003676392905787757,6,4,501,307,0.000910506912566484
0.10454209732226225,0.05598401297560453,0.014267998340073973,0.0007384581749893664,8,4,535,265,0.017457833602536787
