Time:,54:30.1,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.019959713,0.000990778,0.034800501,0.001812341,8,4,186,20,0.0001,
0.020000456,0.00125028,0.037044939,0.003921785,8,4,182,20,0.0001,
0.02010265,0.001219826,0.03589406,0.004634273,8,4,190,20,0.0001,
0.020198545,0.00170495,0.038245313,0.006461144,8,4,190,20,0.0001,
0.020225642,0.000937727,0.038416018,0.003832931,8,4,175,20,0.0001,
0.020244708,0.000806484,0.036591781,0.004482631,8,4,191,20,0.0001,
0.020361152,0.001236427,0.034494021,0.001206126,8,8,189,20,0.0001,
0.020380496,0.001093421,0.036103298,0.003128322,8,4,189,20,0.0001,
0.020398387,0.001084089,0.035108899,0.001565031,8,4,189,20,0.0001,
0.020472425,0.000920415,0.034599691,0.001554654,8,6,187,20,0.0001,
0.02053235,0.001561185,0.038656295,0.007946974,8,4,189,20,0.0001,
0.020544905,0.001721099,0.036247149,0.003921856,8,4,191,20,0.0001,
0.02058188,0.001549608,0.035267731,0.001708783,8,6,189,20,0.0001,
0.020647082,0.001207501,0.034930957,0.001273396,8,4,188,20,0.0001,
0.020710977,0.00097737,0.035437406,0.002278047,8,4,190,20,0.0001,
0.020720039,0.001686907,0.034284548,0.002539805,8,8,196,20,0.0001,
0.020728416,0.00098873,0.03487296,0.002651442,8,4,199,20,0.0001,
0.020807327,0.000979558,0.035303863,0.004289425,8,6,188,20,0.0001,
0.020838173,0.00122195,0.035085263,0.001781131,8,6,189,20,0.0001,
0.020843322,0.00130162,0.034540617,0.001138345,8,6,190,20,0.0001,
0.020848998,0.001570474,0.036617439,0.005151191,8,4,198,20,0.0001,
0.020913138,0.001237784,0.037860268,0.007433401,8,4,195,20,0.0001,
0.020940149,0.001069706,0.035242232,0.003108378,8,4,193,20,0.0001,
0.02094791,0.002063167,0.033789964,0.001120873,8,6,192,20,0.0001,
0.020952553,0.001162421,0.036248845,0.002622575,8,4,197,20,0.0001,
0.020960955,0.001594208,0.035630088,0.003503059,8,4,198,20,0.0001,
0.020973262,0.001621281,0.038902802,0.006478905,8,4,192,20,0.0001,
0.021018998,0.001914706,0.0366392,0.002698692,8,4,191,20,0.0001,
0.021047785,0.001056012,0.033505487,0.001429827,8,6,187,20,0.0001,
0.021049828,0.001795612,0.035403161,0.002000097,8,8,197,20,0.0001,
0.021130331,0.001930718,0.040514676,0.007939988,8,2,195,20,0.0001,
0.021146338,0.001620028,0.034857529,0.001652174,8,8,192,20,0.0001,
0.021160717,0.00285158,0.035905273,0.002142238,8,4,187,20,0.0001,
0.021166672,0.001994954,0.035485417,0.00171553,8,4,191,20,0.0001,
0.021179446,0.001567902,0.035021828,0.002469389,8,4,189,20,0.0001,
0.021206426,0.002149441,0.033788382,0.001400337,8,8,197,20,0.0001,
0.021278608,0.001449037,0.033834561,0.001776815,8,4,197,20,0.0001,
0.021283568,0.001418356,0.034797255,0.002058995,8,6,186,20,0.0001,
0.02129497,0.001865366,0.033486032,0.001137303,8,8,188,20,0.0001,
0.021302013,0.001165177,0.036359696,0.004414319,8,2,241,20,0.0001,
0.021303918,0.001898204,0.039175397,0.00881883,8,4,186,20,0.0001,
0.02133513,0.001922155,0.036833825,0.005516527,8,4,192,20,0.0001,
0.021352262,0.001518906,0.035780186,0.00420443,8,4,189,20,0.0001,
0.021354454,0.002185526,0.035464077,0.002422,8,6,187,20,0.0001,
0.021359562,0.002705302,0.039129573,0.004867342,8,4,192,20,0.0001,
0.021388539,0.001686014,0.035005742,0.00123928,8,4,188,20,0.0001,
0.021402176,0.002040613,0.037427993,0.004221261,8,2,294,32,0.0001,
0.021459438,0.00153913,0.034768626,0.005110148,8,2,241,20,0.0001,
0.021459637,0.001041026,0.036038625,0.003100521,8,8,197,20,0.0001,
0.021471707,0.002445141,0.036953132,0.00525619,8,4,191,20,0.0001,
0.021472909,0.00240446,0.038226033,0.003512338,8,4,186,20,0.0001,
0.02149087,0.001957959,0.036854977,0.005044045,8,4,194,20,0.0001,
0.021505637,0.003223769,0.036637942,0.004738284,8,4,198,20,0.0001,
0.021597039,0.002270805,0.035994083,0.003157741,8,4,190,20,0.0001,
0.021607189,0.001976998,0.035454132,0.003203559,8,4,198,20,0.0001,
