Time:,3:10:16.925871
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.05114183248919611,4,4,567,200,0.005264286812182278
0.03544937794055818,2,2,689,50,0.00017071656167390417
0.031881734409230665,2,2,399,200,0.00015721858061410027
0.03296856333999928,2,2,213,100,0.0003110204078235363
0.08462485985290585,6,4,792,50,0.000613147136799765
0.03641102297062641,4,4,674,100,0.0007424453733033923
0.03493644535861885,6,4,224,150,0.0008416920135371565
0.027778801242071056,4,2,688,150,0.00012440933109455316
0.06737971085248998,8,4,758,200,0.008924901842102498
0.037194478448080305,4,2,458,200,0.0015829296926918527
0.01664249285161427,2,4,298,50,0.00045321129224986723
0.04069770078713839,4,2,430,50,0.006203789263720862
0.05195105742793913,8,2,215,200,0.0037396896760435727
0.03633742857224805,6,2,375,150,0.005922730258927876
0.021161886778524326,6,2,324,50,0.0001390230618349203
0.11441936394588514,6,4,614,200,0.00240474283002221
0.06061499840101474,8,4,519,50,0.00020778561663274895
0.05108734550342188,8,4,486,200,0.0006432867804495128
0.03255814433856353,2,2,447,50,0.0013400518113458905
0.0647413998919572,8,2,329,50,0.0007219903074188091
0.04679755248808493,8,2,750,50,0.007704870843036596
0.03027061039074201,8,2,352,200,0.004749227857202761
0.037078673390694324,2,4,420,200,0.0016855034088132422
0.1056997116424689,6,4,627,50,0.004548454776944233
0.05833700524547349,6,2,247,100,0.007366695554183449
0.027647988199686443,4,2,543,150,0.0006820024832149399
0.05931726207438575,6,2,573,100,0.008885546785696535
0.03216461720935085,8,2,333,50,0.00022415476195862582
0.033555873606079714,4,4,540,150,0.0020341923795860846
0.06665247955526905,4,4,318,200,0.008335210780666968
0.018107045608869443,4,2,357,150,0.00023098876830389712
0.03605289385480487,4,2,403,100,0.000861285891424108
0.029185961670436363,6,4,510,100,0.00013088609997598133
0.030238992980288436,2,4,205,100,0.00010296382481596863
0.02548219090586909,4,2,571,100,0.00010651794198251759
0.032766001583269054,4,2,518,200,0.0011052350304673482
0.06522905407354607,6,2,445,150,0.007060897008700457
0.03993129553807898,6,2,586,200,0.00026843440188514177
0.12866534788448747,8,4,655,150,0.0015452946857839832
0.03133778547413337,4,2,518,200,0.00010853160155442366
0.05215898410101902,2,4,443,100,0.0036751225060489214
0.20169061330705162,6,4,416,100,0.004652285058172392
0.020364976230069567,2,4,675,100,0.0006189476123794856
0.04214380829900133,2,2,313,50,0.006577826478028395
0.03925791623422147,6,4,461,50,0.00028145893335303104
0.1070920970546001,6,2,503,150,0.0056800709790909435
0.034874129669308425,2,2,796,200,0.00016507845582550002
0.031981633678826824,4,4,443,50,0.00021814631886667098
0.03220737505133097,4,4,456,200,0.0005919048837929414
0.02206315640865339,8,2,256,200,0.0003773011770882527
0.035217301821682444,2,4,374,50,0.0003696664383645481
0.019772553284036175,4,2,415,150,0.00022747196897834733
0.029521171206382694,8,2,231,200,0.00015681237071064715
0.036225540760924116,2,4,280,50,0.0004299648572440779
0.026097880200029712,4,4,413,150,0.0001
0.03214856522758815,4,2,376,150,0.00018534230644600867
0.027106713185848487,4,2,396,150,0.00034323757284367883
0.030369777563855064,6,4,200,50,0.0001
0.0310016811365537,4,4,200,150,0.0001
0.03031191559402655,4,4,206,150,0.0001
0.0307675604380132,4,4,228,150,0.0001
0.02992941260171521,6,4,277,150,0.0001
0.031102388520694697,4,4,206,150,0.0001
0.03191102023262551,4,4,389,150,0.0001
0.018251996805322017,6,4,311,50,0.0001
0.021128422647874946,4,4,325,150,0.00024338680088093826
0.01931080320400691,2,4,318,50,0.00042788052620472005
0.021216968929050218,2,4,318,50,0.0005540448924746682
0.019796731736125506,6,2,330,50,0.0001
0.02807156816814508,6,4,318,50,0.0001
0.04575476257879168,2,4,318,50,0.0004616117255810548
0.030329540399946505,6,2,326,200,0.0001
0.020457180293344576,2,4,692,100,0.0005203838567693886
0.036264250137029504,2,4,695,100,0.0005076535076870595
0.021685695236577013,4,4,304,50,0.0001636752713229608
0.03142091218530719,4,4,303,50,0.0001780076150028759
0.0230482718653171,6,4,307,50,0.0001489228002798199
0.021595623730064812,6,4,307,150,0.00015057116677233022
0.022327356174197652,6,4,309,50,0.00015734356420998228
0.02477278584471533,6,4,309,50,0.00015961455317479886
0.02683775871208643,6,4,317,50,0.00012476512789673006
0.017815190622070768,6,4,309,50,0.00012932797963981403
0.020965294235143112,6,4,312,50,0.0001329096636562432
0.019032951894636687,6,4,315,50,0.00013541716130895684
0.025344262251524828,6,4,325,50,0.00016011784899552914
0.021036706691933228,6,4,313,50,0.00013003214252094394
0.0239733039660545,6,4,315,50,0.00012987867382590078
0.019573075268324844,6,4,381,50,0.0001
0.0219878727477959,6,4,343,50,0.00011920736778923896
0.02350919190443633,6,4,355,50,0.0001
0.019267305704994984,6,4,330,50,0.00013716977776958824
0.022631664556384348,6,4,333,50,0.00013941997283772696
0.02102748165062601,6,4,331,50,0.00014034027467262576
0.02548865893547443,6,4,332,50,0.00014238132263557062
0.032974209496741,4,4,327,50,0.00014150571459773452
0.02205105282282228,6,2,254,150,0.0002609679267575121
0.030626250844271282,4,2,264,150,0.00034228985947469456
0.019339118056932256,6,4,351,50,0.0001
0.030047688718110508,6,4,349,150,0.00011226614228175529
0.037396343169395524,2,4,647,100,0.0010213767440895585
0.03799536515651376,4,2,742,100,0.0002166639406750784
0.02367019067610103,2,4,577,100,0.00010898050417380185
0.02224899093980671,4,2,512,100,0.0001
0.032815280801291605,4,2,470,100,0.0001
0.02465457281718454,6,4,324,50,0.00014162291776786826
0.021059231599864423,6,4,345,50,0.0001
0.022180946999234563,6,4,339,50,0.00011360422863967737
0.01942461418158919,6,4,346,50,0.0001
0.021508288938685543,6,4,347,50,0.0001
0.019241238991678844,6,4,348,50,0.0001
0.02212192783290503,6,4,349,50,0.0001
0.02122533484858531,6,4,349,50,0.0001
0.03329837561277517,2,2,566,50,0.0001
0.021277441949251564,8,4,348,50,0.0001
0.019828803358133987,6,4,349,50,0.0001
0.0224140500428878,6,4,351,50,0.0001
0.02114473643061649,6,4,351,50,0.0001
0.019643573413575668,2,2,603,100,0.0001617138362239375
0.03409677056194232,2,2,570,100,0.0001
0.036993102948558135,2,2,659,100,0.0003274439797877393
0.01926862126333382,2,4,611,100,0.0002452898467067771
0.039813795213860206,2,4,613,100,0.0002489058685236976
0.020260498109975704,6,4,353,50,0.0001
0.020070848993298748,6,4,350,50,0.0001
0.02099258726626084,6,4,351,50,0.0001
0.01872581705146825,6,4,351,50,0.0001
0.02266539219440869,6,4,352,50,0.0001
0.023449166814110807,6,4,392,50,0.0001
0.021553749632205115,6,4,350,50,0.0001
0.02668409152101539,6,4,350,50,0.0001
0.019777343894578837,8,4,349,50,0.0001
0.021479257965746807,6,2,558,50,0.0001
0.0213095192546659,6,2,549,50,0.0001
0.02601585295293655,6,2,546,50,0.0001
0.0242490211060669,6,2,570,50,0.0001
0.022963862511841182,4,4,572,100,0.0001
0.024689440509406482,6,2,560,50,0.0001
0.024102029787091032,6,2,559,50,0.0001
0.020310770257285175,6,4,355,50,0.0001
0.02225054483997139,6,2,559,50,0.0001
0.022667838196400045,6,2,560,50,0.0001
0.027408585200133194,6,2,560,50,0.0001
0.021093698153284938,6,2,558,50,0.0001
0.022760400729665873,6,2,557,50,0.0001
0.02497871184297607,6,2,557,50,0.0001
0.02304854236795863,6,4,356,50,0.0001
0.026011157206398475,6,2,558,50,0.0001
0.02723498211712804,6,2,559,50,0.0001
0.026859572845664523,6,2,558,50,0.0001
0.034571083153616046,6,2,559,50,0.0001
0.025754331380545708,6,2,559,50,0.0001
0.023998683016836175,6,2,559,50,0.0001
0.01980506051386009,6,4,357,50,0.0001
0.02738482037050308,6,2,560,50,0.0001
0.02446375416185714,6,2,559,50,0.0001
0.026739570540807545,6,2,560,50,0.0001
0.021604222820427416,8,2,348,50,0.0001
0.021912784688110587,6,2,554,50,0.0001
0.01993809198303624,6,2,545,50,0.0001
0.025687518841655446,6,2,450,50,0.0001
0.024796853058497385,6,2,558,50,0.0001
0.019276818637069735,4,4,288,200,0.00033372347523898495
0.01853659675559544,4,4,274,150,0.00036556518760313885
0.021571298319128504,4,4,269,150,0.0003757078497854798
0.022078205800033928,4,4,282,150,0.0003563648946635419
0.02398181557160654,6,2,559,50,0.0001
0.033343235172512566,8,2,558,50,0.0001
0.020353829190423906,6,2,559,50,0.0001
0.02219797152352554,6,2,560,50,0.0001
0.025081089527791697,6,2,561,50,0.0001
0.024073991473720763,6,2,561,50,0.0001
0.021624340275150658,6,2,561,50,0.0001
0.03288227369031234,6,2,563,50,0.0001
0.028959629022427952,8,2,555,50,0.0001
0.025168124736860403,6,2,555,50,0.0001
0.021476979154363387,6,2,555,50,0.0001
0.02736817964010159,6,2,554,50,0.0001
