Time:,28:47.0,Samples,20,Size:,20,Cores:,4,CPU:,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.044078223,0.024236247,0.115955988,0.102955307,4,2,10,300,0.001,
0.031426347,0.001239391,0.063260086,0.048479185,4,2,50,300,0.001,
0.02870329,0.004742271,0.050908772,0.017996583,4,2,100,300,0.001,
0.026984748,0.00501131,0.044600433,0.026557728,4,2,150,300,0.001,
0.030311964,0.006538788,0.040205151,0.013837173,4,2,200,300,0.001,
0.029367558,0.004205416,0.044393744,0.019421702,4,2,250,300,0.001,
0.032363773,0.008177916,0.036056719,0.006981832,4,2,300,300,0.001,
0.033629949,0.006029946,0.032611933,0.007445395,4,2,350,300,0.001,
0.033643417,0.00852955,0.034947655,0.009945283,4,2,400,300,0.001,
0.032401238,0.005159602,0.034814826,0.015045154,4,2,450,300,0.001,
0.037124746,0.007190668,0.032233443,0.011655899,4,2,500,300,0.001,
0.033589942,0.00493604,0.027926545,0.00337539,4,2,550,300,0.001,
0.038341298,0.010357816,0.028997402,0.005619251,4,2,600,300,0.001,
0.036719643,0.00743554,0.028051891,0.004314635,4,2,650,300,0.001,
0.040434838,0.007495278,0.026871723,0.007667342,4,2,700,300,0.001,
0.039117944,0.007936498,0.026546949,0.004120295,4,2,750,300,0.001,
0.036185287,0.006893331,0.028638775,0.00693217,4,2,800,300,0.001,
0.035801491,0.006025155,0.025276742,0.002539666,4,2,850,300,0.001,
0.039693674,0.009537863,0.025957201,0.003976317,4,2,900,300,0.001,
0.040188657,0.006474338,0.025337455,0.00319178,4,2,950,300,0.001,
0.039050148,0.010164413,0.024481443,0.005042124,4,2,1000,300,0.001,
