Time:,25:42.5,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.024006574,0.001103207,0.357993729,0.008858756,25,36,1,0.000106377,,
0.024216009,0.001938954,0.362149,0.003536428,25,36,1,0.000106461,,
0.024266138,0.003712954,0.376691041,0.022191274,9,1,1,0.006919127,,
0.024294302,0.003878077,0.371086389,0.018966049,9,1,1,0.008589795,,
0.024364001,0.001145095,0.364897961,0.007881185,25,36,1,0.000106252,,
0.024437866,0.004483511,0.380417888,0.03207241,11,1,1,0.009469058,,
0.024443447,0.001506247,0.355645791,0.008480594,25,42,1,0.0001,,
0.024530763,0.001438926,0.34141504,0.009200806,15,12,1,0.00043668,,
0.024632513,0.005292191,0.370844332,0.016366237,10,1,1,0.008850828,,
0.024723749,0.001496999,0.356494861,0.00772059,25,36,1,0.000108353,,
0.025065578,0.001577354,0.360020394,0.011619826,25,36,1,0.000106797,,
0.02510445,0.002180909,0.357590161,0.009505162,25,36,1,0.000107161,,
0.025109993,0.001772846,0.358594708,0.011215784,25,37,1,0.0001,,
0.02511209,0.001365609,0.351466835,0.009470584,25,37,1,0.000108029,,
0.025144402,0.00479148,0.364722689,0.027016717,8,1,1,0.008557156,,
0.025186856,0.001204076,0.358205438,0.009912182,25,36,1,0.000106891,,
0.025286365,0.001713346,0.353208254,0.012454624,25,37,1,0.000106681,,
0.025295583,0.001447753,0.364373972,0.009011508,25,36,1,0.000107012,,
0.025489312,0.004809245,0.433393054,0.091555758,6,158,368,0.002742926,,
0.025604369,0.001414975,0.358918076,0.007386227,25,36,1,0.000109582,,
0.025630835,0.001968882,0.362638983,0.013977704,25,98,96,0.000886081,,
0.025762573,0.002351075,0.376817336,0.023612721,25,42,187,0.004389021,,
0.025772832,0.000973759,0.341321275,0.009924573,25,35,1,0.000124915,,
0.025814222,0.00269364,0.37990726,0.025822214,25,43,210,0.004493555,,
0.025909435,0.001732178,0.38239865,0.016151586,16,9,1,0.000334038,,
0.02592986,0.001515863,0.383584343,0.011974989,25,30,1,0.0001,,
0.025964196,0.006954794,0.367824626,0.023607051,7,1,1,0.00993755,,
0.025996472,0.002972988,0.38861081,0.033895929,16,90,394,0.003547732,,
0.026003334,0.004116061,0.376463115,0.037895073,19,96,585,0.006007045,,
0.026207218,0.002060384,0.35615023,0.013903396,26,93,100,0.000891546,,
0.026400286,0.003042091,0.366193796,0.030370807,26,93,100,0.000877802,,
0.026471214,0.006699462,0.426417818,0.088570194,3,110,402,0.02,,
0.026523945,0.003114495,0.371965657,0.030729257,25,42,195,0.004428628,,
0.026545059,0.003349793,0.349258661,0.020510452,26,92,111,0.000978188,,
0.026547282,0.001071087,0.372648361,0.018707005,26,93,103,0.000908599,,
0.026565201,0.0036655,0.365598723,0.027685075,25,200,336,0.001052925,,
0.026599345,0.005137606,0.407316739,0.023093542,18,80,448,0.004970528,,
0.026616466,0.002642586,0.377204888,0.019065671,25,40,194,0.00431909,,
0.026626931,0.002480837,0.333608819,0.007711289,25,51,1,0.0001,,
0.02672906,0.003226072,0.40567792,0.015824214,24,52,214,0.003593185,,
0.026797412,0.003168106,0.379567718,0.019597513,26,42,206,0.004763469,,
0.026805067,0.002775713,0.369250854,0.030089306,26,93,96,0.000853949,,
0.026918726,0.00220069,0.401088576,0.035388577,25,39,191,0.004239403,,
0.026948336,0.004545937,0.349334988,0.033299506,6,24,9,0.00131892,,
0.026961569,0.004804556,0.462130616,0.09672097,9,133,110,0.000736255,,
0.026990563,0.003429272,0.37510405,0.023056085,30,200,232,0.000606515,,
0.027012207,0.002540543,0.387033487,0.027394387,21,51,261,0.004099223,,
0.027014757,0.001746767,0.368419454,0.029797772,26,94,103,0.000903502,,
0.027051757,0.002132686,0.39140903,0.023623179,26,91,104,0.000678276,,
0.027057072,0.00265367,0.397582506,0.038716867,25,39,192,0.004229612,,
0.027078586,0.004141744,0.342484293,0.016091655,9,7,1,0.000989103,,
0.027082562,0.003100434,0.374717047,0.03178939,25,41,163,0.004222761,,
0.027099173,0.003211755,0.39285207,0.045345899,26,200,312,0.000920302,,
0.027128021,0.003065686,0.408939006,0.049769221,16,89,363,0.003037405,,
0.027246288,0.003195651,0.382396636,0.016417466,25,41,186,0.00443164,,
0.027323258,0.002593489,0.388446661,0.037492492,23,200,333,0.000912346,,
0.027367928,0.002786734,0.373796771,0.021705374,26,92,105,0.000943788,,
0.027409154,0.003249498,0.368113471,0.02910866,26,93,105,0.000909475,,
0.027441125,0.002363477,0.387285717,0.029247767,17,85,307,0.003218248,,
0.02752995,0.003717906,0.392080635,0.028971447,25,43,225,0.004367908,,
0.027533847,0.002694809,0.407486637,0.018899424,25,87,107,0.000754122,,
0.027534152,0.004758442,0.396975607,0.038388563,15,99,477,0.005314388,,
0.027546739,0.002538541,0.367876875,0.04182494,27,100,95,0.000782056,,
0.027595656,0.003379731,0.357074479,0.026413015,26,93,65,0.000631768,,
0.027638742,0.0071233,0.422352893,0.104308445,5,147,318,0.004117751,,
0.027657249,0.004383604,0.3986256,0.046201788,15,92,471,0.005786865,,
0.027671808,0.002228459,0.395937552,0.025577513,25,38,190,0.004182016,,
0.027687862,0.003172383,0.342800794,0.034787191,7,12,3,0.001194482,,
0.027738304,0.003368366,0.382936259,0.041789501,22,200,389,0.001048023,,
0.027873844,0.003458891,0.337058981,0.028139663,8,6,1,0.001236236,,
0.027874065,0.001617101,0.323396603,0.013298134,14,14,1,0.000469932,,
0.028012751,0.00512529,0.453217042,0.088739536,5,169,398,0.003226,,
0.028019587,0.003408856,0.397282598,0.03783578,25,98,99,0.000714145,,
0.028020438,0.005425303,0.369441417,0.028696975,22,94,600,0.006760186,,
0.028032042,0.003082564,0.40549019,0.029930233,26,192,229,0.000577423,,
0.02807309,0.002053757,0.435854581,0.019646305,24,40,215,0.004576591,,
