Time:,27:13.4,Samples,4,Size:,250,Cores:,4,CPU:,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.019962654,0.0018617,0.423163846,0.073987126,2,200,377,0.007053394,,
0.020269565,0.000466928,0.451144442,0.064092225,2,200,378,0.006502805,,
0.021130357,0.001756543,0.41266156,0.073787953,8,65,366,0.011437102,,
0.022324344,0.002304433,0.402761102,0.027515603,14,49,500,0.02,,
0.022512381,0.003024569,0.411410995,0.065515013,5,130,174,0.002675163,,
0.022587093,0.001251495,0.390472613,0.022477959,13,45,500,0.02,,
0.023345674,0.002901198,0.382584959,0.027216363,11,46,500,0.02,,
0.023449303,0.003264685,0.451297067,0.062727457,3,84,381,0.02,,
0.024508614,0.001875612,0.347306639,0.006107711,30,45,1,0.0001,,
0.024647776,0.003921777,0.401929177,0.024866506,12,45,500,0.02,,
0.024680743,0.002272668,0.401702426,0.031885503,20,55,324,0.004264994,,
0.024883276,0.001359229,0.410591356,0.039072583,24,124,107,0.000470544,,
0.024908165,0.00230565,0.391174801,0.019174757,24,14,117,0.012239043,,
0.025004371,0.001425085,0.417419091,0.090880014,9,133,92,0.000736255,,
0.02520389,0.000766294,0.485236719,0.11994348,7,187,355,0.002334572,,
0.025252514,0.000696672,0.388644442,0.004366551,30,26,1,0.0001,,
0.025319794,0.00379901,0.430578396,0.057036276,20,44,212,0.00300652,,
0.025351034,0.005918857,0.376373291,0.024439823,13,188,126,0.000788159,,
0.025496035,0.001248718,0.336033054,0.00712761,27,32,1,0.000159762,,
0.025715294,0.00197733,0.399683937,0.020981997,21,24,1,0.0001,,
0.025716072,0.005141746,0.408670217,0.021127973,7,32,1,0.0001,,
0.025764002,0.001698397,0.393829301,0.010028967,16,66,196,0.001543871,,
0.025794653,0.013881245,0.386911124,0.014561078,2,116,1,0.000226081,,
0.025904656,0.002224271,0.515666433,0.093363755,6,32,28,0.001227064,,
0.025958794,0.002519115,0.365596637,0.032727835,10,186,316,0.001540814,,
0.025973258,0.004605146,0.459556006,0.07561562,11,45,500,0.02,,
0.026101265,0.007793898,0.365326747,0.006941952,6,35,1,0.000191466,,
0.0263632,0.003764192,0.38615039,0.038581492,12,58,363,0.004817265,,
0.026424345,0.003197505,0.373377152,0.042163546,5,200,365,0.00382477,,
0.026546812,0.006241572,0.386985846,0.041212756,15,86,500,0.007772436,,
0.026563198,0.003232567,0.442791454,0.010357544,30,21,309,0.02,,
0.026587104,0.00205164,0.432075702,0.008609158,30,39,500,0.02,,
0.0266206,0.009104484,0.4117065,0.076742984,4,54,1,0.0001,,
0.026622164,0.007842834,0.398949444,0.042016584,12,46,500,0.01951397,,
0.026891421,0.002623069,0.423287265,0.01305618,29,80,132,0.000976767,,
0.026948782,0.007695819,0.355442338,0.015844338,9,78,500,0.02,,
0.026984043,0.005420293,0.47805395,0.051044607,8,68,482,0.010743441,,
0.02711283,0.002953303,0.386116199,0.03509787,20,199,259,0.000848638,,
0.027140892,0.005545911,0.323512793,0.01480276,5,43,1,0.000286087,,
0.027256786,0.002269404,0.410257652,0.026813357,21,72,219,0.001747057,,
0.027682087,0.002964951,0.426393934,0.076316152,13,167,401,0.001415977,,
0.02769589,0.004089665,0.501563638,0.12087608,4,52,384,0.01783621,,
0.02773947,0.003782842,0.448470667,0.06413294,8,31,34,0.000813808,,
0.027843782,0.003929792,0.414289892,0.015746993,8,26,1,0.0001,,
0.02785684,0.003627501,0.383697651,0.026554854,6,53,320,0.02,,
0.027990461,0.005815285,0.425245978,0.015182401,9,28,241,0.012222898,,
0.028003653,0.000624944,0.413054697,0.027208357,30,167,500,0.001254907,,
0.028108004,0.002567442,0.465629637,0.065254771,6,188,359,0.001248932,,
0.028280785,0.003641195,0.386450723,0.054131941,6,24,7,0.00131892,,
0.028333941,0.005161568,0.416605636,0.026571122,4,90,457,0.02,,
0.028403378,0.002548477,0.478745259,0.07615324,21,188,500,0.001093379,,
0.028427285,0.004492078,0.393333182,0.032874834,21,26,236,0.02,,
0.028492724,0.001082772,0.413585521,0.007311519,30,200,45,0.000104435,,
0.028751512,0.001485514,0.418555409,0.023537099,30,182,31,0.0001,,
0.028768793,0.000773789,0.394787371,0.009860957,24,51,500,0.02,,
0.028897585,0.0052361,0.368252434,0.059492312,12,91,270,0.006595461,,
0.028990985,0.003340905,0.414222784,0.049363519,5,187,299,0.00185674,,
0.029173277,0.006416417,0.569712587,0.20445031,6,154,238,0.00080453,,
0.029173831,0.002840318,0.46511168,0.057348013,15,140,500,0.001455971,,
0.029385218,0.00402582,1.204626746,0.860085806,2,119,209,0.002274661,,
0.029807593,0.001493933,0.407285675,0.018440305,13,200,172,0.000689245,,
0.02986286,0.005038996,0.346987382,0.022708368,29,138,495,0.003880969,,
0.029866594,0.001675552,0.475285441,0.050909997,12,51,500,0.006315748,,
0.02990107,0.003168777,0.512090415,0.159094819,10,176,277,0.000923898,,
0.029931342,0.002448921,0.549460374,0.053122235,7,106,390,0.001586756,,
0.029948459,0.003640448,0.419616684,0.031592413,27,37,377,0.008060641,,
0.029956686,0.001095333,0.456610471,0.019873433,30,63,142,0.001005778,,
0.029981346,0.002955431,0.415771954,0.096454491,13,132,283,0.002038762,,
0.030283805,0.002614117,0.455079563,0.05623449,20,177,336,0.000573595,,
0.030466625,0.002519518,0.417524472,0.023499188,11,187,410,0.000910729,,
0.03051831,0.000709542,0.438186258,0.018452854,30,61,407,0.002341448,,
0.030696188,0.003916554,0.426364541,0.078750893,4,121,171,0.001853654,,
0.030765607,0.002956034,0.489815041,0.04832477,14,13,264,0.02,,
0.030775466,0.001633689,0.520136267,0.086388892,13,132,257,0.000627535,,
0.030819539,0.003047729,0.431401469,0.038951848,10,196,103,0.00038131,,
0.030886025,0.001967118,0.445945621,0.023619969,11,85,500,0.00263275,,
0.031026989,0.003368307,0.469222829,0.044657586,6,20,1,0.0001,,
0.031112326,0.001966643,0.447407417,0.04059744,11,161,50,0.000134537,,
0.031176472,0.00148759,0.454290435,0.027969732,11,34,327,0.005035797,,
0.031275739,0.002331543,0.619409725,0.0801381,9,38,345,0.002134728,,
0.031293282,0.00894864,0.334958047,0.04062343,12,174,500,0.003365434,,
0.031443179,0.007254315,0.351109341,0.042975003,9,50,256,0.015259927,,
0.031500304,0.002592428,0.39367421,0.080295729,5,191,281,0.004022288,,
0.031540963,0.003127856,0.435044758,0.016788637,30,200,500,0.000533673,,
0.031621886,0.002709432,0.850400284,0.414106887,4,128,149,0.000657235,,
0.03165004,0.001505029,0.470996104,0.061749974,28,70,371,0.001219991,,
0.031767992,0.005424379,0.396895722,0.053538854,7,59,411,0.02,,
0.031801412,0.003722414,0.381775782,0.028611419,26,192,191,0.000577423,,
0.03193376,0.001199502,0.639442421,0.177725834,11,120,500,0.001277762,,
0.031940538,0.001843944,0.478621319,0.043749969,30,177,273,0.000284743,,
0.031974706,0.008517277,0.362039849,0.078451804,3,200,376,0.02,,
0.031986482,0.002553383,0.485779457,0.068422752,9,112,451,0.001973499,,
0.03201085,0.003526614,0.329167731,0.016851115,6,62,217,0.012747791,,
0.032012352,0.001480892,0.578251161,0.109892978,13,56,223,0.000946761,,
0.032017592,0.003610766,0.32532379,0.020495943,28,84,118,0.00207637,,
0.0320304,0.010142222,0.369552009,0.049715827,19,96,487,0.006007045,,
0.03205849,0.003767167,0.556525916,0.144566475,12,108,314,0.001172829,,
0.032111333,0.001534903,0.572011933,0.052387855,14,162,244,0.000230702,,
0.032125617,0.005531974,0.325502425,0.045314866,12,188,307,0.004066539,,
0.032159318,0.000690262,0.550174199,0.078216765,19,1,1,0.000389643,,
0.032203933,0.001668517,0.52938924,0.05908129,11,37,231,0.002129518,,
0.032231236,0.001608711,0.47424081,0.019807964,30,131,500,0.001217492,,
0.032234557,0.002080791,0.612763032,0.117119952,2,130,195,0.005241353,,
0.032311233,0.003197979,0.475312129,0.0108774,19,19,500,0.02,,
0.032364749,0.004168655,0.320914879,0.005475173,22,200,24,0.000215639,,
0.032446909,0.00279828,0.612701759,0.10787986,22,178,494,0.000186312,,
0.032495386,0.010656755,0.378171362,0.015187125,5,61,355,0.01847785,,
0.032498101,0.001744972,0.59570916,0.084928882,30,1,1,0.0001,,
0.032510855,0.001042639,0.500793144,0.043323766,30,200,322,0.0001,,
0.032522114,0.002961512,0.522907346,0.076633907,13,40,198,0.000869212,,
0.032596633,0.005242607,0.436656103,0.051517665,3,111,485,0.02,,
0.032622188,0.000927959,0.452877373,0.039907777,22,108,170,0.0002587,,
0.032684683,0.001879537,0.791799933,0.351209481,9,147,146,0.00022415,,
0.032744706,0.001114568,0.528628409,0.140894068,19,200,500,0.000569327,,
0.032767416,0.001612432,0.557217784,0.069216236,9,44,90,0.000972195,,
0.032840295,0.00123519,0.469990902,0.032379532,30,10,99,0.006401224,,
0.032903668,0.001052257,0.494347274,0.041627487,20,73,295,0.000802499,,
0.032911254,0.001738997,0.506465897,0.051385769,16,195,80,0.0001,,
0.032947044,0.001606935,0.641679406,0.166987241,24,82,432,0.00039324,,
0.032959673,0.000597369,0.591165692,0.033696842,30,127,287,0.00040403,,
0.032992839,0.001337319,0.504773669,0.041282019,30,144,139,0.0001,,
0.033104595,0.000687661,0.46113117,0.034330765,25,200,218,0.000190363,,
0.033203239,0.002189471,0.771785513,0.220042637,20,100,500,0.000453983,,
0.033373233,0.000820843,0.486087047,0.079899797,29,44,453,0.001645548,,
0.033478503,0.001234019,0.627399489,0.220606383,18,71,500,0.000941168,,
0.033532316,0.002023415,0.540217258,0.093215337,16,14,205,0.00415083,,
0.033576598,0.001319144,0.43885687,0.009674756,25,155,500,0.000710128,,
0.033635236,0.00058883,0.474099219,0.022461031,17,131,436,0.000820591,,
0.033638164,0.001874152,0.442927428,0.018031128,25,57,500,0.003030889,,
0.033704039,0.001272509,0.454822838,0.02442598,23,105,298,0.000713294,,
0.033759907,0.009719783,0.365240313,0.025676824,2,19,1,0.02,,
0.033875342,0.000631706,0.458771586,0.019218045,18,25,500,0.008181773,,
0.033882647,0.006257638,0.370484613,0.054792709,4,76,250,0.02,,
0.033884244,0.001563771,0.494998254,0.070089,28,117,266,0.000244391,,
0.03389583,0.001046238,0.543317139,0.028027781,10,8,142,0.007851444,,
0.033945822,0.00269699,0.285064735,0.010029898,10,35,1,0.000359891,,
0.0339525,0.012427709,0.359153576,0.025793049,4,1,1,0.02,,
0.033953702,0.001642811,0.556630559,0.117242304,7,3,37,0.004784985,,
0.034059495,0.00149877,0.638027951,0.145086494,18,84,313,0.000321411,,
0.034099079,0.005599976,0.376543619,0.057901663,3,74,1,0.000228626,,
0.034156616,0.00717185,0.302322395,0.0394784,15,164,306,0.005955556,,
0.034259035,0.003595568,0.480726033,0.115043284,5,123,284,0.00346903,,
0.034293129,0.000451642,0.469159983,0.0297601,26,1,1,0.000766701,,
0.034317158,0.000466519,0.44945851,0.01486414,27,81,87,0.000201071,,
0.034337777,0.003990044,0.661620714,0.164217732,22,123,500,0.0001,,
0.034356741,0.002848486,0.551751599,0.103712401,19,52,267,0.000635962,,
0.034378392,0.000470598,0.488138504,0.040751534,26,170,109,0.0001,,
0.034404772,0.002157776,0.732082643,0.336350178,13,6,282,0.006296867,,
0.03441576,0.004410639,0.338366978,0.033516527,16,197,387,0.001936371,,
0.034514161,0.009439465,0.337411635,0.046609547,3,77,60,0.011547256,,
0.034847326,0.012582427,0.45713345,0.061660469,2,200,380,0.006281379,,
0.034943927,0.001718731,0.558894634,0.094810174,24,1,1,0.0001,,
0.03497318,0.002775624,0.318168975,0.016137885,23,92,40,0.000721758,,
0.035031171,0.007023455,1.037001818,0.384241623,9,37,217,0.000780789,,
0.035101587,0.001188118,0.671902403,0.097441145,19,161,275,0.0001,,
0.035119627,0.004449126,0.334690362,0.034791959,5,86,163,0.019949172,,
0.035135069,0.008969121,0.277119987,0.019538129,4,29,1,0.001024475,,
0.035200311,0.001965855,0.51078783,0.060109698,19,200,237,0.0001,,
0.035540738,0.003779419,0.293277226,0.003937563,28,16,27,0.01240885,,
0.035599077,0.002248586,0.785869479,0.2338177,30,155,500,0.0001,,
0.035675602,0.003031125,0.555329293,0.035623867,5,125,221,0.00099814,,
0.035760492,0.001246129,0.514273375,0.008968974,22,5,415,0.02,,
0.035841293,0.005614385,0.6664626,0.115570867,20,74,476,0.000283645,,
0.036068415,0.00062002,0.512226932,0.113209215,1,200,1,0.0001,,
0.036069753,0.001932894,0.802896842,0.192792791,3,157,216,0.000955847,,
0.036091732,0.005522537,0.281673513,0.007213398,22,107,1,0.0001,,
0.036100863,0.001806093,0.307296723,0.004018339,28,153,28,0.000384281,,
0.03616926,0.000619063,0.470183089,0.035758013,1,175,1,0.000378941,,
0.036215313,0.004578958,0.243382819,0.003346839,30,191,1,0.0001,,
0.036322806,0.00090867,0.558059052,0.034166329,30,1,49,0.02,,
0.036433395,0.005160592,0.361685015,0.072336878,5,40,169,0.02,,
0.036577305,0.000649303,0.436302669,0.005505751,1,200,1,0.000364538,,
0.0365844,0.002987099,0.421901532,0.042294372,10,54,427,0.010009342,,
0.036623934,0.00269173,0.322368056,0.009072508,26,31,100,0.007511287,,
0.036728212,0.000366938,0.472834453,0.030438639,1,112,1,0.0001,,
