Time:,7:43:33.948684,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch Size,Learning rate
0.09683412313461304,10,334,184,0.07715885589435388
0.03372588008642197,17,94,60,0.08153477711169514
0.06223425269126892,4,82,5,0.04873466099260709
0.024706918746232986,7,329,30,0.0056937455516905145
0.045932162553071976,9,48,88,0.02471480488070927
0.06727658957242966,15,360,296,0.011832594630276383
0.04278557375073433,8,203,162,0.07908314804920503
0.06355919688940048,10,197,171,0.09692897408406849
0.026726337149739265,2,237,139,0.03770957566765944
0.04604189097881317,7,333,194,0.004837905104271622
0.06154559552669525,20,288,279,0.09181984350460036
0.052938081324100494,20,183,80,0.04307212093423216
0.07607712596654892,16,256,25,0.07048399294568503
0.0495101660490036,4,52,99,0.04743861414919318
0.049670103937387466,2,178,36,0.08964321899113487
0.07098028063774109,16,175,9,0.09066244035060343
0.053824152797460556,16,263,64,0.02930116986693349
0.04452746361494064,14,359,202,0.03303511082616516
0.05809645727276802,5,44,22,0.07303258530746162
0.06841939687728882,20,288,297,0.0690843784939172
0.07039910554885864,19,250,160,0.016948868058094056
0.04676027223467827,4,378,216,0.04770661062754099
0.041768088936805725,18,186,52,0.013270019040775339
0.055988382548093796,9,49,170,0.07820960386644404
0.07612600177526474,6,117,54,0.04298364179607445
0.03897632285952568,19,57,275,0.01597711552595399
0.04291917383670807,19,315,17,0.025482754843646014
0.04992219805717468,19,342,48,0.06910851732444305
0.025451140478253365,8,377,184,0.0699650473383522
0.07532785832881927,11,296,41,0.08291030086050319
0.04852523282170296,15,205,25,0.03736735474529425
0.07142515480518341,19,191,71,0.05729123442491085
0.04745586961507797,12,190,188,0.02211419124755611
0.04234224185347557,13,212,292,0.07732116764609456
0.07445760816335678,2,120,37,0.017609871075555106
0.05631262809038162,9,277,170,0.056946594439960335
0.04872347414493561,13,173,286,0.019757370795247305
0.04316319152712822,17,386,115,0.0331605266618711
0.05487525835633278,6,280,55,0.037742313934745135
0.03841329738497734,1,162,121,0.04681060929190662
0.055930133908987045,13,399,156,0.040420794409195944
0.05251886695623398,2,56,188,0.0009060343315203696
0.047783013433218,9,42,128,0.036342000342735346
0.03227437660098076,13,191,5,0.04139362443257383
0.04730864614248276,5,231,234,0.05222055934008496
0.045900680124759674,11,63,123,0.0703518795300015
0.05318915471434593,19,238,100,0.0643542411134325
0.04544895142316818,19,117,272,0.0529065394515498
0.032748207449913025,15,228,179,0.03714495648647075
0.039360567927360535,3,231,228,0.0018760327771751445
0.06014757230877876,7,328,1,0.004636140159545836
0.055010050535202026,6,231,139,0.038005313484734085
0.0362098328769207,1,233,122,0.029456888630412983
0.041633907705545425,1,234,115,0.02918383738213173
0.039478056132793427,1,234,160,0.029369986752728446
0.06174203008413315,8,377,247,0.06996504692963812
0.053903814405202866,7,329,32,0.005784606015742896
0.044748276472091675,1,231,130,0.028462656498146437
0.041654378175735474,1,232,164,0.02864225184559555
0.06992021203041077,2,232,138,0.03805547446235832
0.041290368884801865,1,230,178,0.019491645912241017
0.038511816412210464,1,230,193,0.018041297042167576
0.038412537425756454,1,230,108,0.01610585787000446
0.04174567386507988,1,229,142,0.014337199015341069
0.03873628377914429,1,230,153,0.01360410803965337
0.04588606208562851,1,230,185,0.012171182030939455
0.041780781000852585,1,230,176,0.012974888045748097
0.03924000635743141,1,230,150,0.012464876098512193
0.038416266441345215,1,218,139,0.025136625670893028
0.03840123116970062,1,228,140,0.03144656712726521
0.04937531799077988,1,228,138,0.028728535563267352
0.040811605751514435,1,228,194,0.014136020263046433
0.041557736694812775,1,228,147,0.03087537508665792
0.04128335416316986,1,228,125,0.04006252361754706
0.04121172055602074,1,226,155,0.010484159734281292
0.045158352702856064,8,367,137,0.07023808900242089
0.04202193394303322,1,228,145,0.033428451953824816
0.041530318558216095,1,228,142,0.020755064274678117
0.03438706696033478,13,186,13,0.04364795735052372
0.08651398867368698,10,198,104,0.03717720080711179
0.040610358119010925,13,179,12,0.02966047356380864
0.05350959673523903,13,181,11,0.048218724367204036
0.04152168333530426,1,231,151,0.03644058354271448
0.05009610578417778,1,231,151,0.03683193091481779
0.048338502645492554,17,81,33,0.07302018369560347
0.04577260836958885,1,230,95,0.029957334522926683
0.039729345589876175,1,228,184,0.018424583389126656
0.04850124195218086,1,228,92,0.018787082807796035
0.038531139492988586,1,228,259,0.021866998670076142
0.040437668561935425,1,228,300,0.020543240452379735
0.03897601738572121,1,227,223,0.002092166427281218
0.043497368693351746,18,82,142,0.06371859887321946
0.06003895774483681,14,190,47,0.05065828411354317
0.04416484758257866,1,219,300,0.008644472867276478
0.04446402192115784,1,221,216,0.02034804814837302
0.04089028015732765,1,224,300,0.013991771279864776
0.04331051930785179,1,223,300,0.012444200561779141
0.04172840714454651,1,224,300,0.014660533750656485
0.04368482157588005,1,223,300,0.014295296207777483
0.041608452796936035,1,224,216,0.012612935557362263
0.041427455842494965,1,223,279,0.016071219778835067
0.04144607111811638,1,223,188,0.033111978942949254
0.03841281309723854,1,222,295,0.016667109058294695
0.04211072623729706,1,218,300,0.013809386743522957
0.04059698060154915,1,218,198,0.03477439960840107
0.04132208228111267,1,215,300,0.018969359674482607
0.04785829409956932,3,308,185,0.03150725948358463
0.040078386664390564,1,215,300,0.019009354717303358
0.04227008298039436,1,211,300,0.018984010658285155
0.04095897078514099,1,212,266,0.018213208434837272
0.048432860523462296,19,40,235,0.011651765071201116
0.04020186886191368,1,211,300,0.018391892543549806
0.041365109384059906,1,206,300,0.01827254921411817
0.04596297815442085,1,205,295,0.018192887377260405
0.03839544206857681,1,222,300,0.014198683361418487
0.05021529644727707,1,222,300,0.008262363786843804
0.038514260202646255,1,221,300,0.03778194932457511
0.04160596430301666,1,205,196,0.1
0.03754649683833122,1,221,300,0.07027196249047415
0.042281221598386765,1,218,300,0.1
0.04513200372457504,1,219,300,0.1
0.06809309124946594,17,125,97,0.06116450022337371
0.03838856890797615,1,227,300,0.03766945746377682
0.03836788237094879,1,229,300,0.05095151850658873
0.03583865240216255,1,326,300,0.1
0.038628943264484406,1,335,300,0.1
0.04985372722148895,1,331,300,0.1
0.041257478296756744,1,277,300,0.1
0.04074173793196678,1,275,300,0.1
0.04508069530129433,1,276,300,0.1
0.08124665170907974,18,400,43,0.03257466372849084
0.04163321107625961,1,232,300,0.05913780203051801
0.029573600739240646,2,358,91,0.04154403959151638
0.07142194360494614,2,367,132,0.039550342921473906
0.05716627463698387,8,377,181,0.06824780734274026
0.03913206234574318,1,243,300,0.06863279499982142
0.04156611114740372,1,250,300,0.09445945759576287
0.048251617699861526,1,249,300,0.0861502323519893
0.04257849231362343,1,222,278,0.05828179566256479
0.043006107211112976,1,222,297,0.003084811487077427
0.038383230566978455,1,222,256,0.03617006710356514
0.04279925674200058,1,219,300,0.01491063134632482
0.041503071784973145,1,220,186,0.024892872024919476
0.04939510300755501,1,219,201,0.06763634978868178
0.11819995939731598,1,230,300,0.0001
0.04446791484951973,1,271,1,0.1
0.04384665563702583,1,265,1,0.1
0.042677219957113266,1,263,1,0.1
0.04265700280666351,1,263,1,0.1
0.04445590451359749,1,264,1,0.1
0.039821866899728775,13,40,164,0.040321407816863275
0.06432300806045532,13,40,29,0.0854336337633646
0.04441298916935921,1,257,1,0.1
0.04465082660317421,1,255,1,0.1
0.07010281085968018,2,390,141,0.03703335924591507
0.05003174766898155,1,214,223,0.05117211103055764
0.044397637248039246,1,230,1,0.1
0.04459511861205101,1,230,1,0.1
0.042668551206588745,1,230,1,0.1
0.02729383483529091,2,376,126,0.041783297043013465
0.07556861639022827,2,370,75,0.04201499082121229
0.04817730560898781,1,231,50,0.1
0.04189592972397804,1,231,129,0.1
0.04304858297109604,1,231,116,0.1
0.03721761330962181,1,231,113,0.1
0.04149691015481949,1,231,54,0.1
0.05446916073560715,1,231,24,0.1
0.04180627688765526,1,231,252,0.1
0.03859075531363487,1,231,262,0.1
0.03853166103363037,1,231,300,0.1
0.044309359043836594,1,231,300,0.1
0.041654668748378754,1,231,300,0.1
0.09154895693063736,7,329,29,0.005648155716952162
0.04994925484061241,1,228,300,0.1
0.03593164309859276,1,229,276,0.1
0.04496556147933006,1,229,300,0.1
0.04996468871831894,1,229,300,0.1
0.03602631390094757,1,230,246,0.1
0.038510050624608994,1,229,280,0.1
0.04148531332612038,1,229,300,0.1
0.04176400229334831,1,229,300,0.1
0.04908599331974983,1,229,300,0.1
0.045482538640499115,1,229,289,0.1
0.04403674975037575,1,230,269,0.1
0.03837024047970772,1,230,260,0.1
0.03838324174284935,1,230,289,0.1
0.039109259843826294,1,229,300,0.1
0.04653644189238548,1,229,300,0.1
0.03855166211724281,1,229,300,0.1
0.03852444142103195,1,229,300,0.1
0.0407203733921051,1,228,300,0.1
0.038359105587005615,1,228,300,0.1
0.04120423272252083,1,227,300,0.1
0.04124784469604492,1,227,300,0.1
0.041816286742687225,1,227,300,0.1
0.03838477283716202,1,227,300,0.1
0.03610194846987724,1,226,300,0.1
0.04550531506538391,1,224,300,0.1
0.04151741415262222,1,225,300,0.1
0.038382548838853836,1,225,300,0.1
0.04478241130709648,1,223,300,0.1
0.046446096152067184,1,224,300,0.1
0.03871072828769684,1,226,300,0.1
0.04746372252702713,1,225,300,0.1
0.04277641698718071,1,226,300,0.1
0.04293254762887955,1,226,300,0.1
0.03840954974293709,1,226,300,0.1
0.03864435479044914,1,225,300,0.1
0.038397952914237976,1,224,300,0.1
0.04018222168087959,1,222,300,0.1
0.04287116229534149,18,40,258,0.02701257784657241
0.038392260670661926,1,221,300,0.1
0.042928848415613174,1,219,300,0.1
0.0415782630443573,1,219,300,0.1
0.03843912482261658,1,219,300,0.1
0.04522193968296051,1,216,300,0.1
0.04991952329874039,18,40,240,0.08878934654443661
0.038356173783540726,1,218,300,0.1
0.04334454983472824,1,215,300,0.1
0.04396563395857811,1,215,300,0.1
0.04689117893576622,1,217,300,0.1
0.035904932767152786,1,220,300,0.1
0.040920745581388474,1,216,300,0.1
0.04130144417285919,13,118,73,0.037377780986541626
0.04924140125513077,17,40,18,0.09449120100071212
0.04350379481911659,1,214,300,0.1
0.08150675147771835,2,314,174,0.04124559136067502
0.04698454961180687,1,40,300,0.1
0.04565270245075226,1,215,300,0.1
0.05037475749850273,1,218,300,0.1
0.043169423937797546,1,222,300,0.1
0.04141780734062195,1,209,300,0.05880045700969672
0.03933897614479065,1,221,300,0.1
0.038483183830976486,1,209,300,0.060502966866496595
0.038672447204589844,1,206,300,0.05703023225097322
0.05178121104836464,1,338,114,0.042005973153866595
0.038444600999355316,1,188,300,0.059826409548077074
0.04238201305270195,1,185,300,0.05762597035400495
0.04137332737445831,1,187,300,0.05905297575906482
0.03840627893805504,1,188,300,0.05946840226686472
0.0427289716899395,1,185,300,0.05778599051597393
0.042094383388757706,1,187,300,0.058951211269340116
0.04680415615439415,8,206,184,0.07002599411236896
0.04101281985640526,1,188,300,0.059960739715950874
0.03647972643375397,1,188,300,0.05979421771068021
0.04103643819689751,1,184,300,0.05758057255419846
0.038461051881313324,1,185,300,0.05753624343635082
0.04875745251774788,1,183,300,0.056544314645880854
0.038410309702157974,1,189,300,0.06047578292843214
0.03837841376662254,1,188,300,0.05912221649731517
