Time:,3:22:14.021763,Eff. time:,"4 days, 11:51:28.696416",Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch size,Learning rate
0.049357734620571136,2,10,1,0.0001
0.04508380591869354,2,10,1,0.0002
0.04275093227624893,2,10,1,0.0004
0.04017293453216553,2,10,1,0.001
0.04008512571454048,2,10,1,0.002
0.0267302468419075,2,10,1,0.004
0.04641474410891533,2,10,1,0.01
0.053506746888160706,2,10,1,0.02
0.056459225714206696,2,10,1,0.04
0.042420949786901474,2,10,1,0.1
0.150710791349411,2,10,10,0.0001
0.10146485269069672,2,10,10,0.0002
0.06797266751527786,2,10,10,0.0004
0.0500633604824543,2,10,10,0.001
0.04407384246587753,2,10,10,0.002
0.04169417917728424,2,10,10,0.004
0.04043661430478096,2,10,10,0.01
0.04105115309357643,2,10,10,0.02
0.07658538222312927,2,10,10,0.04
0.05379052087664604,2,10,10,0.1
0.2047114223241806,2,10,25,0.0001
0.16400672495365143,2,10,25,0.0002
0.11453938484191895,2,10,25,0.0004
0.06713353842496872,2,10,25,0.001
0.052453890442848206,2,10,25,0.002
0.044568706303834915,2,10,25,0.004
0.04142088443040848,2,10,25,0.01
0.041014380753040314,2,10,25,0.02
0.046910930424928665,2,10,25,0.04
0.046503644436597824,2,10,25,0.1
0.22993971407413483,2,10,50,0.0001
0.2026647925376892,2,10,50,0.0002
0.13728371262550354,2,10,50,0.0004
0.07702358812093735,2,10,50,0.001
0.05277436599135399,2,10,50,0.002
0.04323148354887962,2,10,50,0.004
0.037396129220724106,2,10,50,0.01
0.037708308547735214,2,10,50,0.02
0.047803983092308044,2,10,50,0.04
0.04201117530465126,2,10,50,0.1
0.22996731102466583,2,10,80,0.0001
0.20545651018619537,2,10,80,0.0002
0.16629940271377563,2,10,80,0.0004
0.10114268213510513,2,10,80,0.001
0.12208709865808487,2,10,80,0.002
0.04945563152432442,2,10,80,0.004
0.038329798728227615,2,10,80,0.01
0.036947909742593765,2,10,80,0.02
0.036173563450574875,2,10,80,0.04
0.04110591486096382,2,10,80,0.1
0.6412244439125061,2,10,100,0.0001
0.21389463543891907,2,10,100,0.0002
0.5461211800575256,2,10,100,0.0004
0.11422629654407501,2,10,100,0.001
0.17601901292800903,2,10,100,0.002
0.057318828999996185,2,10,100,0.004
0.03898733854293823,2,10,100,0.01
0.03754020854830742,2,10,100,0.02
0.037261057645082474,2,10,100,0.04
0.0417565256357193,2,10,100,0.1
0.651506245136261,2,10,150,0.0001
0.22736671566963196,2,10,150,0.0002
0.44140416383743286,2,10,150,0.0004
0.3527122437953949,2,10,150,0.001
0.2576838433742523,2,10,150,0.002
0.05774323642253876,2,10,150,0.004
0.041698962450027466,2,10,150,0.01
0.039246007800102234,2,10,150,0.02
0.043052658438682556,2,10,150,0.04
0.042543694376945496,2,10,150,0.1
0.5035032033920288,2,10,200,0.0001
0.4860484302043915,2,10,200,0.0002
0.6029535531997681,2,10,200,0.0004
0.15470921993255615,2,10,200,0.001
0.2810124456882477,2,10,200,0.002
0.14416572451591492,2,10,200,0.004
0.041485581547021866,2,10,200,0.01
0.04245736077427864,2,10,200,0.02
0.04333363100886345,2,10,200,0.04
0.04306192696094513,2,10,200,0.1
0.6588718295097351,2,10,250,0.0001
0.492911696434021,2,10,250,0.0002
0.46608540415763855,2,10,250,0.0004
0.5296565890312195,2,10,250,0.001
0.13879737257957458,2,10,250,0.002
0.10287070274353027,2,10,250,0.004
