Time:,7:29:23.058426,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch Size,Learning rate
0.03536107391119003,20,334,54,0.04382900112681075
0.05736596882343292,16,217,280,0.015148632864048921
0.05126762017607689,12,198,237,0.01596565378312521
0.09079954028129578,17,365,247,0.009915368361499147
0.03466881811618805,19,280,252,0.0014754681141091561
0.041207823902368546,3,235,232,0.0738548481246686
0.05668208748102188,10,371,4,0.011832594630276383
0.0739428773522377,13,147,15,0.04663705065885973
0.05413375049829483,11,147,82,0.0041515592616968265
0.03848300501704216,1,237,114,0.03285841721143034
0.06130378320813179,14,56,42,0.06895464072622949
0.08145346492528915,13,366,87,0.09753264224512642
0.05805012583732605,20,343,178,0.05618716469833346
0.050482168793678284,15,333,295,0.008186600967188552
0.06529161334037781,4,278,48,0.0033316995872737895
0.049373406916856766,16,74,11,0.09920893847221733
0.04159433767199516,19,143,236,0.07645442232362315
0.05134085565805435,19,289,63,0.019647950348723235
0.07077080011367798,10,296,122,0.061969591748861054
0.06584177166223526,2,317,197,0.06715052838304367
0.03760816156864166,18,290,115,0.07303258530746162
0.03744133561849594,15,299,287,0.000720230807054227
0.06757089495658875,10,315,27,0.06125368480686919
0.05230104550719261,5,360,151,0.07062915675166916
0.05811291188001633,9,212,242,0.07185462916059494
0.04872346296906471,10,55,108,0.017229658546925486
0.10036186873912811,16,235,47,0.09514773349898398
0.055375512689352036,5,128,162,0.053734131473148546
0.05879068747162819,3,252,292,0.042983641796074445
0.08528664708137512,6,157,82,0.07970703165414715
0.054429154843091965,14,115,16,0.09434392988309992
0.04169350489974022,1,101,127,0.011495163304391983
0.08688150346279144,18,358,212,0.019442507146362344
0.056424666196107864,10,204,85,0.08791900923531612
0.04758423939347267,2,307,191,0.0503443305249558
0.08154377341270447,7,138,57,0.07269318031005788
0.055141810327768326,13,392,9,0.059955562582368824
0.0547594353556633,14,317,151,0.03358394844902855
0.04656609147787094,10,79,296,0.06262572013802181
0.06902647018432617,6,138,88,0.04781939454517824
0.040176235139369965,9,222,146,0.09946591748156504
0.04638590291142464,20,75,283,0.043003209884276965
0.043844886124134064,3,272,66,0.05694659443996033
0.04294957220554352,15,108,260,0.019757370795247302
0.046465396881103516,1,352,49,0.025639763314770553
0.04727025330066681,4,356,84,0.03774231393474513
0.03807710483670235,10,100,179,0.04019500525504292
0.08416175842285156,11,239,210,0.06985980791762096
0.04835046827793121,4,167,89,0.04042079440919594
0.08686627447605133,16,103,85,0.06274533634394618
0.040166329592466354,17,277,247,0.005279300207909963
0.051887284964323044,20,319,242,0.002146560434917164
0.06248789280653,19,241,125,0.09085180987734814
0.05315433815121651,16,299,237,0.003600207057162083
0.046859096735715866,16,346,254,0.0007250741479105516
0.03948869928717613,17,354,249,0.0012300721415833828
0.05285437032580376,18,397,241,0.0008721035492742645
0.04189978539943695,15,374,245,0.0008012752498392865
0.04121704027056694,19,386,266,0.0012994072651200607
0.06120927259325981,19,369,263,0.007992387663588535
0.0476149283349514,1,175,113,0.0955535249302565
0.11246688663959503,17,89,132,0.09743233658150988
0.03559081256389618,18,43,248,0.0988118853933995
0.06287534534931183,17,106,241,0.09546972412321192
0.03767256811261177,18,89,218,0.09039197855072108
0.051196154206991196,20,73,209,0.09509578406370532
0.058431580662727356,18,59,180,0.0971768515713068
0.062014609575271606,18,165,150,0.09908402046294415
0.05551657825708389,16,94,209,0.09948584223751594
0.04539790749549866,1,71,138,0.09372195781704783
0.08535268902778625,17,306,117,0.07408164343241419
0.06192248314619064,17,111,135,0.038019414542396254
0.05710940808057785,18,96,115,0.09422019820090757
0.050524357706308365,17,142,218,0.08170841799816939
0.06088873744010925,10,82,140,0.09645060138964635
0.055450741201639175,20,282,130,0.07435926976318588
0.045237135142087936,17,80,192,0.09173083740421926
0.04518752172589302,16,57,167,0.09837786449245946
0.061548832803964615,17,78,152,0.08929172408849705
0.04109242558479309,17,371,252,0.00259146059603367
0.03859969973564148,20,110,134,0.09550127499538398
0.05882802978157997,18,96,132,0.09059504518409754
0.07310699671506882,20,91,136,0.0990778710488942
0.042470552027225494,1,311,128,0.09985562845120506
0.04214811697602272,1,199,46,0.09742694486617122
0.04175633564591408,2,227,70,0.09778288547292693
0.04375578835606575,18,299,249,0.007962690447024507
0.06725361198186874,17,336,246,0.00757846198744776
0.10002147406339645,16,72,131,0.0942743819396249
