Time:,0:23:28.044619,Eff. time:,12:30:57.427808,Size:,4000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch size,Learning rate
0.03427797928452492,18,313,54,0.00012
0.0352436788380146,12,222,203,0.00132
0.05359039828181267,10,60,291,0.02135
0.10982513427734375,4,158,93,0.00012
0.03401326760649681,9,68,39,0.00027
0.042857132852077484,2,305,205,0.00124
0.04221034422516823,1,74,32,0.00546
0.04080802947282791,11,265,187,0.00176
0.03952372819185257,13,130,256,0.00043
0.041557978838682175,17,291,86,0.00031
0.06347747892141342,17,259,77,0.03201
0.04151320457458496,6,385,290,0.00477
0.04548975080251694,16,127,275,0.00016
0.035443589091300964,12,365,224,0.00249
0.0634312555193901,10,115,43,0.00625
0.03650221601128578,6,61,298,0.00296
0.04465477913618088,6,263,224,0.01792
0.04330679774284363,1,214,9,0.00118
0.038586996495723724,11,293,98,0.0006
0.06197890639305115,10,45,144,0.00013
0.05072784423828125,4,230,52,0.01134
0.03443898260593414,17,246,100,0.00029
0.04594005271792412,4,252,22,0.00066
0.04438963904976845,6,252,187,0.0001
0.04049414023756981,9,354,257,0.00647
0.045173514634370804,4,352,290,0.00454
0.0630149394273758,11,183,70,0.01274
0.0352761335670948,18,210,298,0.00076
0.05747707933187485,3,385,250,0.04049
0.038024939596652985,11,217,113,0.00011
0.03430333361029625,18,258,29,0.00016
0.03570769354701042,5,185,236,0.00105
0.07576937973499298,14,360,109,0.01239
0.0411209911108017,1,262,262,0.02017
0.052274707704782486,17,46,97,0.02574
0.037813421338796616,2,87,123,0.00693
0.06913960725069046,6,354,204,0.0057
0.04867298901081085,17,57,270,0.00013
0.0683397725224495,19,374,272,0.02697
0.05726303905248642,8,64,103,0.0001
0.05014745146036148,4,399,221,0.05082
0.0398394800722599,9,365,211,0.00046
0.037541478872299194,19,270,71,0.00027
0.07789817452430725,4,301,226,0.03842
0.04951667785644531,15,387,96,0.09391
0.04109964519739151,14,155,94,0.00117
0.050706204026937485,5,314,298,0.00391
0.03528471663594246,19,390,3,0.03559
0.06131463125348091,12,134,188,0.06641
0.035058096051216125,4,52,140,0.00416
0.04001004248857498,8,269,80,0.0001
0.03934159502387047,7,64,217,0.0007
0.05206652730703354,7,171,43,0.0175
0.046028200536966324,7,135,21,0.00124
0.05285689979791641,16,213,196,0.07851
0.02957892417907715,6,200,200,0.0025
0.07663164287805557,11,256,93,0.09745
0.038296669721603394,9,152,115,0.00164
0.05484748259186745,14,381,124,0.06982
0.0388706773519516,19,157,123,0.00077
0.034789714962244034,9,214,42,0.00201
0.04784335941076279,10,257,13,0.00175
0.04691027104854584,18,180,108,0.00105
0.039782434701919556,3,220,246,0.00088
0.043339166790246964,6,334,185,0.07463
0.03130496293306351,7,91,288,0.00895
0.0371813029050827,10,63,98,0.0051
0.053156428039073944,16,96,98,0.05735
0.04271012917160988,8,75,100,0.0005
0.042981039732694626,3,284,85,0.00069
0.03999876230955124,7,286,66,0.00256
0.03637895733118057,7,340,201,0.00092
0.037731993943452835,11,379,166,0.00012
0.03871862590312958,10,225,102,0.00027
0.05621940270066261,15,178,279,0.01315
0.040043577551841736,11,221,86,0.0013
0.0711020678281784,14,278,83,0.04003
0.11512164026498795,16,235,13,0.00579
0.04619596153497696,3,163,39,0.00013
0.03895634785294533,19,342,199,0.00019
0.0394967682659626,1,291,162,0.00718
0.044498901814222336,4,216,136,0.07124
0.03143797814846039,14,317,86,0.00029
0.043811455368995667,13,173,203,0.01326
0.039521485567092896,14,148,103,0.00031
0.04059434309601784,19,120,183,0.00059
0.04181713983416557,1,56,197,0.04508
0.04942382872104645,3,306,123,0.00014
0.03549852967262268,6,151,199,0.00024
0.06533267349004745,8,305,253,0.02129
0.05752067267894745,17,184,66,0.00564
0.040438346564769745,10,54,228,0.00024
0.045321024954319,3,197,73,0.00329
0.033761635422706604,16,374,277,0.00043
0.03919680416584015,9,173,201,0.00021
0.051291342824697495,17,310,290,0.00418
0.04028569534420967,18,47,101,0.00049
0.03170115128159523,12,352,173,0.00037
0.027296071872115135,9,145,267,0.0028
0.033953357487916946,4,272,65,0.00012
0.04712240770459175,5,89,145,0.02319
0.038573168218135834,9,121,230,0.00088
0.02957555465400219,3,376,49,0.00049
0.03684452176094055,8,205,127,0.00013
0.04345403239130974,13,274,4,0.00895
0.03410637751221657,10,305,54,0.00092
0.10526123642921448,3,112,164,0.00012
0.04046587646007538,1,124,246,0.00798
0.02720501646399498,2,265,256,0.02394
0.0564112514257431,18,344,213,0.07619
0.044347893446683884,16,231,13,0.00044
0.03564177080988884,10,335,66,0.00042
0.039657291024923325,6,53,96,0.00035
0.0382271483540535,18,186,194,0.00031
0.07486937940120697,2,154,76,0.03397
0.07196775078773499,11,345,91,0.01897
0.08210369199514389,17,100,35,0.06356
0.03078981675207615,3,208,244,0.00158
0.07913554459810257,4,251,206,0.00018
0.03579157963395119,5,326,99,0.00016
0.03632368519902229,13,187,83,0.00126
0.055362243205308914,16,65,10,0.08884
0.05867168307304382,14,206,61,0.09097
0.03546377643942833,16,277,109,0.00025
0.07520446181297302,6,309,45,0.00808
0.04214135557413101,18,290,116,0.00539
0.04130643978714943,9,282,290,0.0476
0.03326018154621124,9,82,14,0.00033
0.06878998130559921,3,157,80,0.01375
0.0383748896420002,18,286,39,0.00086
0.03771792724728584,2,368,227,0.00081
0.036416031420230865,10,138,268,0.03757
0.047207605093717575,5,134,7,0.00047
0.03914548456668854,1,160,30,0.02709
0.044272810220718384,2,195,73,0.00028
0.04016312584280968,15,379,63,0.01908
0.04336649924516678,5,380,66,0.00088
0.030850740149617195,5,119,298,0.00226
0.06700392067432404,15,163,138,0.02641
0.038081880658864975,17,179,22,0.00013
0.056727081537246704,12,243,49,0.00237
0.03151094540953636,7,173,106,0.0006
0.04429279640316963,11,215,91,0.00641
0.05131874606013298,10,77,278,0.02065
0.05075490102171898,17,53,248,0.03241
0.07972113788127899,1,79,198,0.00017
0.05503420531749725,13,338,167,0.00616
0.05180530995130539,13,115,276,0.0409
0.04077628254890442,12,90,298,0.00587
0.050614409148693085,11,341,173,0.00393
0.03572918847203255,14,53,141,0.0043
0.03543125092983246,11,97,88,0.00656
0.0638996809720993,2,327,73,0.04583
0.042989276349544525,3,382,297,0.05807
0.05381707847118378,19,395,66,0.00457
0.07317356020212173,14,293,60,0.01595
0.11294035613536835,9,304,83,0.0059
0.04203897342085838,9,301,24,0.01112
0.041009023785591125,18,118,63,0.03377
0.039193857461214066,12,193,96,0.00074
0.07670624554157257,4,384,193,0.09607
0.03758462518453598,15,278,20,0.00017
0.05246051773428917,7,336,253,0.03617
0.03519843891263008,18,185,249,0.00205
0.04643271118402481,8,354,234,0.06618
0.03299729898571968,4,264,164,0.00077
0.041279662400484085,6,242,99,0.02084
0.03989830240607262,12,241,131,0.00146
0.03645486757159233,11,303,295,0.00048
0.04477963596582413,13,102,2,0.07212
