Time:,53:43.6,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.032428636,6,8,222,125,0.172147887
0.028679477,4,4,263,57,0.023315952
0.017656359,2,6,166,128,0.019740562
0.016887667,2,6,104,72,0.049354249
0.101476837,8,10,297,53,0.078817092
0.052251145,6,6,258,91,0.087122917
0.025948214,6,10,108,100,0.092569063
0.049918965,6,4,263,111,0.009580553
0.107537557,10,8,286,141,0.195062815
0.075965357,6,4,186,124,0.119986189
0.015095744,2,8,133,44,0.065697257
0.021897563,6,2,177,53,0.179276071
0.036667267,8,6,105,140,0.157304915
0.030090485,6,4,158,113,0.177263569
0.243071726,8,4,141,41,0.014401531
0.080032396,8,10,238,149,0.13813781
0.136149677,10,6,206,59,0.031845667
0.22839498,10,8,195,137,0.080900042
0.064102253,4,4,182,43,0.112755803
0.080821407,8,4,143,60,0.08591021
0.033704238,10,2,283,57,0.188682198
0.040015982,8,2,151,142,0.16767847
0.01731816,4,8,173,143,0.122711627
0.053376885,8,6,242,55,0.165803495
0.065505082,8,6,116,81,0.186733909
0.027206673,6,4,214,103,0.083436906
0.027758819,8,4,224,93,0.194870982
0.028139894,8,2,144,53,0.03513727
0.04501129,6,8,213,103,0.130873783
0.052028781,4,10,139,133,0.192095613
0.039087642,6,4,152,113,0.036440907
0.011568001,6,2,168,84,0.093567976
0.146553534,8,10,203,84,0.011783508
0.014894636,2,8,102,86,0.001367832
0.017210055,6,4,224,86,0.002840906
0.039898285,6,4,206,126,0.104393291
0.018429357,6,2,182,117,0.184893545
0.10587409,6,4,229,145,0.042962375
0.062372188,10,6,252,97,0.118941681
0.02008473,4,2,206,124,0.003653843
0.018604613,2,4,145,122,0.004598489
0.018664259,2,4,146,117,0.005186587
0.019290764,2,4,147,115,0.004376602
0.016435067,2,4,146,113,0.003385325
0.019394098,6,4,139,68,0.0001
0.01952578,6,4,197,75,0.0001
0.271963446,6,4,100,71,0.031269985
0.016074145,2,4,212,137,0.00214514
0.055407493,6,2,168,84,0.093568689
0.026134887,2,2,300,150,0.035957247
0.016533711,2,2,300,146,0.019367129
0.051152176,8,4,140,79,0.022684829
0.018494812,2,8,168,144,0.054293542
0.025399573,6,4,212,82,0.063938931
0.019189072,2,4,142,117,0.014529564
0.01935463,2,2,300,150,0.074658428
0.023222036,4,2,194,120,0.036661663
0.018472279,2,6,100,67,0.067989104
0.038528036,2,8,169,145,0.174727782
0.040572234,6,8,102,86,0.095076827
0.011330809,4,8,133,44,0.121798261
0.018512201,2,2,300,133,0.043631274
0.01660061,4,8,133,44,0.154529982
0.014594403,2,2,300,111,0.052814239
0.013103857,2,8,133,44,0.068272791
0.028010901,2,8,133,44,0.041579796
0.020447726,10,8,133,44,0.2
0.147595724,10,2,300,116,0.141450176
0.018380458,4,2,300,108,0.049304276
0.023906035,2,2,300,96,0.025984051
0.012572149,4,4,152,76,0.094548105
0.041531008,4,4,153,72,0.053440798
0.061871288,6,4,155,69,0.05511328
0.030125207,4,4,149,88,0.199525165
0.014771831,4,8,133,44,0.08374537
0.018597267,2,4,143,75,0.021738167
0.016067679,2,2,300,139,0.08411308
0.04229261,4,8,233,115,0.178512522
0.017937731,2,4,155,79,0.16235603
0.019440045,4,8,160,135,0.0001
0.03606102,2,8,118,66,0.191160716
0.027106403,6,8,144,40,0.191870141
0.021050391,2,4,211,122,0.0001
0.01232801,2,4,234,74,0.011551986
0.01969371,2,4,231,78,0.006234045
0.050354707,6,4,236,64,0.007158229
0.014993015,2,4,221,89,0.107133369
0.024994513,6,8,128,40,0.057691641
0.022111999,2,4,227,88,0.030716375
0.016389816,2,4,201,78,0.135912609
0.022280974,2,4,211,84,0.040087539
0.066589587,10,2,201,103,0.161566615
0.025179,2,2,194,145,0.199128608
0.017698612,2,2,174,122,0.151946898
0.020862761,2,2,300,110,0.0001
0.019349594,2,6,100,74,0.0860448
0.02337671,2,8,100,111,0.075598654
0.01563444,2,6,150,130,0.052946726
0.028650318,2,6,158,150,0.158724273
1.765234512,4,4,143,76,0.05966493
0.143311892,8,4,138,117,0.017130862
0.037142626,10,4,144,53,0.098523852
0.020160332,2,4,195,93,0.031963939
0.030789651,8,4,145,121,0.172528195
0.01953172,2,4,198,94,0.00043827
0.02706609,2,4,188,93,0.049180649
0.015649577,2,4,201,102,0.055938766
0.013799866,2,4,193,98,0.044439825
0.014385234,2,4,206,107,0.040973458
0.016716715,2,4,217,129,0.146982128
0.030047384,2,4,137,74,0.097319969
0.015806319,2,4,187,108,0.046493881
0.019582533,2,4,197,107,0.050592805
0.01811602,4,6,137,109,0.16978999
0.016004359,2,4,190,117,0.047023298
0.017259289,2,4,197,95,0.020511021
0.017144165,2,6,189,106,0.002614001
0.029743624,2,4,193,100,0.064788793
0.017302523,2,4,204,111,0.043895461
0.020858853,2,4,191,104,0.047253741
0.020060676,2,4,191,111,0.047716532
0.018483122,2,4,187,70,0.043860659
0.01694005,2,4,190,101,0.048684156
0.458178431,8,8,114,42,0.056926898
0.031674117,4,6,100,40,0.05163011
0.016680751,4,2,204,125,0.043842073
0.069011261,8,10,276,119,0.003368938
0.013205115,2,6,234,132,0.050200827
0.025167361,2,4,192,89,0.043007556
0.016795114,10,6,205,91,0.179941655
0.031561295,6,8,103,58,0.074811301
0.01773215,4,2,296,78,0.16205976
0.016124084,2,4,195,106,0.11688322
0.018463025,2,8,257,103,0.126485713
0.020983414,4,4,283,123,0.144592911
0.020987962,4,10,238,45,0.013705034
0.037024447,4,10,291,55,0.135445123
18.84955569,6,4,263,43,0.160291661
0.016341239,4,10,253,137,0.103581474
0.096110844,6,8,246,100,0.109745138
0.033741483,6,4,289,150,0.14600895
0.044533541,10,2,290,40,0.2
0.022512813,4,10,195,80,0.2
0.030501321,4,2,169,84,0.2
0.058899031,4,10,190,69,0.032064519
0.018190534,8,2,100,147,0.185557498
0.034739579,10,6,100,150,0.190505739
0.016071553,6,2,223,66,0.0001
0.020657653,10,8,100,85,0.0001
0.013990267,2,10,214,40,0.2
0.023098075,2,10,260,150,0.109446195
0.055875389,8,10,184,92,0.199916986
