Time:,0:14:55.030687
MSE,H1,H2
0.044224730277821554,2,2
0.045898486274666854,2,4
0.06555269654937797,2,6
0.05117910687138277,2,8
0.05729572787607938,2,10
0.045873079035425715,2,12
0.03970566598360805,4,2
0.053355422951083684,4,4
0.05106813390064228,4,6
0.0459048198131435,4,8
0.06194111250239303,4,10
0.07183710358216125,4,12
0.04071361117763411,6,2
0.10656718379973444,6,4
0.09251067020551293,6,6
0.19860633967724467,6,8
0.07117395132885145,6,10
0.04438241073399159,6,12
0.0788721337556766,8,2
0.10721221325450471,8,4
0.24602682709271148,8,6
0.15687857861735538,8,8
0.06997181890597678,8,10
0.044684578759583926,8,12
0.06305707554717646,10,2
0.19235278682559404,10,4
0.25251494398423036,10,6
0.11909829506276212,10,8
0.1935031130837665,10,10
0.3614828856172568,10,12
0.07599526428238987,12,2
0.0973130986112907,12,4
0.08712411945586904,12,6
0.07846428714339676,12,8
0.05065642499402394,12,10
0.15317614530862386,12,12
