Time:,"1 day, 0:34:14.436895",
MSE,Epochs,Batch size
0.008213362,1,1
0.009105577,1,10
0.009072244,1,20
0.010220143,1,30
0.010352731,1,40
0.013271574,1,50
0.01578436,1,60
0.017408964,1,70
0.014142399,1,80
0.013096953,1,90
0.018367534,1,100
0.017302422,1,110
0.016730593,1,120
0.017797722,1,130
0.020507895,1,140
0.019295419,1,150
0.020808296,1,160
0.022080237,1,170
0.024904248,1,180
0.024284676,1,190
0.024167389,1,200
0.023122574,1,210
0.021026835,1,220
0.024716525,1,230
0.021277191,1,240
0.024376957,1,250
0.022896141,1,260
0.021709669,1,270
0.022676177,1,280
0.026603172,1,290
0.029451432,1,300
0.024484442,1,310
0.02335829,1,320
0.026605997,1,330
0.030802672,1,340
0.057163712,1,350
0.024872975,1,360
0.022456423,1,370
0.022461125,1,380
0.02282275,1,390
0.023497444,1,400
0.008978848,10,1
0.00475599,10,10
0.004943026,10,20
0.005211532,10,30
0.005981909,10,40
0.006272339,10,50
0.006392096,10,60
0.007182955,10,70
0.008587055,10,80
0.007184921,10,90
0.008221549,10,100
0.008195287,10,110
0.008611599,10,120
0.008217492,10,130
0.008304253,10,140
0.008815622,10,150
0.008891269,10,160
0.009021057,10,170
0.008806343,10,180
0.009020374,10,190
0.010451745,10,200
0.009511652,10,210
0.009052132,10,220
0.008828758,10,230
0.008798993,10,240
0.009255397,10,250
0.009455384,10,260
0.010145806,10,270
0.010043508,10,280
0.011188702,10,290
0.008834486,10,300
0.008879796,10,310
0.010110156,10,320
0.009237328,10,330
0.009728934,10,340
0.01015611,10,350
0.009126038,10,360
0.012523904,10,370
0.009846134,10,380
0.011105814,10,390
0.011148763,10,400
0.012445854,20,1
0.006925369,20,10
0.006463839,20,20
0.00452008,20,30
0.005816886,20,40
0.0057015,20,50
0.00529136,20,60
0.005198834,20,70
0.006409484,20,80
0.005733914,20,90
0.005881521,20,100
0.006581275,20,110
0.007374368,20,120
0.006534016,20,130
0.007538541,20,140
0.006520089,20,150
0.007312723,20,160
0.007154228,20,170
0.006691825,20,180
0.008502239,20,190
0.007199995,20,200
0.008894531,20,210
0.007957666,20,220
0.008146132,20,230
0.00860453,20,240
0.009607537,20,250
0.008708671,20,260
0.008450621,20,270
0.008693047,20,280
0.008330946,20,290
0.007996852,20,300
0.009428841,20,310
0.00849242,20,320
0.009096233,20,330
0.008652119,20,340
0.008843063,20,350
0.008697746,20,360
0.008520188,20,370
0.009463227,20,380
0.009194933,20,390
0.010227698,20,400
0.009398871,30,1
0.00742304,30,10
0.004859324,30,20
0.006441412,30,30
0.005110272,30,40
0.006273879,30,50
0.00590418,30,60
0.005472987,30,70
0.005079569,30,80
0.004933347,30,90
0.00563566,30,100
0.005700053,30,110
0.006339242,30,120
0.006055805,30,130
0.006969908,30,140
0.006790527,30,150
0.005962581,30,160
0.006322564,30,170
0.007122338,30,180
0.006536065,30,190
0.007004351,30,200
0.006547727,30,210
0.007062332,30,220
0.005631134,30,230
0.00664999,30,240
0.00782316,30,250
0.007156511,30,260
0.007959185,30,270
0.00812462,30,280
0.007611471,30,290
0.008444754,30,300
0.007129899,30,310
0.008182459,30,320
0.007507488,30,330
0.008087514,30,340
0.008480758,30,350
0.008144719,30,360
0.007916237,30,370
0.008031928,30,380
0.007963777,30,390
0.008609451,30,400
0.028169785,40,1
0.008481602,40,10
0.007693559,40,20
0.008243762,40,30
0.006122492,40,40
0.006615173,40,50
0.005316211,40,60
0.005802238,40,70
