Time:,10:25.7,
MSE,H1,H2
0.039220002,4,10
0.039751256,10,10
0.04339747,4,6
0.04357615,12,2
0.04638504,2,2
0.048490832,4,2
0.052470996,2,12
0.055953984,2,6
0.056066347,2,8
0.056436667,2,10
0.05781148,6,8
0.061956027,2,4
0.062159467,4,8
0.062680297,4,4
0.067333816,8,6
0.073984394,8,12
0.076126978,10,4
0.07748728,10,2
0.082920185,6,10
0.086199902,12,6
0.08929742,6,2
0.094787263,6,12
0.099443431,10,6
0.101399102,8,10
0.105049847,12,4
0.107535752,4,12
0.10799938,8,8
0.108295053,8,2
0.113547268,12,10
0.126994924,6,4
0.153564176,10,8
0.198045491,10,12
0.239880921,12,8
0.251782771,8,4
0.443486708,12,12
0.485917216,6,6
