Time:,0:10:38.713649
MSE,H1,H2
0.04632507681454426,2,2
0.0640532802884288,2,4
0.03055941593285929,2,6
0.05551464571277504,2,8
0.054974950829305855,2,10
0.04552752750169131,2,12
0.03680404922829081,4,2
0.14597478892207646,4,4
0.044808912411208546,4,6
0.06663106911393821,4,8
0.045690110500272316,4,10
0.10513650730791044,4,12
0.09905450999522035,6,2
0.10105956367042053,6,4
0.2560910552202287,6,6
0.33719231326495236,6,8
0.037281264954811495,6,10
0.10274120940131123,6,12
0.060300323782780184,8,2
0.2076009727810976,8,4
0.05513440810369981,8,6
0.041712281136130167,8,8
0.08204681596699934,8,10
0.08202586088251562,8,12
0.05739190969514877,10,2
0.18258515603323985,10,4
0.10189145396604724,10,6
0.05652855592640399,10,8
0.05223717448462035,10,10
0.19851188525596333,10,12
0.08187532763521993,12,2
0.06390885533438098,12,4
0.11567224073096123,12,6
0.07828931275831583,12,8
0.09580822076351125,12,10
0.11984883870947385,12,12
