Time:,1:17:10.094768
MSE,H1,H2
0.04516131987954329,2,2
0.04844934387956473,2,4
0.04216224022198248,2,6
0.047564789001242336,2,8
0.05547004651941292,2,10
0.05024482894707235,2,12
0.04217179137412402,2,14
0.04829478513212537,2,16
0.04383050446517865,2,18
0.04217331579191165,2,20
0.04113632246551487,2,22
0.04387779629158357,2,24
0.047116440430871626,2,26
0.04736455768353235,2,28
0.0468684953333692,2,30
0.04974775102466958,4,2
0.037444118764256365,4,4
0.07316645827375579,4,6
0.12228912454191049,4,8
0.0469521511270104,4,10
0.05937710671145695,4,12
0.049580586527293705,4,14
0.036778104941438,4,16
0.034592240080004256,4,18
0.0381861588002047,4,20
0.042658115499009316,4,22
0.0464751260060395,4,24
0.04763343636748343,4,26
0.05162740465125436,4,28
0.04285386691904431,4,30
0.06792494343610427,6,2
0.04812707853842252,6,4
0.04455473702052174,6,6
0.04022117274931428,6,8
0.06529021805999395,6,10
0.07717869706054843,6,12
0.07789163128835394,6,14
1.2086159768344327,6,16
0.13467544380836743,6,18
0.03595829301829164,6,20
0.08410502012797223,6,22
0.542457578799986,6,24
0.05802898821052184,6,26
0.0389807919001537,6,28
0.18194951379859234,6,30
0.05093656918881568,8,2
0.16072289675590817,8,4
0.07500017944491463,8,6
0.057519320645544506,8,8
0.05065512136239678,8,10
0.07006575074809164,8,12
0.05540169606397054,8,14
0.0628536577497934,8,16
0.1216995044522381,8,18
0.07003444200801597,8,20
0.07899982413367547,8,22
0.05565835043289715,8,24
0.06473836775972877,8,26
0.06459422045969969,8,28
0.0695777086236181,8,30
0.051662167032411194,10,2
0.06105065087797808,10,4
0.07692449110329723,10,6
0.14149960581126458,10,8
0.06346484481384883,10,10
0.06446388787867824,10,12
0.16805444669929903,10,14
0.05170317770081902,10,16
0.053159501141110156,10,18
0.03469925037003391,10,20
0.045939856494272846,10,22
0.5893821369009339,10,24
0.06075150534950152,10,26
0.06551417663456983,10,28
0.04313093907274217,10,30
0.03703695245519562,12,2
0.03971936742573125,12,4
0.09720875229446514,12,6
0.06598957858481988,12,8
0.053459216468682055,12,10
0.09685592172992995,12,12
0.08367101406132564,12,14
0.05216234751050659,12,16
0.06382860547068293,12,18
0.06172796611438687,12,20
0.06389056521108422,12,22
0.3092624643585438,12,24
0.058619265429262817,12,26
0.07339558834574189,12,28
0.04068864507704023,12,30
0.057393422125470675,14,2
0.09504229930361427,14,4
0.035737931908152484,14,6
0.06533398884328012,14,8
0.05182588200507941,14,10
0.07056867622760055,14,12
0.07722337329723199,14,14
0.07309761562372315,14,16
0.07875415605772965,14,18
0.44571176865789713,14,20
0.12153743172851178,14,22
0.031463814512829515,14,24
2.1732751493261806,14,26
0.03619652047763343,14,28
0.0780754571176713,14,30
0.06819152014664535,16,2
0.048207497424014964,16,4
0.049649142712259495,16,6
0.0611548317096275,16,8
0.06729528186542813,16,10
0.0601051333838381,16,12
0.044299105208383406,16,14
0.29449012464434093,16,16
0.09894249146128281,16,18
0.06340912076604471,16,20
1.5183480999701195,16,22
0.08621389404590366,16,24
0.12181345948476324,16,26
0.042433240583704616,16,28
0.24878386368771732,16,30
0.043739950350810186,18,2
0.11421919356191837,18,4
0.12737604302203853,18,6
0.06714055872874851,18,8
0.0670303054045673,18,10
0.030013909586708375,18,12
0.0580788110113517,18,14
0.08800799526351039,18,16
0.10331597231332504,18,18
0.04969196804571481,18,20
0.06396518174686969,18,22
1.875793786595463,18,24
0.05911104655617751,18,26
0.6028383280018085,18,28
0.08851762719920234,18,30
0.06587901518754323,20,2
0.040174888194136095,20,4
0.059337340545756394,20,6
0.06152273192913607,20,8
0.04841863548620737,20,10
0.07725349728066318,20,12
0.044257701412482656,20,14
0.0722210019143861,20,16
0.0682006108785618,20,18
0.1099857083246025,20,20
0.1160885561540619,20,22
0.053670566566675015,20,24
0.07617829314248992,20,26
0.05794009298948027,20,28
4.601068656180783,20,30
0.05561879991151594,22,2
0.0975748853222852,22,4
0.044232993520674065,22,6
0.043840741202931965,22,8
0.056817835738764574,22,10
0.05549389713309427,22,12
0.058415483755624845,22,14
0.09343651231370075,22,16
0.07948436549353817,22,18
0.054733233053585115,22,20
0.08450923426583004,22,22
0.06633287057463452,22,24
0.07309311874142015,22,26
0.08524930166676953,22,28
0.06936435640824946,22,30
0.07196117262232539,24,2
0.08017749930252766,24,4
0.05296560848667687,24,6
0.07527628108078815,24,8
0.0439182581261768,24,10
0.06059829606450166,24,12
0.06866369960173094,24,14
0.047963031713456714,24,16
0.058806418968794336,24,18
0.05856131805228245,24,20
0.06791847016297825,24,22
0.04952735942497969,24,24
0.06837690623983075,24,26
0.07792924391605631,24,28
0.07028389714594559,24,30
0.0629341112636129,26,2
0.07014971497720444,26,4
0.07891320463988052,26,6
0.07357353165191455,26,8
0.07854749692133481,26,10
0.06900869176327452,26,12
0.0677211492308038,26,14
0.0929382549791408,26,16
0.15259599718166894,26,18
0.08338182717019534,26,20
0.05711706940287148,26,22
0.07404204931184263,26,24
0.08443124162596352,26,26
0.10738884451519534,26,28
0.0638178340030561,26,30
0.042219595005738304,28,2
0.05091791567493703,28,4
0.05722646233843641,28,6
0.06951836113248984,28,8
1.1523175583145344,28,10
0.044579976741104706,28,12
0.06063318569097119,28,14
0.057862140177092375,28,16
0.0575175994288969,28,18
0.36365089226935343,28,20
0.05409552191888325,28,22
0.05640698776440921,28,24
0.1075107125245719,28,26
0.04854902842108204,28,28
0.15292121461289315,28,30
0.16086605508455823,30,2
0.06318172488380908,30,4
