Time:,5:44:50.214247
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.05972371186541829,6,8,245,232,0.17214788729839972
0.07345045308080406,4,4,326,48,0.0233159517409479
0.04452424325583508,2,6,133,241,0.019740561916553354
0.04615665365864091,2,6,10,88,0.049354249205743585
0.06309946282547163,8,10,395,36,0.07881709222354363
0.07296589789094735,6,6,316,140,0.0871229172947896
0.041748242252157876,6,10,17,165,0.09256906297539032
0.05631040047196338,6,4,326,194,0.009580552856295266
0.08240623652139259,10,8,372,276,0.19506281466267042
0.07073194710905162,6,4,173,230,0.11998618948808072
0.04815593001990635,2,8,66,11,0.06569725718821112
0.12892072417341896,6,2,154,36,0.1792760708341127
0.05340107397883924,8,6,11,272,0.1573049147633415
0.049300540501885176,6,4,118,199,0.17726356928818499
0.06239972852393116,8,4,84,4,0.014401530572794679
0.08233392536177053,8,10,276,297,0.13813781041976025
0.10755576761642271,10,6,213,51,0.03184566737228453
0.08185976448458362,10,8,191,265,0.08090004244222716
0.05385293467053166,4,4,165,8,0.11275580293209599
0.05349411366107179,8,4,86,54,0.08591021016051335
0.03917483268037216,4,8,24,147,0.014656337897433489
0.03641336796535691,4,8,14,164,0.09048806700743081
0.04080823302954687,4,8,6,120,0.12361086954981566
0.0416938590540467,4,8,22,291,0.07218843282833075
0.047622282758985855,4,8,2,1,0.017580644260133838
0.0386671805102566,4,8,36,276,0.2
0.059404670644687727,4,8,23,189,0.2
0.05814017941689875,4,10,1,300,0.0001
0.039392995343652815,4,4,9,300,0.2
0.040914977247536115,4,4,1,202,0.17305053729852785
0.04154252499364508,4,4,1,300,0.2
0.044225084560137906,4,4,9,278,0.17108285278506485
0.05336855274790127,4,4,13,46,0.1515425050065019
0.03949041463819985,4,8,74,300,0.06558280130083731
0.045609870448513924,4,8,48,300,0.0001
0.041516115602325945,4,4,1,300,0.2
0.046080452163930065,4,8,32,300,0.0001
0.04472162141968755,4,8,293,300,0.1487048404212797
0.04063799004743495,4,8,97,126,0.07241733762116936
0.04009936728496405,4,4,1,163,0.09239376267064281
0.044968411036710274,2,8,246,300,0.0001
0.04745935397083225,4,4,1,300,0.1822660991003091
0.04576788319286436,4,8,105,300,0.0001
0.06525352060179218,2,8,400,300,0.2
0.04116628136160219,4,4,1,300,0.2
0.04653529830797383,4,8,1,300,0.2
0.04570355578841586,8,10,1,1,0.0001
0.04671256774398882,2,8,163,300,0.0001
0.040904044354519026,4,8,1,164,0.0604665442058
0.27663914016932023,2,6,1,300,0.0001
0.08947509566800403,4,6,166,218,0.07695183765700007
0.06252919672076623,2,6,188,216,0.027942016287152108
0.04737172918072882,4,8,44,152,0.2
0.036562852049939976,4,8,46,163,0.12717818971178635
0.044075487820656685,4,2,55,138,0.07296716249398831
0.05764543085896244,4,2,41,300,0.2
0.04001557431223329,2,6,1,7,0.0708667376757416
0.04609328893738478,4,10,66,165,0.0001
0.04699850239005002,4,4,303,298,0.2
0.04247063630961847,4,10,51,300,0.10863915830928492
0.059985057854493595,6,4,49,269,0.2
0.25751558738028785,6,6,400,300,0.2
0.06936962259303012,4,8,366,1,0.13522764244161797
0.0419173682436367,2,6,1,89,0.06261661576803425
0.03965642770078312,2,6,1,98,0.19245723056267833
0.04694304377729219,4,8,96,300,0.19925356774032055
0.05317386624530529,4,8,106,300,0.009939913029325152
0.04790099842560834,10,6,1,260,0.16768938409035436
0.043254330013153014,2,10,1,300,0.2
0.039717561583275635,4,10,299,300,0.2
0.04246354897473263,4,8,1,81,0.0001
0.042876759175214524,4,4,1,238,0.2
0.05097693109481616,6,10,57,112,0.08013562870152152
0.038919392570019744,2,10,98,221,0.2
0.06294788446847893,4,10,88,88,0.15727436172638368
0.04787594006796687,4,10,50,226,0.1003493890736381
0.19647166237834401,4,8,113,300,0.1599162152239091
0.07393821896352211,4,8,355,1,0.08369001801756648
0.05820695868097325,4,10,79,173,0.2
0.04244255737632306,2,6,18,74,0.06768568203706506
0.031187917993232016,4,8,3,285,0.11967562634583376
0.03754906782723233,4,6,11,227,0.12723627215318528
0.042603895584828015,4,10,67,10,0.09765028563310785
0.03660056906565723,4,8,40,300,0.1114946413291796
0.06356146919577715,2,10,148,300,0.2
0.044224137537785715,8,8,1,300,0.10909259448797665
0.050879347215522765,2,8,21,300,0.12317275613367461
0.04827810598575227,4,6,1,5,0.18788509098129322
0.03766386461224574,4,6,2,300,0.11621793192241295
0.036297195164235185,4,10,4,300,0.12834788181693926
0.03596536130713467,4,10,10,300,0.11327008293332295
0.057490051893665156,6,10,118,300,0.16973230911147807
