Time:,22:04:20.498152
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.11954389198045644,6,8,245,232,0.17214788729839972
0.039393154520571946,4,4,326,48,0.0233159517409479
0.045829893301878276,2,6,133,241,0.019740561916553354
0.05273562738034137,2,6,10,88,0.049354249205743585
0.06368156215918866,8,10,395,36,0.07881709222354363
0.1922809389337176,6,6,316,140,0.0871229172947896
0.05397805327347027,6,10,17,165,0.09256906297539032
0.061597246231875714,6,4,326,194,0.009580552856295266
0.049742358408206046,10,8,372,276,0.19506281466267042
0.0889858929481713,6,4,173,230,0.11998618948808072
0.04670506804609625,2,8,66,11,0.06569725718821112
0.0963000684487443,6,2,154,36,0.1792760708341127
0.044626538538625374,8,6,11,272,0.1573049147633415
0.04888185134538564,6,4,118,199,0.17726356928818499
0.04662710749125047,8,4,84,4,0.014401530572794679
0.06954445313856303,8,10,276,297,0.13813781041976025
0.17630994386210497,10,6,213,51,0.03184566737228453
0.14710522043411942,10,8,191,265,0.08090004244222716
0.04007787716067453,4,4,165,8,0.11275580293209599
0.05756333805741805,8,4,86,54,0.08591021016051335
0.06362458437060205,10,2,367,49,0.1886821980343511
0.08687179665154834,8,2,102,278,0.16767846950448242
0.04315732989802137,4,8,147,281,0.12271162703706245
0.059599254982769495,8,6,285,41,0.16580349491506094
0.05532767122470336,8,6,33,113,0.1867339085635835
0.03487307967730072,6,4,229,172,0.08343690629755442
0.04655897916338782,8,4,249,144,0.19487098158591123
0.06460380258254483,8,2,89,37,0.035137269549584245
0.03897574293626709,6,8,227,171,0.13087378270303604
0.03951873872563649,4,10,80,255,0.19209561284409152
0.05897090388613603,6,4,105,200,0.03644090676544124
0.0408932994295768,6,2,136,121,0.09356797595047181
0.11704181498976243,8,10,207,122,0.011783508042684425
0.0460825776855468,2,8,4,126,0.0013678324678758102
0.09337766237347467,6,4,248,126,0.0028409055524732264
0.039203449460734535,6,4,212,234,0.10439329141224209
0.07600512583443284,6,2,164,211,0.18489354469182995
0.046628249048248985,6,4,258,286,0.04296237540775536
0.07118736276397955,10,6,303,157,0.11894168054232757
0.04799139896802286,4,2,212,228,0.003653843364938052
0.03662436060968504,2,10,163,135,0.1565489184466296
0.05145073635126139,6,10,145,129,0.16678324841184208
0.04798028660726402,2,8,317,148,0.07922580650186745
0.052363771933367026,2,4,76,32,0.18181733714749965
0.07049440961510625,6,10,175,24,0.045019032996621806
0.04669947458706813,8,6,202,224,0.17544765858780415
0.05886541357123412,4,4,397,259,0.021858155255435132
0.041519320900062585,4,6,163,11,0.03395785148916891
0.046362776732945185,6,8,171,237,0.07728657973782779
0.0678514290370072,10,4,38,293,0.0577399816016615
0.055266076431306266,4,10,209,247,0.16987794637537612
0.05220653681699745,8,2,22,26,0.1632892100344253
0.035806555372955684,10,8,16,160,0.07401365768452305
53.401964167911736,8,4,344,136,0.19595828977928947
0.062164187976638766,6,8,375,164,0.03312425921608003
0.039890775355282175,6,8,169,54,0.15638926133197617
0.04272161481195873,6,8,238,34,0.0022384680334437542
0.05103278055817401,2,6,395,194,0.06438928458845183
0.04106642668733812,4,4,356,279,0.10603516022986531
0.056561477333631184,10,4,350,106,0.1713260836433392
0.10462528191249199,8,4,333,108,0.12747967266224955
0.04469012485786458,4,4,6,61,0.15291381198265597
0.03989850659881543,4,6,197,158,0.10271851995735658
0.05050313071299665,8,4,206,102,0.17146536451157326
0.045337629884382266,6,6,131,182,0.09445601471251296
0.06448502299815834,10,10,139,113,0.1213878573558409
0.052995996243730505,6,6,205,82,0.029147856641144464
0.04333122019412055,4,6,132,192,0.03918789109031003
0.0549791757132219,6,4,227,286,0.1996478821782405
0.04038687169775603,8,6,160,73,0.1547814445866297
0.1261828668596901,6,10,345,213,0.015501887900658469
0.04541199698836895,4,6,84,226,0.09164004233501954
0.08244497644523882,6,4,274,188,0.07303737338258597
0.04379085647174537,2,4,72,74,0.03290201968685482
0.03461804328690507,4,2,325,129,0.06943633861795157
0.03844057756952684,6,8,273,10,0.075178037196565
0.03840658705409517,10,4,181,55,0.06177257322153767
0.0654387962512317,10,10,54,297,0.014008558669662982
0.04650821014645989,2,8,346,228,0.1391023858138944
0.05211351052430949,6,6,396,26,0.15306204163899484
0.08280392173029152,4,8,107,110,0.010431315669896057
0.045628171700039924,2,10,380,290,0.08789596109016444
0.06384304972363311,4,10,309,253,0.06036990204823966
0.11388238383143144,10,8,149,79,0.08802884306865913
0.04359094916216891,6,6,293,19,0.07210375520406767
0.03457903183718239,4,6,360,88,0.16071379384519363
0.06823411619463174,6,6,122,106,0.1839678203141239
0.033893932953070235,4,4,7,172,0.13804534479095476
0.5066411341548366,8,6,194,131,0.03256664942067647
0.057755553871900636,8,2,264,129,0.05911617723375214
0.03659056943092108,4,4,216,190,0.07184613721086211
0.05666650774258608,8,4,331,86,0.1355976908834441
0.07132622524799982,6,4,238,204,0.16816006559236732
0.19312964389584583,4,6,350,241,0.14936011510647035
0.04848591778769446,10,4,248,197,0.019885946647931356
0.0823205813453155,4,6,214,59,0.08386055612221477
0.042546387959483324,4,2,20,170,0.07308205167754715
0.038070566567025926,6,8,83,98,0.1501583613619326
0.08983295809839068,6,6,379,199,0.13951302540516047
0.2230172322785543,8,8,316,269,0.10558357779161513
0.04199845650808984,2,6,317,46,0.04748254835591417
0.07153048390517347,8,4,19,7,0.18668963632515762
0.0349454065835493,4,2,30,256,0.08178518473403106
0.0648204173648154,8,10,399,184,0.09245723240345015
0.04374585290637483,8,10,30,167,0.0010851146524527469
0.05804232968749453,10,10,396,212,0.004236806512336417
0.051192761909251705,8,4,116,264,0.10470266378046197
0.05647879212034569,8,4,338,194,0.128399035866176
0.05641864691128037,6,8,227,66,0.03296108262439797
0.07851646837458126,8,4,386,252,0.09986833267070994
0.04401418977646282,4,6,65,42,0.08270505886034757
0.04060795091682258,8,8,73,252,0.1493036991620217
0.036708806332004684,10,2,379,234,0.11462319744595106
0.0830377355178943,4,6,356,213,0.025172831175095667
0.04101548106900493,2,6,39,273,0.03711231858537732
0.048947725912915706,4,4,229,100,0.011196515675391126
0.06477098211795024,8,6,85,206,0.024042982138441797
0.03806448661554514,4,8,73,292,0.009085342485597779
0.049385892345053084,2,8,332,265,0.1121644732466275
0.04672405979033245,10,8,107,43,0.16482152001418074
0.07412421274355233,6,4,219,235,0.13651861267739968
0.04212332344514935,6,10,271,199,0.1557830834326622
0.0724300510973698,10,8,384,180,0.19377843390327273
0.03678787593972316,8,2,222,165,0.19575307008794018
0.05131781078500135,8,2,219,4,0.09364878925708488
0.0535378569583185,10,8,309,200,0.14666815952048987
0.058277286267389275,8,6,38,152,0.16112339655992766
0.04575438663860095,8,4,227,191,0.14944854787944975
0.038035705629788474,2,4,7,195,0.014297064732699738
0.042993375448535896,4,2,170,218,0.15057061089591847
0.1132242062762466,6,8,344,282,0.05328547042403225
0.05245241689985447,8,8,311,30,0.16452824360220486
