Time:,2:02:06.030270
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.04975131505113429,6,8,222,125,0.17214788729839972
0.043603541647377786,4,4,263,57,0.0233159517409479
0.04817248379347688,2,6,166,128,0.019740561916553354
0.05039303593581924,2,6,104,72,0.049354249205743585
0.05730116068895421,8,10,297,53,0.07881709222354363
0.039943391015568666,6,6,258,91,0.0871229172947896
0.08013611731085163,6,10,108,100,0.09256906297539032
0.05438975781566667,6,4,263,111,0.009580552856295266
0.21629521778145863,10,8,286,141,0.19506281466267042
0.05761155342845624,6,4,186,124,0.11998618948808072
0.04442545414247952,2,8,133,44,0.06569725718821112
0.08972881247639591,6,2,177,53,0.1792760708341127
0.05044730197746765,8,6,105,140,0.1573049147633415
0.05224572388942452,6,4,158,113,0.17726356928818499
0.0507267852011368,8,4,141,41,0.014401530572794679
0.050456578659545726,8,10,238,149,0.13813781041976025
0.07628832824844403,10,6,206,59,0.03184566737228453
0.11826152079563002,10,8,195,137,0.08090004244222716
0.05567385296838309,4,4,182,43,0.11275580293209599
0.057302470801421486,8,4,143,60,0.08591021016051335
0.04312055521324248,10,2,283,57,0.1886821980343511
0.09457771677751305,8,2,151,142,0.16767846950448242
0.038556945774250805,4,8,173,143,0.12271162703706245
0.03412069112321267,8,6,242,55,0.16580349491506094
0.03491476803938859,8,6,116,81,0.1867339085635835
0.043631296347836294,6,4,214,103,0.08343690629755442
0.051378199995882584,8,4,224,93,0.19487098158591123
0.036056537315611044,8,2,144,53,0.035137269549584245
0.05318718551276583,6,8,213,103,0.13087378270303604
0.04050295917423902,4,10,139,133,0.19209561284409152
0.04582599914818751,6,4,152,113,0.03644090676544124
0.04262623792135979,6,2,168,84,0.09356797595047181
0.13877740241867348,8,10,203,84,0.011783508042684425
0.04361745911682373,2,8,102,86,0.0013678324678758102
0.06215015962533864,6,4,224,86,0.0028409055524732264
0.09731348548122072,6,4,206,126,0.10439329141224209
0.07310550372431446,6,2,182,117,0.18489354469182995
0.1551168160210588,6,4,229,145,0.04296237540775536
0.042848285146017635,10,6,252,97,0.11894168054232757
0.048175982244264864,4,2,206,124,0.003653843364938052
0.038828248991510945,8,6,254,51,0.1776041492918369
0.03726226445762372,8,6,100,85,0.2
0.05510691564549332,8,6,244,55,0.1366070589285678
0.051018040788651776,8,4,100,84,0.2
0.04315662155494695,8,2,211,48,0.17921250431929261
0.05736811841690453,6,10,182,150,0.13635689388448335
0.04727260287142611,8,6,100,83,0.17905287688087992
0.037898651893879184,4,8,163,133,0.13566709159036136
0.03627543554156576,4,8,163,136,0.11801972933165898
0.06801665633779633,4,8,162,136,0.1354780180120502
0.0529741839992892,8,4,285,44,0.1818403865477299
0.048969871316419944,10,2,275,85,0.19322792697515573
0.0470465931663608,4,10,208,140,0.019393662927803073
0.040936412293487275,4,8,166,109,0.023994321528688883
0.03624591341393983,4,6,224,95,0.06177929013230562
0.03324817397401117,6,6,121,106,0.1962284836851403
0.03553084528458799,4,6,296,46,0.2
0.04448040791661882,6,6,119,107,0.16854315631214345
0.15429061218317908,10,2,146,49,0.01672714363825624
0.03567432586077686,10,6,300,73,0.13581353362608398
0.04774865217852169,10,6,300,73,0.10782420139438774
0.033617996946299605,4,8,291,69,0.1892055406373017
0.04383672034012152,4,8,296,63,0.14975195772737948
0.039395264890394605,4,8,265,87,0.2
0.04436506837565069,4,6,300,82,0.18687849781570365
0.060474945616545844,8,8,148,62,0.2
0.06809189112006171,10,8,299,66,0.2
0.04064853210883136,4,8,211,84,0.1955570353741784
0.030563168608134038,4,10,250,58,0.2
0.03127193186760495,4,10,250,57,0.14840989916995226
0.04587918353698983,4,10,250,56,0.2
0.14459786902831584,4,10,244,68,0.020590887769187587
0.06925991074160212,4,6,188,110,0.06356598394868096
0.04407109226816535,4,2,256,78,0.03619219349905746
0.05192369641773173,4,8,288,60,0.1914358676616731
0.06368286489568066,4,10,273,71,0.1916226549029525
0.03914870264925635,4,10,220,40,0.185967345811938
0.047927022497098716,4,10,215,48,0.1815547511093126
0.03946166289575261,6,4,148,95,0.10422447194084909
0.04168330653812189,10,6,300,84,0.11950220972528545
0.048767756774205084,6,6,228,103,0.2
0.03600565881716474,6,4,100,96,0.09228985680323074
0.0467194284624316,6,4,100,96,0.09111099217697152
0.03831816556728415,4,10,143,150,0.1189331652854978
0.04776026577816038,4,10,124,150,0.11352151617875887
0.05161409098324266,8,2,274,40,0.05553144849689235
0.032525324915246935,2,10,267,102,0.15147844921596082
0.032968087565515516,2,10,262,102,0.14366071110254383
0.03509387555630994,2,10,290,102,0.1441647370650783
0.04814073776011809,2,10,247,102,0.14642702491010512
0.03307224381531645,2,10,284,120,0.18549213746545481
0.03155231888329704,2,10,277,123,0.19341890462721903
0.03179103291992536,2,10,295,125,0.2
0.030686538319660034,2,10,259,125,0.2
0.031869131072165,2,10,300,124,0.19945483287479338
0.04657590447366954,2,10,300,124,0.2
0.04939474998943604,2,10,107,128,0.1353931180649468
0.039000648644590435,2,10,300,110,0.2
0.04840810599708478,2,6,300,119,0.2
0.0435399439381647,2,10,300,121,0.2
0.04491360696923691,2,10,300,66,0.2
0.044448577800921915,2,10,233,125,0.2
0.04165051040025371,2,10,300,118,0.1971905833306149
0.04559432727304984,2,10,300,83,0.0979391732873338
0.050088778402879605,2,2,222,40,0.2
0.035857754248706526,2,10,300,106,0.1666340869302102
0.034718073831576574,2,10,300,106,0.1680060503413428
0.03205195025071774,2,10,300,106,0.1695590621388037
0.02720695995632114,2,10,300,106,0.17211097070993506
0.05105371705023928,2,10,215,113,0.2
0.039833042252752277,2,10,300,141,0.2
0.04473007333996255,2,10,300,104,0.16346339110355834
0.03984415668112539,4,8,300,40,0.2
0.03974612496648663,2,10,300,131,0.2
0.04640763701077488,2,10,300,132,0.2
0.052402375560733266,4,8,212,40,0.2
0.028652274444001237,2,10,300,127,0.2
0.053268389117969925,2,10,300,127,0.2
0.04442205558233424,2,10,300,107,0.1622807777058344
0.04349517051880297,2,2,175,150,0.0001
0.056479660690222616,2,10,300,129,0.2
0.03020336649620069,2,10,294,124,0.2
0.04817757250225303,2,10,238,123,0.2
0.042729377510341365,2,2,271,100,0.0001
0.03822262570070058,2,2,300,40,0.0001
0.04794907196480622,2,10,295,123,0.2
0.04151685327008832,2,10,300,104,0.1647654196412408
0.04558550864070378,4,10,295,150,0.2
0.04545444934626829,4,2,155,150,0.0001
0.043170796739144146,4,2,300,150,0.0001
0.04398640990591518,2,2,300,150,0.2
0.041455859938324166,10,10,255,88,0.0001
0.049483043235123474,2,10,300,40,0.0001
0.04497950585703455,4,6,111,66,0.2
0.045491517224724484,2,10,300,121,0.2
0.04805018734577184,2,10,300,105,0.1625167091686965
0.045013448771002024,2,2,131,40,0.0001
0.042501946363573045,4,2,239,81,0.0001
0.04064118708125349,2,2,275,40,0.0001
0.040433874663235767,2,2,206,40,0.0001
0.044265453917483454,4,2,282,150,0.0001
0.049007025993574205,8,10,244,150,0.2
0.04306627674153043,4,2,300,72,0.0001
0.0817075719961138,10,8,146,88,0.06414423827540121
36.8477896636694,10,4,300,79,0.15409394875594465
0.044389797418077456,2,4,284,141,0.018301424453380174
0.04612679006531107,2,4,113,45,0.18310865955710529
0.03847915962897963,2,8,282,148,0.18625114291978748
0.063251693348178,8,8,297,121,0.007281508952290339
0.045809220268804074,10,10,112,143,0.18824724059182577
0.07147050956404596,4,4,114,146,0.0015561105155737069
0.03925067308247877,6,10,298,44,0.018140314623956398
0.03215139736557179,4,4,298,134,0.17913994949338602
0.041105653982985095,6,8,105,148,0.0020434591952421936
0.051083079448625196,10,10,290,52,0.19832715477143328
0.08524793507171366,8,8,101,145,0.010415230523102753
0.061403183309494645,6,2,295,130,0.008934412799620414
0.048754160870313784,2,6,273,42,0.0010598378428160206
0.046207865940315666,6,8,298,42,0.00024077999862712565
0.05905911473856966,4,2,256,149,0.19958322329639094
0.04124942643572345,10,6,100,44,0.19051941369947134
0.04028351860406404,6,8,100,46,0.19275900349872932
0.08746888028323674,10,8,289,47,0.007562831555338907
0.053854990976264575,8,10,102,51,0.1707757405865911
0.17844987266899098,8,4,299,149,0.006786805185601423
0.05731702151056192,6,10,287,42,0.19455912610245935
0.03715346488504818,2,4,292,140,0.19851833010402856
0.04350023073947342,2,8,299,48,0.0009230616647581449
0.10791900462926374,8,6,103,41,0.011830144316517532
0.10055790407412388,10,10,101,41,0.06052840556919109
0.09882228646588335,10,2,280,145,0.008554456607794301
0.06152079231176284,8,8,113,42,0.006518413006961869
0.06055899486801132,6,6,102,43,0.0074588031665958985
0.03736314836656955,2,4,100,149,0.17975700456139707
0.0718989317327656,10,2,107,150,0.15113314194677496
0.05374637401130758,10,6,111,150,0.19064149235741903
0.09588738522354179,6,6,132,148,0.017072728541021466
0.03639180240308024,6,4,278,46,0.1917006733180107
0.08071045763703964,6,2,116,137,0.009128451560533346
0.03283371683292772,10,8,100,45,0.1839477399765476
0.1272982264033609,8,6,298,146,0.02786540782640602
0.03288477661712869,4,6,115,41,0.023091727886246822
0.033995863668114405,2,8,103,43,0.19492083160977083
0.07429139703570362,8,2,299,131,0.026937842772605074
0.05130137976439167,2,6,101,44,0.19493500789501608
0.047656604726858204,4,2,101,54,0.17877089460152115
0.07901847267018669,6,10,291,150,0.005012296093336253
0.037736181496400505,4,4,105,56,0.19544047838710898
0.04153214786132538,4,8,299,150,0.009471340299141644
0.07069507788625354,6,2,102,41,0.003286853434833532
0.0348836469673573,4,8,111,49,0.012982695810913698
0.05708450141891218,10,6,111,141,0.01008392189552387
0.05626522583167527,2,4,102,41,0.008926116093763085
0.030591944749073535,4,6,120,144,0.1949559791005934
0.04684300273835089,2,10,105,41,0.17598591033615527
0.06293821634590663,10,10,291,149,0.06031383320988901
0.056977718292286705,8,10,100,145,0.011162892928789072
0.04904254192091771,8,8,299,147,0.19626983607403972
0.03863271773754358,6,10,104,45,0.012618843300109896
0.050452151887489485,2,8,101,147,0.018207404852030172
0.0779269536063871,6,6,299,42,0.05489224893391246
0.032870688862321334,2,4,296,50,0.18477632242978678
0.04267634829338316,8,2,106,45,0.0021521845655305184
0.038822187213593144,6,2,300,44,0.008634415637262268
0.041804113487395975,2,10,126,146,0.005164436551365644
0.040577282612132996,6,4,112,41,0.0073857839557611195
32.32261847223285,8,8,299,40,0.19498605588079976
0.04518472549343632,8,8,100,74,0.0001
0.051373211102847385,8,8,100,81,0.2
0.04411036890150105,8,8,100,57,0.0001
0.07634617971043374,8,8,100,70,0.18987525367154032
0.047438413143108954,8,8,212,103,0.2
0.04433458209517864,6,4,254,66,0.0001
0.044820978875291205,4,4,257,101,0.013024725524155225
0.04028137608762264,4,4,120,104,0.19762234099752612
0.03915441142046322,6,4,177,85,0.01487157001857896
0.0456787830639577,2,4,131,92,0.0001
0.047173200676383406,8,2,156,95,0.2
0.045600450747436565,2,2,263,71,0.11033081118146496
0.03443984423574439,2,8,115,71,0.2
0.058111515359081475,8,10,126,119,0.2
0.04508088039026914,2,8,241,114,0.18476833683620233
0.044898606111407016,2,6,276,98,0.044024380508174955
0.050292926363316,10,10,124,107,0.2
0.083746777889246,6,8,225,72,0.04683861352172884
0.04111633874493589,10,2,116,117,0.2
0.043620117001831354,2,10,247,83,0.17123961677735122
0.04585371066264991,2,10,300,85,0.08456162794613313
0.04578427135378739,2,6,229,82,0.2
0.08628054711995627,4,6,179,69,0.02237498608309463
0.052407286513159665,8,6,235,108,0.2
0.049606356697506356,4,6,182,107,0.2
0.04043996104635176,2,6,239,89,0.11917391719799462
0.0443467150246635,2,6,131,86,0.11971387604776555
0.04488552440584474,2,6,219,83,0.12612769814222993
0.04604355694157489,2,6,300,89,0.12699393405564488
0.03040510834818795,2,6,279,69,0.1596356625513087
0.044535633550046715,2,2,251,118,0.18426362226408866
0.04508439079221802,2,6,287,72,0.1973805441745977
0.032345743086747696,8,4,137,65,0.11883507543119337
0.05472383812016261,2,6,191,76,0.12122905651087335
0.04454352685923805,2,6,126,70,0.1025846622554061
0.0672558687911144,8,4,191,67,0.07940711243853164
0.04455218729879541,2,6,300,71,0.09205068051341965
0.044201398021728844,2,6,108,73,0.12747972247018627
0.04282651166327478,2,6,278,75,0.08361258687856866
0.0539434017571595,2,6,245,82,0.11769606393340122
0.038108095900509315,8,10,161,130,0.13777232253258556
0.043814589793854754,2,6,113,66,0.1806036312339558
0.056735412500657986,2,6,126,74,0.06896658222887574
0.04324193360008349,2,6,256,93,0.0001
0.04243921554289552,2,6,216,119,0.09103674289611377
0.060773891149372206,6,10,276,122,0.02009274273128976
0.05988739876499381,6,10,230,69,0.09592556245166174
0.048049593097019436,2,6,194,116,0.13690333378198916
0.042224612262947187,6,10,216,64,0.0657394614798417
0.04064718008292197,2,6,300,66,0.0001
0.05667442646091536,8,4,104,66,0.2
0.04591620236576349,2,6,300,68,0.06601417139836456
0.06390913150592827,8,10,224,131,0.15808163787868776
0.03974508945452807,2,6,300,67,0.059105992919726486
0.040306933513030524,4,6,300,86,0.19759342011079017
0.03882411573903002,4,4,196,91,0.12460531765092775
0.03926043240036103,8,10,252,121,0.0001
0.04782280872499242,2,6,300,70,0.09577100084555874
0.16551514527403774,6,10,172,66,0.032944536428580404
0.04271139198200417,2,6,284,69,0.11329346167067399
0.04691430058645015,2,6,125,111,0.08976987138614337
0.039621244162448145,6,10,172,120,0.2
0.042097772684643875,2,6,262,111,0.08539771868330681
0.03887131231890826,4,10,147,40,0.0742651541281538
0.04544061067331488,4,10,132,115,0.0001
0.04541427978043312,2,6,285,112,0.03575299250883132
0.04770653707282426,2,6,300,124,0.10905789409991787
0.044090151164394936,4,4,202,100,0.11200193095201637
0.049453054700414945,6,4,112,55,0.10318499569037465
0.03450722644204241,6,4,222,55,0.10138684992852326
0.04782577752312634,8,4,151,40,0.11236935283939462
0.041998897755787204,8,8,221,93,0.0001
0.0508057453860884,8,4,271,42,0.10804023086029221
0.07193888867913127,8,4,218,40,0.12002930410260401
0.04361468639257806,8,4,100,66,0.2
0.03774505700213182,6,4,112,133,0.19407255157892542
0.03279483400086009,6,4,113,144,0.2
0.03266766852318423,6,4,117,150,0.2
0.03679467560773879,6,4,167,139,0.2
0.04724872540599071,6,4,109,140,0.2
0.03757260750346824,6,4,166,131,0.2
0.036661396256156095,4,4,125,100,0.017991005323988996
0.051917219037999764,8,4,100,68,0.2
0.03459942647406766,8,4,100,74,0.2
0.0592442227470448,8,4,100,93,0.2
0.03828954406009282,4,4,141,87,0.1925328254540865
0.03478271391688697,4,4,240,81,0.07352374092092136
0.03654866072689443,4,4,290,88,0.19999871232181465
0.045582812532156576,6,6,300,150,0.2
0.04238232702772695,8,8,230,150,0.0001
0.042302440978605374,4,4,233,87,0.2
0.026206163423301176,8,4,242,108,0.0933105333644251
0.05428822791784903,6,6,100,116,0.2
0.04655203353401909,2,4,168,88,0.2
0.042300801788921975,6,2,277,75,0.0001
0.04103985822712401,4,6,259,87,0.19917031866946705
0.04687371396543779,10,10,300,91,0.14988871778770438
0.04544702696241802,4,6,186,96,0.16493370957118728
0.0348340094268819,4,2,281,101,0.07968792378577567
0.039923303177808754,4,2,300,101,0.00014670873534974605
0.03982540292785891,4,6,300,84,0.2
0.0391713739498137,10,2,118,97,0.2
0.03667644510246457,4,2,134,101,0.09348059428772275
0.07425457812165474,8,8,189,43,0.03136954830336823
0.05020880758894111,4,10,200,44,0.18335438955109035
0.036854293058367314,6,4,246,107,0.051296223539356055
0.04757287572809253,8,8,128,66,0.15266650709179688
0.06903929330675321,4,8,112,146,0.11775070453840981
0.045036751265440746,2,4,172,145,0.18752796310840214
0.05827170349243902,4,10,299,136,0.07079021768599117
0.04302255100009661,4,10,262,52,0.1296943586590791
0.04917834189964697,4,8,300,45,0.09876768071571242
0.043067539949910735,6,4,300,51,0.11019467884174591
0.057397629031104555,6,2,204,79,0.05075837904017963
0.09334280278324714,8,8,244,78,0.044302226766256954
0.06749087597473902,8,4,300,43,0.18983477410926383
0.04463380077357507,8,4,248,88,0.09936192885985014
0.05314017160183729,2,10,187,137,0.05157699152052099
0.04559207096382832,10,6,104,146,0.03652377576834485
0.045757040531844685,10,2,236,53,0.06324498855720934
0.05832459324401923,4,4,135,95,0.09358377208919334
0.03704150579091656,6,6,180,112,0.0837246450419615
0.034853507213516995,6,2,196,48,0.06638856175969225
0.07207156207023718,8,4,112,78,0.1001081605978631
0.2561861919326295,8,8,208,97,0.013004172491244345
0.053542180156271456,4,6,279,91,0.18887591376660215
0.03855441040345098,4,8,122,140,0.028836000229334326
0.07505941597418098,8,4,298,105,0.12433691558006803
0.04155276388099366,4,6,140,147,0.185817754942053
0.06408616867164618,4,10,100,146,0.003944827143116744
0.043434720745781294,4,4,233,137,0.11906546418959416
0.033468574880588506,4,4,211,141,0.08404720841459212
0.04102042397336708,8,6,108,47,0.19919827064127407
