Time:,3:07:56.000411
MSE,H1,H2
0.04345522364025086,2,2
0,2,2
0,2,2
0,2,2
0.05179599252333813,2,4
0,2,4
0,2,4
0,2,4
0.042127634980980586,2,6
0,2,6
0,2,6
0,2,6
0.04408041137943937,2,8
0,2,8
0,2,8
0,2,8
0.058608712857698635,2,10
0,2,10
0,2,10
0,2,10
0.06996494369270935,2,12
0,2,12
0,2,12
0,2,12
0,2,2
0,2,2
0,2,2
0,2,2
0,2,4
0,2,4
0,2,4
0,2,4
0,2,6
0,2,6
0,2,6
0,2,6
0,2,8
0,2,8
0,2,8
0,2,8
0,2,10
0,2,10
0,2,10
0,2,10
0,2,12
0,2,12
0,2,12
0,2,12
0,2,2
0,2,2
0,2,2
0,2,2
0,2,4
0,2,4
0,2,4
0,2,4
0,2,6
0,2,6
0,2,6
0,2,6
0,2,8
0,2,8
0,2,8
0,2,8
0,2,10
0,2,10
0,2,10
0,2,10
0,2,12
0,2,12
0,2,12
0,2,12
0,2,2
0,2,2
0,2,2
0,2,2
0,2,4
0,2,4
0,2,4
0,2,4
0,2,6
0,2,6
0,2,6
0,2,6
0,2,8
0,2,8
0,2,8
0,2,8
0,2,10
0,2,10
0,2,10
0,2,10
0,2,12
0,2,12
0,2,12
0,2,12
0.04057557182196556,4,2
0,4,2
0,4,2
0,4,2
0.14122355173116452,4,4
0,4,4
0,4,4
0,4,4
0.036086664158388,4,6
0,4,6
0,4,6
0,4,6
0.05115666200814018,4,8
0,4,8
0,4,8
0,4,8
0.043251751375412505,4,10
0,4,10
0,4,10
0,4,10
0.0463837151173225,4,12
0,4,12
0,4,12
0,4,12
0,4,2
0,4,2
0,4,2
0,4,2
0,4,4
0,4,4
0,4,4
0,4,4
0,4,6
0,4,6
0,4,6
0,4,6
0,4,8
0,4,8
0,4,8
0,4,8
0,4,10
0,4,10
0,4,10
0,4,10
0,4,12
0,4,12
0,4,12
0,4,12
0,4,2
0,4,2
0,4,2
0,4,2
0,4,4
0,4,4
0,4,4
0,4,4
0,4,6
0,4,6
0,4,6
0,4,6
0,4,8
0,4,8
0,4,8
0,4,8
0,4,10
0,4,10
0,4,10
0,4,10
0,4,12
0,4,12
0,4,12
0,4,12
0,4,2
0,4,2
0,4,2
0,4,2
0,4,4
0,4,4
0,4,4
0,4,4
0,4,6
0,4,6
0,4,6
0,4,6
0,4,8
0,4,8
0,4,8
0,4,8
0,4,10
0,4,10
0,4,10
0,4,10
0,4,12
0,4,12
0,4,12
0,4,12
0.09311869641086565,6,2
0,6,2
0,6,2
0,6,2
0.09219174636003595,6,4
0,6,4
0,6,4
0,6,4
0.08823189023683195,6,6
0,6,6
0,6,6
0,6,6
0.046368048407378244,6,8
0,6,8
0,6,8
0,6,8
0.14300153739473007,6,10
0,6,10
0,6,10
0,6,10
0.0716271784016485,6,12
0,6,12
0,6,12
0,6,12
0,6,2
0,6,2
0,6,2
0,6,2
0,6,4
0,6,4
0,6,4
0,6,4
0,6,6
0,6,6
0,6,6
0,6,6
0,6,8
0,6,8
0,6,8
0,6,8
0,6,10
0,6,10
0,6,10
0,6,10
0,6,12
0,6,12
0,6,12
0,6,12
0,6,2
0,6,2
0,6,2
0,6,2
0,6,4
0,6,4
0,6,4
0,6,4
0,6,6
0,6,6
0,6,6
0,6,6
0,6,8
0,6,8
0,6,8
0,6,8
0,6,10
0,6,10
0,6,10
0,6,10
0,6,12
0,6,12
0,6,12
0,6,12
0,6,2
0,6,2
0,6,2
0,6,2
0,6,4
0,6,4
0,6,4
0,6,4
0,6,6
0,6,6
0,6,6
0,6,6
0,6,8
0,6,8
0,6,8
0,6,8
0,6,10
0,6,10
0,6,10
0,6,10
0,6,12
0,6,12
0,6,12
0,6,12
0.08101857127642585,8,2
0,8,2
0,8,2
0,8,2
0.06226669463565555,8,4
0,8,4
0,8,4
0,8,4
0.08711238014702156,8,6
0,8,6
0,8,6
0,8,6
0.1939207439670903,8,8
0,8,8
0,8,8
0,8,8
0.11839166192633191,8,10
0,8,10
0,8,10
0,8,10
0.5091872632967405,8,12
0,8,12
0,8,12
0,8,12
0,8,2
0,8,2
0,8,2
0,8,2
0,8,4
0,8,4
0,8,4
0,8,4
0,8,6
0,8,6
0,8,6
0,8,6
0,8,8
0,8,8
0,8,8
0,8,8
0,8,10
0,8,10
0,8,10
0,8,10
0,8,12
0,8,12
0,8,12
0,8,12
0,8,2
0,8,2
0,8,2
0,8,2
0,8,4
0,8,4
0,8,4
0,8,4
0,8,6
0,8,6
0,8,6
0,8,6
0,8,8
0,8,8
0,8,8
0,8,8
0,8,10
0,8,10
0,8,10
0,8,10
0,8,12
0,8,12
0,8,12
0,8,12
0,8,2
0,8,2
0,8,2
0,8,2
0,8,4
0,8,4
0,8,4
0,8,4
0,8,6
0,8,6
0,8,6
0,8,6
0,8,8
0,8,8
0,8,8
0,8,8
0,8,10
0,8,10
0,8,10
0,8,10
0,8,12
0,8,12
