Time:,5:02:30.598492
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.042622606203758316,8,10,373,153,0.154294847780594
7.618521273425885,4,4,155,31,0.1603942482892504
0.07815265275672492,10,10,283,121,0.10024892559213942
0.04059144805921659,2,4,384,247,0.019740561916553354
0.03549428516222436,6,2,252,77,0.004526568329245149
0.03350876594402473,6,8,232,140,0.12311769606885542
0.031265419736393706,8,2,4,259,0.1866347063863061
0.050144676594233585,4,8,372,108,0.15776715557385507
0.06594178221033788,8,10,108,82,0.008207174138270226
0.05344821144432162,10,2,397,198,0.07535679855820941
0.05101264733196191,4,10,90,85,0.012055863633692397
0.04665240035177219,4,2,237,87,0.1950628146626704
0.0625084387699646,8,4,19,86,0.06600072227962094
0.07297397033716693,10,8,390,239,0.001452135991801558
0.07249830936231032,10,6,11,285,0.07660386941182967
0.040782996588834164,4,8,335,152,0.07514344653987103
0.06665049595343439,10,4,257,122,0.12390111502099424
0.045716078748912946,6,4,371,278,0.17726356928818496
0.03731965455960028,4,6,373,115,0.1460381762058216
0.039976308568103254,8,10,202,276,0.18962983191585978
0.0587192985946214,10,8,321,151,0.1412289132598465
0.04569832628790574,2,10,242,234,0.12678178121330075
0.03848973470762705,6,2,108,131,0.11372508208791333
0.05931937038324847,8,6,314,293,0.10056165672017185
0.04591308083838036,4,6,3,213,0.13391740644060232
0.03977584326747194,10,4,209,9,0.11159638960264717
0.04634571017798302,10,2,62,127,0.022901733178658235
0.036940896020615795,4,4,212,156,0.13818611224380545
0.05046796827348234,8,10,85,29,0.050597889433801405
0.04630231091499537,4,6,57,13,0.09146104548539852
0.05081469663271015,2,4,238,278,0.08380308904201847
0.06806180081161534,8,4,40,296,0.12521402858449007
0.038273699303193465,8,6,88,39,0.19487098158591123
0.10072525335018474,4,4,304,148,0.044282367263567525
0.04279586220975063,8,6,283,108,0.13158805921487932
0.03505458508391385,2,4,218,284,0.13087378270303604
0.2063090955917602,8,10,363,260,0.0394344186383377
0.04801889067183822,2,2,49,106,0.05225859835111699
0.03657379961656417,8,4,317,84,0.07542230786341894
0.048169441292253354,4,10,179,107,0.04043096292135038
0.04656083648302457,10,8,128,89,0.08078194997395663
0.062403350549299574,10,8,381,73,0.08363426382508601
0.04433700158719649,2,4,228,265,0.17429750868423477
0.05147417514659844,2,10,274,2,0.15656884483587774
0.05918614741898637,8,10,115,143,0.08170895495450636
0.04513875777480996,8,4,158,10,0.07271162806270028
0.04900031954759204,2,6,274,32,0.06894895232738836
0.030872585910276498,6,8,54,54,0.016538271962185023
0.05877783742295711,6,2,273,247,0.0036538433649380515
0.051363579847115357,4,10,303,216,0.14498551162517756
0.0456089743412022,6,2,4,47,0.16972698414700604
0.10132095335960487,6,4,132,19,0.18525748203040332
0.054183422404163656,4,4,217,43,0.15774536322305155
0.044773184393223205,4,2,206,34,0.15014835196727272
0.038565505951270194,4,2,142,45,0.15931033774162667
0.05853900506685393,4,2,107,31,0.1622504690100773
0.04522303237857131,4,4,158,44,0.15836466128050317
0.04522593900865494,4,4,159,8,0.1437011372728303
0.03725983965996653,2,4,171,29,0.1928318381747516
0.04280056942250579,2,4,19,32,0.16599716229462508
0.07240330826679749,4,8,161,16,0.1631412679525077
0.043940376862721654,4,4,139,25,0.1634091301217394
0.04053416256798868,4,4,154,33,0.1374017141561636
0.04418484609326376,4,4,158,20,0.15856441245853442
0.04647072978916785,4,4,349,29,0.15853163086654365
0.050752997609456826,4,4,165,33,0.17023186766211498
0.07861480905266632,6,2,159,30,0.16088383851241767
0.03967122608985325,4,6,150,30,0.16093572354339547
0.03088540048130778,4,4,161,29,0.1895834425159913
0.051562132426989274,2,4,130,32,0.15590103820071513
0.03519111723830071,4,4,185,31,0.1645786436833411
0.0418746710763601,4,4,38,33,0.1631833024305531
0.0680818508171966,6,6,155,31,0.15470130359191833
0.0972895358937489,6,4,130,30,0.16076994531475197
0.045599110440974644,4,4,137,28,0.14965227137347611
0.03601191325472187,4,2,153,22,0.15791348772219074
0.05125059238462763,4,4,138,26,0.15966349849599085
0.06632707175641683,4,4,154,12,0.15854184677292127
0.06751896740448508,4,4,158,102,0.16117693272836958
0.04041031734966332,4,4,217,31,0.054206054941157315
0.042978701348328346,4,8,158,35,0.1596763830066851
0.037251420177927985,4,4,150,32,0.15147473121177646
0.03903115746013002,4,4,161,83,0.16015499744762562
0.06217007971952458,10,4,146,40,0.16170095855592193
0.03553506344559876,4,4,158,258,0.16043695019555282
0.06662986464936396,10,4,134,31,0.16040424569384887
0.037950655322955926,2,4,163,28,0.16288711103324197
0.042873405594281114,4,6,148,31,0.15952900810183357
0.043780236352010636,4,4,386,37,0.16162503494094724
0.046453762454345945,4,4,255,31,0.16497253379719515
0.03878606912315785,4,4,177,31,0.13640337858142654
0.08321174637791104,4,4,185,16,0.16181379763919845
0.04950146866839862,4,4,161,29,0.1654243830679637
0.04276506753304111,4,2,151,30,0.15985255606953166
0.0388513655483872,6,4,155,54,0.17078248453897224
0.035681082329500784,6,4,156,30,0.17086996205503688
0.04481609691377411,4,4,46,31,0.18547359751373038
0.07380833248246896,4,2,155,49,0.16099932464095745
0.04886491660190449,4,4,153,110,0.16172116449431118
0.048313669704495285,2,4,155,31,0.15086551062151618
0.05055437918154723,4,4,155,5,0.18848270528995756
0.057408226958543127,4,4,127,4,0.16036713271214925
0.04657426898941695,4,4,156,213,0.16367238741459955
0.06875965691999295,4,4,135,31,0.15483229942219326
0.04365399437250012,4,4,360,35,0.16035495327991445
0.03550144462981512,4,4,156,57,0.16320024353517032
0.047028132104287884,4,4,156,49,0.1573894203305468
0.0432323044794502,4,2,176,2,0.16060939859623516
0.045225120000121105,4,6,155,30,0.020630708839554538
0.05448673214087524,4,4,172,31,0.16978388236237507
0.04739320485310422,4,4,155,31,0.011503697101243245
0.05978653435954316,4,4,41,18,0.16184469567164944
0.06866950067101055,4,4,160,31,0.049151522553547516
0.04232344528097458,4,4,155,154,0.16047600030053197
0.04740527873402773,8,4,258,31,0.16007492139864643
0.043377613718663645,4,4,146,32,0.1652229255909266
0.052164227767006084,4,4,173,36,0.16031878162141472
0.04147483044047496,4,4,153,25,0.16718375178476205
0.041948096173231905,10,4,164,7,0.16043445767527312
0.04769595304151178,2,4,153,45,0.1620896358711135
0.0241052635265388,4,4,388,32,0.16034341181418102
0.062066032172181124,4,2,154,31,0.05371823797090316
0.057966979730632334,4,6,182,15,0.16052754758962579
0.03941169588432914,4,4,147,31,0.13377762319458303
0.055708996183672754,4,4,40,39,0.16050106618270188
0.03451063886963891,4,2,150,31,0.17675942793179258
0.04467752761257307,2,4,154,106,0.1604330824685798
0.04079115319279248,4,8,153,32,0.15623298795307
0.032931739882937384,4,4,147,21,0.16087602423629452
0.040820524852195804,4,4,129,37,0.16126661927640396
0.05031836613693002,10,10,157,31,0.1597472441855347
0.05036175447393436,2,4,155,18,0.16810732431557834
0.03570622495651961,4,4,156,28,0.04428950708013867
0.04583467021059519,2,2,155,80,0.16057151019075674
0.05487957384998279,4,4,146,27,0.16159809329205083
0.05665599728422992,4,4,164,4,0.16003009926526865
0.03568382967598227,4,6,115,31,0.15918765886349118
0.03481143301697059,8,4,155,41,0.15779385394057027
0.06077428073748448,4,10,154,34,0.18680689127907896
0.04390932618572486,4,4,146,31,0.14381289361825725
0.05458647866990949,4,4,157,34,0.17099412259707272
0.036985950865766434,2,4,16,25,0.16032272429087743
0.054575769312544,4,4,131,31,0.173592924742105
0.04149420372498802,4,4,170,28,0.15198231012795235
0.03832301119113533,4,4,156,27,0.110288599756021
0.03977095222117943,4,4,140,60,0.16101226687434897
0.045467936514648116,2,4,189,22,0.16050107993112958
0.0341763621387191,4,10,133,30,0.16023305239534408
0.03582954981605964,4,4,17,32,0.15995404101764074
0.04492565066201328,4,2,170,32,0.15808424740906662
0.051428752481213695,4,4,229,32,0.1592749110247813
0.0408435065479786,8,4,151,31,0.17707287943198186
0.05441005503450101,2,8,156,31,0.16742072240160835
0.06379487157695303,8,4,168,28,0.16038123248115788
0.042069054750700684,6,4,154,2,0.16285317589369472
0.058710442176199897,4,4,155,41,0.19169701375664364
0.047533909438264306,4,4,115,31,0.15185554056871728
0.04211921778370739,4,4,6,60,0.16017076378969872
0.03959133177141463,4,4,155,32,0.18548985014778277
0.04710465243885382,4,4,302,31,0.16097469734350725
0.0406062981469321,6,4,149,62,0.1601238953456055
0.041569421400371724,4,2,155,30,0.08616519744047779
0.035793807965259286,4,4,372,31,0.1566456527384379
0.07037227188882987,8,8,155,37,0.1588557220760786
0.05422530183025712,4,4,156,137,0.15902075300752724
0.08620778526058462,4,4,136,43,0.16011986369086423
0.03263237393642414,2,2,155,23,0.1568578016404244
0.09503651905085014,10,4,205,31,0.16302258899847258
0.036312204663887626,4,4,163,40,0.1613013798058282
0.04740730458854982,4,4,147,4,0.1604710917313422
0.047320753223892516,4,4,148,31,0.1483252097422424
0.03474802148256549,4,4,188,29,0.15900597498899546
0.050468003648216714,2,4,143,31,0.15598832126370155
0.03597516691454455,8,4,159,31,0.15775688805140942
0.051949798750276194,4,4,176,37,0.1641687942647204
0.045257942232479934,4,2,155,43,0.15656648686401792
0.07543817940739822,4,10,155,41,0.11389790106226355
0.042549815319248674,2,6,149,31,0.1641143610810993
0.03974034343916274,4,2,239,20,0.16047915546531735
0.03176287524883435,4,10,155,288,0.15964998410870956
0.05571172955454675,4,4,79,30,0.16303776146555315
0.03660259679767007,4,4,155,19,0.05673732456344919
0.030934727433485132,4,4,204,42,0.1607083253808225
0.038355842524898126,4,4,40,28,0.16102457978560225
0.04486023764047698,4,10,155,29,0.196230906752268
0.044213572780147065,4,4,167,31,0.14144705997064574
0.051853025986313334,6,4,159,2,0.1609442076411288
0.04976706104762498,4,4,83,36,0.1606754550796252
0.056066403782419214,2,4,140,32,0.16024769577775197
0.03850228877071895,4,4,151,60,0.1582656214274213
0.03240777719488819,4,8,148,291,0.16019907137235304
0.04712388143945808,2,6,63,34,0.16022126834507716
0.05985982608652145,4,4,154,16,0.16365329257000646
0.02747625848402565,10,4,155,35,0.16245735761953453
0.030612490471835542,4,4,155,295,0.15131688448744576
0.048356160377809966,2,4,174,31,0.15978226698511924
0.03700004279759789,4,4,149,27,0.16208729023739438
0.04757304036438631,2,4,161,23,0.1595126439925744
0.06128665970644337,2,8,158,31,0.16117357324033882
0.029797473023163323,4,4,155,82,0.14093762676738159
0.06788302920511624,4,4,160,6,0.16082159395358303
0.039857186801094596,8,4,155,7,0.1541370221586969
0.045831996803053436,4,4,155,24,0.10106365260144769
0.039486501424681485,4,4,86,31,0.16948256450728658
0.04907290814645664,4,4,152,17,0.15938374187617144
0.037615934121031286,4,10,158,32,0.1608172879978937
0.046758821925169496,2,4,24,31,0.16058531623621786
0.04558384193143536,4,4,159,30,0.18210336235049152
0.036330066230840646,4,4,155,26,0.14333859332850482
0.06817575892424123,4,8,155,12,0.16022275513738682
0.038974027707358326,10,4,152,29,0.1563767016704145
0.04983733976085302,4,4,202,33,0.16154536113453885
0.051486540155198365,4,4,154,24,0.1604713293348765
0.027365705060050406,6,4,77,30,0.16008376571759156
0.04487918840766589,2,4,153,41,0.15958722573924522
0.03460536350851661,4,4,187,31,0.17213950853712998
0.09790969889160218,4,2,155,44,0.14407882900352556
0.036025413799327805,4,4,156,56,0.1885490214629413
0.03506594808264442,4,4,89,31,0.17054053774132624
0.04885044570025271,4,4,155,85,0.15940651742649714
0.04423710316852143,4,4,149,32,0.16899519962221707
0.04897462894190364,4,4,154,234,0.16102656421139933
0.04324335177559279,4,4,155,72,0.1433924768280189
0.03615992169116088,6,6,161,31,0.15848042341563912
0.055225375296298604,4,2,159,38,0.16526463926405346
0.039896568245320584,4,4,148,28,0.16597542631347562
0.05815345710834842,6,4,155,44,0.1818191275703093
0.0928056054460803,4,4,160,31,0.14221782851883433
0.03803275958077927,4,10,153,31,0.11424109694866937
0.04377815653730902,6,4,150,31,0.1611642193916713
0.0422933410416273,6,2,270,31,0.1604448165245647
0.03252532672379801,6,4,151,32,0.036436009835029225
0.04246868564775001,4,4,170,121,0.16019129249765207
0.036841928618086175,6,4,156,31,0.10670490526389534
0.04867691212871153,4,6,155,48,0.16361056874893148
0.04529698576462862,2,4,159,31,0.18589155699231935
0.049597218944807606,4,8,240,40,0.16019135147160463
0.0408918564608722,4,2,163,34,0.15931201362584413
0.03431939155344221,2,10,152,30,0.1605260359754572
0.03906653502916694,6,2,158,31,0.1570844866150567
0.053738970691480745,4,4,155,32,0.13067520423430778
0.044638901066297074,4,4,15,31,0.15797981117332957
0.049327794021724616,4,2,297,30,0.16002713468062582
0.04586526137121849,2,2,72,31,0.15847569888919133
0.04468139030874091,4,4,345,31,0.14326317686555487
0.03658625918373056,4,4,157,32,0.15977012636672727
0.04288557340989025,6,4,200,205,0.1604285010772304
0.23967751966284476,4,4,157,31,0.09029627433630426
0.04155458001370384,4,4,145,28,0.15430158021139112
0.04703095901024923,2,6,154,26,0.159425296092907
0.05580600420252019,4,2,152,31,0.19159242266971105
0.044699719752550875,4,4,331,36,0.16042584153661013
0.04468391794023195,2,4,19,104,0.16037889069360406
0.04002439183391219,4,10,340,77,0.16040226654610243
0.04721060586059953,8,4,156,58,0.1602740758259236
0.04895646694306505,4,4,214,31,0.16073022476587803
0.05721553537595665,4,4,348,14,0.16045956372152764
0.049773865663857705,4,2,143,31,0.12238509108305447
0.04579970385773393,2,4,155,200,0.1700261695503802
0.06932042033099377,4,4,156,23,0.1763276966078335
0.03784865841426072,4,4,130,34,0.16035189282320503
0.05132546397816061,4,6,152,35,0.16049912685681614
0.04297111708747288,4,4,21,30,0.16083709287437875
0.035759598894357064,4,8,159,31,0.16789253723340739
0.04535905936722486,4,4,155,39,0.07426489176367884
0.06751878177038964,6,4,153,29,0.16135243147543435
0.06054556448315022,4,4,153,32,0.07263616210287399
0.045790684398920964,4,6,100,30,0.16092865807518006
0.037313798444179924,4,4,156,30,0.15139788559888362
0.04527561630656258,2,4,156,21,0.16196951592984207
0.05158238517075387,2,4,155,30,0.10471264014675699
0.04168928158281889,4,4,267,30,0.15629829951228508
0.04955373785678303,6,4,156,27,0.15689941317077727
0.07594110947317856,4,4,162,97,0.16005851873291627
0.047586170537777556,4,4,156,43,0.15685553420413484
0.04474563532726944,4,6,49,140,0.16038732612308296
36.246242065041095,6,4,159,24,0.16068866413563665
0.04660403059699035,6,4,195,23,0.1928500152388972
0.04163204718585559,6,4,187,24,0.1332229914257487
0.056388026180468474,6,4,294,25,0.15528233182991374
0.06739035677291699,6,10,141,23,0.16083780590136668
0.04600830821345063,6,4,201,24,0.1794790840827808
0.10560949089369623,6,4,177,24,0.0652842165491705
0.04396946135263121,6,4,170,22,0.12012598697189991
0.044241401737115355,6,6,124,25,0.15554637741489463
0.06187153833136753,6,6,169,24,0.15931048864657885
0.06448256370212928,6,4,202,14,0.16140854629958618
0.04669267408584972,6,4,158,19,0.141426848079427
0.04063898233894395,6,4,29,21,0.16190259860443865
0.05479502322232827,6,4,104,25,0.15506345586309694
0.03485778328518326,6,4,13,24,0.16689294902188664
0.04371450967374224,6,2,172,24,0.16250661397919536
0.06797148409426744,6,2,171,17,0.16116729471357963
0.05127448813417508,8,4,145,24,0.1731861050220235
0.06054569931146102,6,4,171,59,0.16013872263891052
0.05010924938139837,6,6,170,24,0.187906037346422
0.04774342495270255,6,4,226,26,0.15862673682742343
0.07126764910493297,6,2,148,23,0.1724909097149098
0.04167914049520244,6,4,158,24,0.1682916188787662
0.059347497381827014,6,4,160,25,0.17378646421999835
0.07565284941990022,6,4,160,275,0.1640330837824337
0.04633823919566722,6,4,166,83,0.15971964068453093
0.04098163316347128,10,4,165,24,0.16438318970079585
0.029298565440137772,6,4,228,27,0.1594215402700121
0.04154201835512777,6,4,160,26,0.14851379129226358
0.03814285580956074,6,4,159,172,0.05729865539141326
0.04108158470342379,6,4,128,25,0.1213737456879368
0.08213387169723203,6,4,174,5,0.16467939283137925
0.026559022934614443,6,4,43,24,0.1699513818948567
0.039608523937762256,6,4,161,23,0.10789201471385258
0.07994472944865585,6,4,165,19,0.15605423999892928
0.11278728567154284,6,4,159,13,0.19979327032453986
0.09354126389450378,6,2,160,17,0.13729547289994914
0.045669088344375955,6,6,158,15,0.1608158223665355
0.034897366088283394,6,4,95,24,0.16200925526637341
0.05365139057255415,6,10,159,26,0.18029254990606772
0.04221907375101215,6,4,89,21,0.16098718867425135
0.045998361556562554,6,4,165,11,0.155931703353744
0.047399812558762126,6,4,138,23,0.16744460739590203
0.032477443790162534,6,2,161,191,0.16087829055830166
0.044006321261086986,6,4,243,24,0.16842515825558624
0.047904815442173856,6,4,224,41,0.1607826189545642
0.06921805055742276,6,4,279,25,0.16268398439828408
0.07178220173913177,6,2,155,24,0.14671681986802915
0.4310945004848085,6,10,159,23,0.14957832388520576
0.08648422003294853,6,4,159,20,0.1970251986792324
0.11220316176139744,6,10,159,300,0.16236590462434883
0.042828808768723296,6,4,158,256,0.16015113821116966
0.0613092936163273,6,6,149,24,0.06906730426961714
0.03631619639882049,6,4,165,22,0.15902176438107235
0.0359698882121432,6,4,160,75,0.16294982283579307
0.04223285717838127,6,4,242,24,0.11922307714484916
0.05137172452442129,6,2,327,24,0.16127675728443294
0.05024605154345463,6,10,159,27,0.11979193932873496
0.03358509008899555,8,2,149,24,0.16203185064333545
0.039413329028465935,6,4,391,24,0.15980504765493303
0.07913807993739704,6,4,231,8,0.1605652448706434
0.04474912706148352,6,4,161,147,0.16064268554746483
0.041255496991583124,6,4,162,24,0.1576582763995813
0.0735425996210868,6,4,157,258,0.15896822557654774
0.037356329931525566,6,4,136,71,0.16088566070180926
0.039191124314829864,6,4,159,21,0.14121740974036623
0.03676869706708335,10,4,159,35,0.160330633465423
0.04645637549905896,6,2,160,24,0.18964464552069002
0.05700387722761744,6,6,327,22,0.160476748748238
0.037428570117916685,6,4,156,23,0.12108393680149819
0.04393643265442772,6,4,153,25,0.14788773587416973
0.06781056939242015,6,4,152,102,0.16012245078793766
0.09809941283682742,6,4,170,23,0.1478822970369646
0.04737354483903017,8,4,167,25,0.1660198156715015
0.04594484111955685,6,4,159,27,0.12461423967922486
0.03997325084103911,6,4,32,22,0.160407571085911
