Time:,0:23:24.855294,Eff. time:,12:29:15.369408,Size:,2601,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch size,Learning rate
0.03707138076424599,4,1.0,1.0,0.01
0.04517960548400879,4,1.0,10.0,0.01
0.04085512086749077,4,1.0,20.0,0.01
0.07697196304798126,4,1.0,30.0,0.01
0.08557051420211792,4,1.0,40.0,0.01
0.09486835449934006,4,1.0,50.0,0.01
0.13704197108745575,4,1.0,60.0,0.01
0.1912894994020462,4,1.0,70.0,0.01
0.22726032137870789,4,1.0,80.0,0.01
0.26824143528938293,4,1.0,90.0,0.01
0.312752902507782,4,1.0,100.0,0.01
0.3627707362174988,4,1.0,110.0,0.01
0.4145511984825134,4,1.0,120.0,0.01
0.4184512794017792,4,1.0,130.0,0.01
0.47580981254577637,4,1.0,140.0,0.01
0.4766731560230255,4,1.0,150.0,0.01
0.47665682435035706,4,1.0,160.0,0.01
0.5370456576347351,4,1.0,170.0,0.01
0.5361358523368835,4,1.0,180.0,0.01
0.5369622707366943,4,1.0,190.0,0.01
0.5355504751205444,4,1.0,200.0,0.01
0.5990958213806152,4,1.0,210.0,0.01
0.5996249318122864,4,1.0,220.0,0.01
0.5997546315193176,4,1.0,230.0,0.01
0.6001108288764954,4,1.0,240.0,0.01
0.6004748344421387,4,1.0,250.0,0.01
0.6004247665405273,4,1.0,260.0,0.01
0.5995263457298279,4,1.0,270.0,0.01
0.6664916276931763,4,1.0,280.0,0.01
0.6665828824043274,4,1.0,290.0,0.01
0.6662764549255371,4,1.0,300.0,0.01
0.6659116148948669,4,1.0,310.0,0.01
0.32855424284935,4,1.0,320.0,0.01
0.32857322692871094,4,1.0,330.0,0.01
0.32934021949768066,4,1.0,340.0,0.01
0.32708266377449036,4,1.0,350.0,0.01
0.3289804756641388,4,1.0,360.0,0.01
0.3284800052642822,4,1.0,370.0,0.01
0.32792961597442627,4,1.0,380.0,0.01
0.3274633288383484,4,1.0,390.0,0.01
0.3289209306240082,4,1.0,400.0,0.01
0.36997485160827637,4,1.0,410.0,0.01
0.3701040744781494,4,1.0,420.0,0.01
0.37033042311668396,4,1.0,430.0,0.01
0.37041935324668884,4,1.0,440.0,0.01
0.3705880641937256,4,1.0,450.0,0.01
0.3706396818161011,4,1.0,460.0,0.01
0.3708168864250183,4,1.0,470.0,0.01
0.3709130585193634,4,1.0,480.0,0.01
0.3709506094455719,4,1.0,490.0,0.01
0.37092891335487366,4,1.0,500.0,0.01
0.056276191025972366,4,10.0,1.0,0.01
0.057672370225191116,4,10.0,10.0,0.01
0.0424385741353035,4,10.0,20.0,0.01
0.04266965761780739,4,10.0,30.0,0.01
0.04068254306912422,4,10.0,40.0,0.01
0.04090406373143196,4,10.0,50.0,0.01
0.02983507327735424,4,10.0,60.0,0.01
0.041481465101242065,4,10.0,70.0,0.01
0.041511278599500656,4,10.0,80.0,0.01
0.03666885569691658,4,10.0,90.0,0.01
0.041542645543813705,4,10.0,100.0,0.01
0.04154309257864952,4,10.0,110.0,0.01
0.037527672946453094,4,10.0,120.0,0.01
0.041370607912540436,4,10.0,130.0,0.01
0.04118603095412254,4,10.0,140.0,0.01
0.037738751620054245,4,10.0,150.0,0.01
0.04144555702805519,4,10.0,160.0,0.01
0.03721177205443382,4,10.0,170.0,0.01
0.041615892201662064,4,10.0,180.0,0.01
0.03745315968990326,4,10.0,190.0,0.01
0.03712919354438782,4,10.0,200.0,0.01
0.03675364330410957,4,10.0,210.0,0.01
0.03679336607456207,4,10.0,220.0,0.01
0.03680554777383804,4,10.0,230.0,0.01
0.03680681809782982,4,10.0,240.0,0.01
0.03679646551609039,4,10.0,250.0,0.01
0.036956511437892914,4,10.0,260.0,0.01
0.036749858409166336,4,10.0,270.0,0.01
0.036939606070518494,4,10.0,280.0,0.01
0.036975741386413574,4,10.0,290.0,0.01
0.03697993606328964,4,10.0,300.0,0.01
0.0369567833840847,4,10.0,310.0,0.01
0.05371356010437012,4,10.0,320.0,0.01
0.03703315183520317,4,10.0,330.0,0.01
0.053712353110313416,4,10.0,340.0,0.01
0.036922186613082886,4,10.0,350.0,0.01
0.03705843910574913,4,10.0,360.0,0.01
0.03697073832154274,4,10.0,370.0,0.01
0.0530986487865448,4,10.0,380.0,0.01
0.037087924778461456,4,10.0,390.0,0.01
0.03681208938360214,4,10.0,400.0,0.01
0.03947724401950836,4,10.0,410.0,0.01
0.05112595483660698,4,10.0,420.0,0.01
0.03949655592441559,4,10.0,430.0,0.01
0.05064397677779198,4,10.0,440.0,0.01
0.03946848213672638,4,10.0,450.0,0.01
0.050425413995981216,4,10.0,460.0,0.01
0.057014092803001404,4,10.0,470.0,0.01
0.05037835240364075,4,10.0,480.0,0.01
0.05024995282292366,4,10.0,490.0,0.01
0.05013379082083702,4,10.0,500.0,0.01
0.04519672691822052,4,20.0,1.0,0.01
0.05161218345165253,4,20.0,10.0,0.01
0.05716560035943985,4,20.0,20.0,0.01
0.04808896407485008,4,20.0,30.0,0.01
0.04574452340602875,4,20.0,40.0,0.01
0.04190647229552269,4,20.0,50.0,0.01
0.03690624237060547,4,20.0,60.0,0.01
0.03291436284780502,4,20.0,70.0,0.01
0.0320226326584816,4,20.0,80.0,0.01
0.031374529004096985,4,20.0,90.0,0.01
0.03112746961414814,4,20.0,100.0,0.01
0.026598311960697174,4,20.0,110.0,0.01
0.0316406711935997,4,20.0,120.0,0.01
0.028565872460603714,4,20.0,130.0,0.01
0.032557014375925064,4,20.0,140.0,0.01
0.03271985426545143,4,20.0,150.0,0.01
0.03249088302254677,4,20.0,160.0,0.01
0.03127337619662285,4,20.0,170.0,0.01
0.034341633319854736,4,20.0,180.0,0.01
0.03462310880422592,4,20.0,190.0,0.01
0.033971596509218216,4,20.0,200.0,0.01
0.03275541961193085,4,20.0,210.0,0.01
0.0363837331533432,4,20.0,220.0,0.01
0.03263077512383461,4,20.0,230.0,0.01
